5559      0.038
3344 3      0.128       0.074 Equation   Const_4_2 (33000)
3333 9      0.057       0.050 Equation   Const_3_1 (34500)
3225 6      0.520       0.006 Loop       
3341 4      0.136       0.067 Equation   Const_4_1 (33000)
3392 1      0.072       0.095 GAMS Fini   
3308 5      0.162       0.022 Equation   Objective (1)
3347 8      0.056       0.084 Equation   Const_5 (34500)
3351 10      0.069       0.093 Equation   Const_6 (34500)
3392 2      0.308       0.095 Solve Fini schedule (1102525)
3336 7      0.061       0.061 Equation   Const_3_2 (34500)
