5586      0.067
3344 7      0.130       0.093 Equation   Const_4_2 (33000)
3341 4      0.128       0.086 Equation   Const_4_1 (33000)
3344 8      0.123       0.069 Equation   Const_4_2 (33000)
3429 9      0.313       0.112 Solve Fini schedule (1102525)
3308 5      0.163       0.018 Equation   Objective (1)
3341 6      0.131       0.063 Equation   Const_4_1 (33000)
3225 1      0.523       0.006 Loop       
3393 2      0.279       0.090 Solve Fini schedule (1102525)
3308 3      0.165       0.041 Equation   Objective (1)
3351 10      0.072       0.112 Equation   Const_6 (34500)
