 ,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,37.776,38.387,32.796,12.851,7.674,19.744,5.217,19.853,40.885,10.254,5.757,2.182,16.507,10.922,15.412,38.653,39.807,33.817,14.742,15.154,32.091,18.071,20.885,14.176
scen2,31.121,23.591,24.378,3.282,8.885,26.159,25.410,39.853,44.235,8.428,7.778,2.900,4.395,6.229,10.435,45.658,51.833,49.957,28.266,47.109,42.935,38.408,30.723,34.999
scen3,31.624,33.837,55.975,5.491,0.230,3.920,21.973,33.884,42.481,9.079,15.710,24.428,20.913,17.813,12.496,18.694,17.459,13.601,41.463,34.074,32.338,28.479,45.103,46.160
scen4,58.124,40.743,16.892,2.179,1.485,4.639,22.404,27.768,31.485,13.937,7.921,0.509,10.667,11.180,19.928,21.879,7.633,10.617,16.479,14.692,11.999,28.186,32.642,43.903
scen5,13.678,2.825,2.595,6.990,12.318,25.293,11.005,5.627,10.414,8.163,10.566,26.863,10.362,24.115,18.783,25.449,16.609,1.431,20.201,6.127,1.375,36.748,34.499,34.130
scen6,41.847,34.086,37.053,0.762,0.363,0.762,23.977,31.918,15.665,5.672,35.673,37.751,16.317,18.025,36.663,46.900,57.340,47.311,37.414,33.646,8.324,47.298,51.371,55.854
scen7,45.756,35.796,39.454,7.795,5.928,6.761,1.676,7.499,26.831,6.946,20.581,46.493,2.076,11.090,1.278,31.295,25.362,32.102,33.325,39.905,37.928,25.198,26.879,22.832
scen8,57.448,76.335,84.376,0.814,5.700,10.137,15.652,7.301,2.640,13.452,34.731,57.412,1.403,13.653,9.812,43.957,47.664,52.136,39.458,37.696,30.336,17.431,22.527,7.211
scen9,46.154,57.532,60.054,4.022,15.928,22.136,12.577,18.832,24.406,4.536,4.156,0.769,27.408,55.885,61.359,36.421,46.839,67.094,18.923,11.126,26.266,45.974,33.467,45.419
scen10,34.308,47.652,54.516,6.627,1.504,6.969,21.019,9.045,13.201,10.877,0.377,4.806,12.695,24.038,39.632,40.045,48.746,61.912,29.882,42.492,45.778,41.781,46.362,53.846
