,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,34.555,33.336,32.113,11.371,3.600,1.927,1.949,1.505,8.074,9.619,8.957,9.700,2.298,5.129,4.317,25.703,3.378,0.539,31.661,49.043,64.299,16.766,7.466,0.539
scen2,48.543,41.202,28.056,19.573,12.408,18.074,2.737,3.229,9.501,3.042,12.015,4.353,17.236,28.093,39.992,36.128,31.778,47.792,29.092,23.166,10.645,27.256,22.279,14.849
scen3,33.675,28.964,24.077,4.012,10.672,7.495,8.880,1.153,0.301,15.336,32.885,46.133,4.518,5.957,15.798,67.058,64.293,59.881,23.280,28.014,31.026,18.282,12.606,5.410
scen4,31.349,45.058,24.687,11.023,19.954,50.340,1.536,17.644,17.490,11.706,29.782,46.514,10.701,40.751,55.630,52.500,41.401,46.374,7.195,27.063,9.433,21.965,48.568,58.277
scen5,47.754,64.699,68.051,0.689,7.502,0.697,31.812,22.796,22.499,21.350,27.618,16.034,18.306,24.235,17.451,30.412,22.649,27.519,27.768,21.076,3.127,24.795,30.849,29.080
scen6,40.225,46.847,50.293,8.643,8.020,16.256,13.331,20.197,24.768,14.902,21.654,20.785,28.331,49.473,49.094,33.179,19.288,13.201,20.111,28.576,39.685,33.659,37.840,57.964
scen7,29.157,25.909,21.283,10.648,10.175,14.626,9.521,6.984,14.925,23.246,18.326,18.566,7.688,6.764,1.280,28.654,14.565,11.511,24.206,34.638,20.433,20.000,39.297,48.822
scen8,46.258,52.461,56.183,15.727,28.083,27.233,2.220,17.896,30.985,0.346,1.299,12.308,10.409,7.434,45.462,44.675,48.584,59.539,17.481,17.783,5.199,7.729,17.697,25.437
scen9,24.265,29.676,40.774,22.765,33.245,32.605,29.797,12.276,6.992,10.505,16.710,13.805,10.108,4.179,4.555,33.537,14.046,12.244,22.669,25.220,35.106,17.002,8.850,11.581
scen10,60.414,60.538,77.059,11.458,29.486,43.935,1.317,6.824,25.611,11.334,23.508,30.532,3.801,11.481,2.661,49.158,40.318,30.375,35.800,30.881,34.378,22.344,28.537,34.972
scen11,15.569,6.082,4.127,19.005,35.237,52.304,12.123,7.579,7.834,14.916,15.851,7.513,7.765,13.318,24.912,51.114,41.392,45.933,27.725,38.342,43.162,31.274,24.897,14.791
scen12,24.801,29.363,27.179,8.674,4.379,0.308,21.043,27.722,24.215,9.678,4.030,2.594,35.099,34.143,23.824,27.473,15.283,12.486,46.440,56.160,40.505,37.491,33.945,35.774
scen13,33.896,31.849,36.181,1.472,10.672,13.463,16.389,6.072,14.908,1.289,10.741,3.711,8.588,7.363,2.441,25.015,28.731,40.965,24.680,39.710,44.204,9.632,0.370,9.668
scen14,41.759,48.123,54.380,6.018,16.436,16.281,9.078,16.230,30.091,12.863,14.835,10.998,14.094,24.010,31.162,22.780,35.000,38.187,12.945,4.647,10.758,28.917,21.226,20.695
scen15,38.293,39.491,40.429,8.995,5.820,1.791,15.603,30.089,33.704,5.541,5.594,15.871,1.111,0.824,4.745,29.376,37.179,18.561,39.844,45.864,57.721,29.262,29.008,14.829
scen16,45.705,47.670,47.331,24.156,19.252,19.209,8.177,3.953,14.139,12.990,17.326,13.704,5.801,4.187,4.518,48.437,48.916,60.819,42.143,38.272,45.508,25.559,21.239,23.527
