,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,0,28.71544166,82.1959098,565.1435879,1201.35286,1002.71023,1171.380477,1082.3859,917.6409854,847.4467465,886.2497024,471.3858413,156.4290813,119.9311351,0,0,0,0
scen2,0,0,0,0,0,0,0.772266308,3.326249873,73.31643867,869.0699663,1123.41221,1421.695717,1278.207526,1017.051545,1038.740113,1074.934569,826.8470057,476.1053913,155.5902328,107.7576663,0,0,0,0
scen3,0,0,0,0,0,0,0,0,178.6318908,782.279309,738.8417631,1247.110589,1141.624549,1514.51357,1257.322816,1031.057507,849.2309852,415.5789985,133.3132392,125.7984639,0,0,0,0
scen4,0,0,0,0,0,0,0,7.565719553,80.51102643,420.3145558,1228.301128,930.1163606,1371.981385,1534.525937,1383.046373,909.7044672,879.5463069,458.1441866,177.2634378,134.7979832,0,0,0,0
scen5,0,0,0,0,0,0,0,0,242.152997,764.0018395,606.3969449,1115.124927,681.3133867,1394.660849,1129.309812,1104.67788,588.4804384,422.70296,154.1780367,130.6292415,0,0,0,0
scen6,0,0,0,0,0,0,1.380892405,26.33470976,29.7993458,632.9570552,410.7398765,1012.239529,1191.89813,1005.517903,1138.9271,1021.824901,647.1487224,421.0565719,189.9014525,113.111065,0,0,0,0
scen7,0,0,0,0,0,0,0,34.93755354,185.6690953,867.0201353,1162.36497,1041.722185,1070.090388,1268.25222,1240.846972,682.9391676,771.2507324,407.9190563,173.6824349,126.9912169,0,0,0,0
scen8,0,0,0,0,0,0,0,20.81716887,82.02162645,704.1553273,757.350832,1145.483138,1266.502428,952.477507,1199.041755,958.6960138,676.6696743,445.0862323,200.9240504,119.2259374,0,0,0,0
scen9,0,0,0,0,0,0,0.943142408,12.75133138,105.1529494,389.5967807,1272.288747,1311.720946,1192.245804,1195.565745,1123.161321,989.8418521,890.1439842,419.887025,201.1786028,123.7988238,0,0,0,0
scen10,0,0,0,0,0,0,0.337846374,19.94222461,158.8534854,601.7203275,470.8775878,790.2981998,1009.281979,1272.886822,1234.385897,1053.767028,761.9328617,423.827695,180.2109607,130.2457979,0,0,0,0
