0.000
"","time"," number scenarios","profit_value"
"iter1",0.000,20.000,-262.322
"iter2",0.000,22.000,-267.278
"iter3",0.000,25.000,-255.441
"iter4",1.000,28.000,-267.339
"iter5",1.000,31.000,-275.977
"iter6",1.000,35.000,-273.167
"iter7",1.000,39.000,-266.967
"iter8",3.000,43.000,-273.442
"iter9",4.000,48.000,-260.507
"iter10",5.000,53.000,-271.448
"iter11",4.000,59.000,-263.455
"iter12",7.000,65.000,-268.794
"iter13",24.000,72.000,-265.155
"iter14",52.000,80.000,-266.773
"iter15",29.000,88.000,-270.825
"iter16",39.000,97.000,-259.856
"iter17",36.000,107.000,-268.844
"iter18",106.000,118.000,-266.664
"iter19",59.000,130.000,-261.429
"iter20",362.000,143.000,-265.992
"iter21",319.000,158.000,-268.913
"iter22",718.000,174.000,-258.064
"iter23",750.000,192.000,-264.462
"iter24",0.000,0.000,0.000
"iter25",0.000,0.000,0.000
"iter26",0.000,0.000,0.000
"iter27",0.000,0.000,0.000
"iter28",0.000,0.000,0.000
"iter29",0.000,0.000,0.000
"iter30",0.000,0.000,0.000
