0.100
"","time"," number scenarios","profit_value"
"iter1",1.000,20.000,-262.322
"iter2",0.000,22.000,-244.020
"iter3",0.000,25.000,-240.196
"iter4",0.000,28.000,-254.116
"iter5",0.000,31.000,-251.714
"iter6",0.000,35.000,-254.350
"iter7",0.000,39.000,-253.093
"iter8",0.000,43.000,-255.318
"iter9",0.000,48.000,-253.153
"iter10",0.000,53.000,-255.036
"iter11",1.000,59.000,-253.474
"iter12",0.000,65.000,-254.220
"iter13",2.000,72.000,-253.696
"iter14",3.000,80.000,-254.071
"iter15",2.000,88.000,-254.314
"iter16",3.000,97.000,-253.386
"iter17",3.000,107.000,-254.133
"iter18",4.000,118.000,-254.432
"iter19",3.000,130.000,-253.066
"iter20",8.000,143.000,-254.666
"iter21",9.000,158.000,-254.192
"iter22",8.000,174.000,-253.461
"iter23",6.000,192.000,-254.255
"iter24",7.000,212.000,-254.518
"iter25",13.000,234.000,-253.583
"iter26",16.000,258.000,-254.134
"iter27",19.000,284.000,-253.888
"iter28",15.000,313.000,-253.683
"iter29",19.000,345.000,-253.813
"iter30",14.000,380.000,-254.126
