4673      0.018
2018 7      0.025       0.004 Loop       
2018 10      0.026       0.004 Loop       
2018 9      0.025       0.004 Loop       
2018 5      0.026       0.004 Loop       
2094 6      0.073       0.012 Equation   Objective (1)
2096 8      0.034       0.023 Equation   Const1 (20700)
2017 2      0.392       0.004 Loop       
2102 4      0.027       0.030 Equation   Const_chance_1 (21600)
2148 3      0.075       0.030 GAMS Fini   
2148 1      0.217       0.030 Solve Fini schedule (191725)
