,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
w1,64.669,79.264,77.846,14.369,9.249,5.875,24.724,34.797,39.655,10.695,16.875,14.38,17.006,26.325,25.818,53.103,55.828,49.149,59.889,62.167,77.308,30.801,26.684,48.33
w2,40.791,29.313,33.127,0.125,2.161,4.762,6.969,20.91,27.489,9.863,15.055,14.238,1.322,22.053,22.852,32.927,33.552,27.496,38.266,30.314,34.547,41.23,52.807,54.41
w3,44.069,51.545,56.511,10.714,11.551,22.34,8.514,11.747,11.851,6.176,6.88,15.177,10.16,7.706,9.51,33.934,46.082,46.091,25.134,27.096,17.578,29.661,31.422,27.586
w4,41.183,40.523,46.085,9.267,13.327,12.587,11.523,14.32,19.649,17.587,14.208,22.697,20.594,20.873,36.748,33.784,28.766,36.576,20.025,18.37,14.417,26.599,36.797,29.284
w5,49.085,44.727,55.759,4.25,17.403,8.017,2.705,3.767,18.124,19.721,17.908,15.566,5.223,12.103,15.545,40.404,47.09,59.851,28.362,27.673,31.333,31.365,19.57,19.927
w6,36.019,35.139,35.594,13.216,27.459,29.439,1.479,14.418,30.351,6.5,13.402,18.765,1.6,16.732,26.787,35.156,44.575,38.957,38.836,47.59,56.146,39.471,45.386,51.371
w7,18.285,10.779,14.849,2.752,6.706,4.264,6.739,0.327,4.384,12.22,4.799,2.617,9.09,7.177,1.338,28.742,24.791,21.9,25.52,2.656,6.086,25.047,25.35,7.875
w8,39.103,32.155,24.341,10.878,6.63,6.89,2.794,9.376,10.838,8.654,12.344,15.175,10.376,22.221,19.484,29.173,27.478,31.624,41.573,54.997,39.339,28.851,33.97,37.14
w9,36.127,35.105,38.764,13.775,31.463,34.176,22.932,17.094,13.436,16.198,15.326,11.982,6.086,10.927,10.412,31.031,26.059,39.539,37.567,34.188,24.678,20.519,16.697,22.524
w10,26.293,25.534,34.164,8.946,15.774,25.818,13.429,29.47,27.543,12.295,11.564,1.546,1.204,27.799,20.202,33.958,22.016,17.518,28.487,25.633,29.001,25.517,29.543,21.482
w11,39.638,50.427,49.161,10.675,9.474,20.718,9.538,11.092,15.146,9.301,32.92,50.064,5.034,0.958,15.562,31.355,25.611,26.473,15.46,11.372,5.114,24.079,33.988,32.659
w12,55.819,55.447,58.703,8.199,21.058,16.575,12.735,12.749,9.696,3.192,2.186,16.532,19.695,25.755,10.996,34.882,28.655,18.293,25.048,23.488,21.509,24.166,30.765,28.458
w13,37.911,23.508,31.208,12.207,22.671,16.258,21.953,26.003,24.84,10.767,12.866,11.832,11.956,30.164,27.488,39.359,38.785,26.249,36.347,31.561,25.331,16.951,17.207,13.036
w14,46.877,56.669,51.441,3.389,10.833,10.213,3.704,17.978,18.064,4.63,11.561,5.223,6.615,11.043,15.975,34.562,32.475,25.414,26.529,28.598,49.173,30.522,37.384,44.867
w15,31.301,27.756,24.774,1.691,4.044,17.327,11.207,9.138,2.31,4.503,3.299,23.853,13.939,14.559,6.537,36.321,31.4,32.093,18.743,10.669,11.325,29.196,30.796,28.599
w16,34.187,47.044,42.269,3.963,7.871,7.832,11.108,17.303,26.634,10.693,22.689,16.872,6.473,12.067,21.304,30.67,38.475,33.575,31.102,30.581,10.6,18.654,8.731,25.708
w17,33.054,19.935,23.035,5.736,6.434,14.939,1.027,5.872,15.325,6.041,18.263,17.238,10.517,13.962,1.927,38.876,50.395,52.522,41.526,48.157,41.227,28.042,22.421,24.82
w18,42.737,31.773,19.732,11.818,21.298,17.031,10.369,6.533,10.821,19.072,27.887,30.732,11.917,11.287,14.941,34.793,29.036,41.018,35.896,27.447,29.694,26.304,28.129,36.413
w19,44.075,44.031,39.857,1.209,13.274,20.81,15.676,6.645,6.584,14.07,33.908,30.034,18.59,21.586,25.091,29.082,26.008,23.268,37.695,42.803,44.401,22.178,12.516,5.301
w20,33.562,23.761,12.299,8.557,9.916,16.841,14.738,22.654,27.845,17.761,17.931,20.849,3.663,7.778,0.439,43.321,48.103,42.373,21.224,27.355,33.923,29.138,26.316,22.423
w21,41.183,40.523,46.085,9.267,13.327,12.587,11.523,14.32,19.649,17.587,14.208,22.697,20.594,20.873,36.748,33.784,28.766,36.576,20.025,18.37,14.417,26.599,36.797,29.284
w22,64.669,79.264,77.846,14.369,9.249,5.875,24.724,34.797,39.655,10.695,16.875,14.38,17.006,26.325,25.818,53.103,55.828,49.149,59.889,62.167,77.308,30.801,26.684,48.33
w23,44.069,51.545,56.511,10.714,11.551,22.34,8.514,11.747,11.851,6.176,6.88,15.177,10.16,7.706,9.51,33.934,46.082,46.091,25.134,27.096,17.578,29.661,31.422,27.586
w24,36.127,35.105,38.764,13.775,31.463,34.176,22.932,17.094,13.436,16.198,15.326,11.982,6.086,10.927,10.412,31.031,26.059,39.539,37.567,34.188,24.678,20.519,16.697,22.524
w25,49.085,44.727,55.759,4.25,17.403,8.017,2.705,3.767,18.124,19.721,17.908,15.566,5.223,12.103,15.545,40.404,47.09,59.851,28.362,27.673,31.333,31.365,19.57,19.927
w26,36.019,35.139,35.594,13.216,27.459,29.439,1.479,14.418,30.351,6.5,13.402,18.765,1.6,16.732,26.787,35.156,44.575,38.957,38.836,47.59,56.146,39.471,45.386,51.371
w27,18.285,10.779,14.849,2.752,6.706,4.264,6.739,0.327,4.384,12.22,4.799,2.617,9.09,7.177,1.338,28.742,24.791,21.9,25.52,2.656,6.086,25.047,25.35,7.875
w28,39.103,32.155,24.341,10.878,6.63,6.89,2.794,9.376,10.838,8.654,12.344,15.175,10.376,22.221,19.484,29.173,27.478,31.624,41.573,54.997,39.339,28.851,33.97,37.14
w29,32.439,32.235,35.254,5.259,4.748,5.853,15.505,26.072,46.907,1.865,15.043,25.818,8.363,10.723,11.521,40.606,44.796,46.77,29.696,28.433,40.614,42.274,47.678,48.155
w30,26.293,25.534,34.164,8.946,15.774,25.818,13.429,29.47,27.543,12.295,11.564,1.546,1.204,27.799,20.202,33.958,22.016,17.518,28.487,25.633,29.001,25.517,29.543,21.482
w31,39.638,50.427,49.161,10.675,9.474,20.718,9.538,11.092,15.146,9.301,32.92,50.064,5.034,0.958,15.562,31.355,25.611,26.473,15.46,11.372,5.114,24.079,33.988,32.659
w32,55.819,55.447,58.703,8.199,21.058,16.575,12.735,12.749,9.696,3.192,2.186,16.532,19.695,25.755,10.996,34.882,28.655,18.293,25.048,23.488,21.509,24.166,30.765,28.458
w33,37.911,23.508,31.208,12.207,22.671,16.258,21.953,26.003,24.84,10.767,12.866,11.832,11.956,30.164,27.488,39.359,38.785,26.249,36.347,31.561,25.331,16.951,17.207,13.036
w34,46.877,56.669,51.441,3.389,10.833,10.213,3.704,17.978,18.064,4.63,11.561,5.223,6.615,11.043,15.975,34.562,32.475,25.414,26.529,28.598,49.173,30.522,37.384,44.867
w35,31.301,27.756,24.774,1.691,4.044,17.327,11.207,9.138,2.31,4.503,3.299,23.853,13.939,14.559,6.537,36.321,31.4,32.093,18.743,10.669,11.325,29.196,30.796,28.599
w36,34.187,47.044,42.269,3.963,7.871,7.832,11.108,17.303,26.634,10.693,22.689,16.872,6.473,12.067,21.304,30.67,38.475,33.575,31.102,30.581,10.6,18.654,8.731,25.708
w37,33.054,19.935,23.035,5.736,6.434,14.939,1.027,5.872,15.325,6.041,18.263,17.238,10.517,13.962,1.927,38.876,50.395,52.522,41.526,48.157,41.227,28.042,22.421,24.82
w38,42.737,31.773,19.732,11.818,21.298,17.031,10.369,6.533,10.821,19.072,27.887,30.732,11.917,11.287,14.941,34.793,29.036,41.018,35.896,27.447,29.694,26.304,28.129,36.413
w39,44.075,44.031,39.857,1.209,13.274,20.81,15.676,6.645,6.584,14.07,33.908,30.034,18.59,21.586,25.091,29.082,26.008,23.268,37.695,42.803,44.401,22.178,12.516,5.301
w40,33.562,23.761,12.299,8.557,9.916,16.841,14.738,22.654,27.845,17.761,17.931,20.849,3.663,7.778,0.439,43.321,48.103,42.373,21.224,27.355,33.923,29.138,26.316,22.423
w41,44.278,49.89,56.857,8.448,10.286,21.419,12.246,18.943,13.862,9.542,10.137,4.013,2.716,24.635,21.15,35.985,43.134,34.951,39.811,40.565,51.893,22.417,14.539,21.576
w42,36.237,35.398,40.154,10.643,14.699,9.358,10.747,14.523,10.845,11.688,12.523,12.136,19.102,19.955,24.647,24.913,36.633,27.753,33.542,23.909,21.301,33.418,44.926,59.961
w43,55.819,55.447,58.703,8.199,21.058,16.575,12.735,12.749,9.696,3.192,2.186,16.532,19.695,25.755,10.996,34.882,28.655,18.293,25.048,23.488,21.509,24.166,30.765,28.458
w44,64.669,79.264,77.846,14.369,9.249,5.875,24.724,34.797,39.655,10.695,16.875,14.38,17.006,26.325,25.818,53.103,55.828,49.149,59.889,62.167,77.308,30.801,26.684,48.33
w45,44.069,51.545,56.511,10.714,11.551,22.34,8.514,11.747,11.851,6.176,6.88,15.177,10.16,7.706,9.51,33.934,46.082,46.091,25.134,27.096,17.578,29.661,31.422,27.586
w46,36.127,35.105,38.764,13.775,31.463,34.176,22.932,17.094,13.436,16.198,15.326,11.982,6.086,10.927,10.412,31.031,26.059,39.539,37.567,34.188,24.678,20.519,16.697,22.524
w47,49.085,44.727,55.759,4.25,17.403,8.017,2.705,3.767,18.124,19.721,17.908,15.566,5.223,12.103,15.545,40.404,47.09,59.851,28.362,27.673,31.333,31.365,19.57,19.927
w48,41.183,40.523,46.085,9.267,13.327,12.587,11.523,14.32,19.649,17.587,14.208,22.697,20.594,20.873,36.748,33.784,28.766,36.576,20.025,18.37,14.417,26.599,36.797,29.284
w49,18.285,10.779,14.849,2.752,6.706,4.264,6.739,0.327,4.384,12.22,4.799,2.617,9.09,7.177,1.338,28.742,24.791,21.9,25.52,2.656,6.086,25.047,25.35,7.875
w50,39.103,32.155,24.341,10.878,6.63,6.89,2.794,9.376,10.838,8.654,12.344,15.175,10.376,22.221,19.484,29.173,27.478,31.624,41.573,54.997,39.339,28.851,33.97,37.14
w51,32.439,32.235,35.254,5.259,4.748,5.853,15.505,26.072,46.907,1.865,15.043,25.818,8.363,10.723,11.521,40.606,44.796,46.77,29.696,28.433,40.614,42.274,47.678,48.155
w52,26.293,25.534,34.164,8.946,15.774,25.818,13.429,29.47,27.543,12.295,11.564,1.546,1.204,27.799,20.202,33.958,22.016,17.518,28.487,25.633,29.001,25.517,29.543,21.482
w53,36.982,37.806,37.891,3.569,4.303,16.304,2.213,4.025,8.658,10.592,20.724,22.858,12.142,34.558,45.125,33.078,44.169,45.914,32.507,37.12,41.966,33.729,22.044,31.036
w54,45.121,45.3,45.918,2.365,3.652,7.211,8.189,6.986,10.423,4.39,5.318,11.154,0.77,8.357,23.293,41.411,46.876,47.9,35.791,30.084,25.984,19.609,32.976,33.482
w55,37.911,23.508,31.208,12.207,22.671,16.258,21.953,26.003,24.84,10.767,12.866,11.832,11.956,30.164,27.488,39.359,38.785,26.249,36.347,31.561,25.331,16.951,17.207,13.036
w56,46.877,56.669,51.441,3.389,10.833,10.213,3.704,17.978,18.064,4.63,11.561,5.223,6.615,11.043,15.975,34.562,32.475,25.414,26.529,28.598,49.173,30.522,37.384,44.867
w57,31.301,27.756,24.774,1.691,4.044,17.327,11.207,9.138,2.31,4.503,3.299,23.853,13.939,14.559,6.537,36.321,31.4,32.093,18.743,10.669,11.325,29.196,30.796,28.599
w58,34.187,47.044,42.269,3.963,7.871,7.832,11.108,17.303,26.634,10.693,22.689,16.872,6.473,12.067,21.304,30.67,38.475,33.575,31.102,30.581,10.6,18.654,8.731,25.708
w59,33.054,19.935,23.035,5.736,6.434,14.939,1.027,5.872,15.325,6.041,18.263,17.238,10.517,13.962,1.927,38.876,50.395,52.522,41.526,48.157,41.227,28.042,22.421,24.82
w60,42.737,31.773,19.732,11.818,21.298,17.031,10.369,6.533,10.821,19.072,27.887,30.732,11.917,11.287,14.941,34.793,29.036,41.018,35.896,27.447,29.694,26.304,28.129,36.413
w61,44.075,44.031,39.857,1.209,13.274,20.81,15.676,6.645,6.584,14.07,33.908,30.034,18.59,21.586,25.091,29.082,26.008,23.268,37.695,42.803,44.401,22.178,12.516,5.301
w62,33.562,23.761,12.299,8.557,9.916,16.841,14.738,22.654,27.845,17.761,17.931,20.849,3.663,7.778,0.439,43.321,48.103,42.373,21.224,27.355,33.923,29.138,26.316,22.423
w63,44.278,49.89,56.857,8.448,10.286,21.419,12.246,18.943,13.862,9.542,10.137,4.013,2.716,24.635,21.15,35.985,43.134,34.951,39.811,40.565,51.893,22.417,14.539,21.576
w64,36.237,35.398,40.154,10.643,14.699,9.358,10.747,14.523,10.845,11.688,12.523,12.136,19.102,19.955,24.647,24.913,36.633,27.753,33.542,23.909,21.301,33.418,44.926,59.961
w65,39.638,50.427,49.161,10.675,9.474,20.718,9.538,11.092,15.146,9.301,32.92,50.064,5.034,0.958,15.562,31.355,25.611,26.473,15.46,11.372,5.114,24.079,33.988,32.659
w66,32.295,24.447,12.369,15.118,27.231,43.591,2.355,16.62,12.823,15.481,12.522,3.98,14.279,17.985,15.113,40.673,50.635,59.004,34.324,26.5,32.753,27.499,29.406,24.677
w67,34.674,24.386,26.988,8.693,25.795,19.315,9.048,22.217,26.205,15.489,13.125,1.629,5.258,16.62,22.507,32.195,37.018,28.962,46.972,53.574,57.049,31.887,33.707,36.888
w68,44.069,51.545,56.511,10.714,11.551,22.34,8.514,11.747,11.851,6.176,6.88,15.177,10.16,7.706,9.51,33.934,46.082,46.091,25.134,27.096,17.578,29.661,31.422,27.586
w69,39.103,32.155,24.341,10.878,6.63,6.89,2.794,9.376,10.838,8.654,12.344,15.175,10.376,22.221,19.484,29.173,27.478,31.624,41.573,54.997,39.339,28.851,33.97,37.14
w70,41.183,40.523,46.085,9.267,13.327,12.587,11.523,14.32,19.649,17.587,14.208,22.697,20.594,20.873,36.748,33.784,28.766,36.576,20.025,18.37,14.417,26.599,36.797,29.284
w71,47.001,49.926,57.886,14.136,15.943,4.287,10.089,23.247,17.911,5.331,12.013,13.755,17.172,12.113,10.547,35.59,19.215,25.315,45.695,53.655,57.761,17.613,9.761,17.611
w72,49.085,44.727,55.759,4.25,17.403,8.017,2.705,3.767,18.124,19.721,17.908,15.566,5.223,12.103,15.545,40.404,47.09,59.851,28.362,27.673,31.333,31.365,19.57,19.927
