,value
w1,0.109028
w2,0.044306
w3,0.076528
w4,0.059722
w5,0.053056
w6,0.041806
w7,0.079028
w8,0.058194
w9,0.061944
w10,0.037222
w11,0.026389
w12,0.049167
w13,0.043611
w14,0.044722
w15,0.037917
w16,0.051528
w17,0.037361
w18,0.029167
w19,0.02875
w20,0.030417
w21,0.059722
w22,0.081389
w23,0.076528
w24,0.061944
w25,0.053056
w26,0.041806
w27,0.079028
w28,0.058194
w29,0.021528
w30,0.037222
w31,0.026389
w32,0.049167
w33,0.043611
w34,0.044722
w35,0.037917
w36,0.051528
w37,0.037361
w38,0.029167
w39,0.02875
w40,0.030417
w41,0.027639
w42,0.022778
w43,0.049167
w44,0.081389
w45,0.045972
w46,0.061944
w47,0.053056
w48,0.039444
w49,0.079028
w50,0.058194
w51,0.021528
w52,0.037222
w53,0.020278
w54,0.030556
w55,0.043611
w56,0.044722
w57,0.037917
w58,0.051528
w59,0.037361
w60,0.029167
w61,0.02875
w62,0.030417
w63,0.027639
w64,0.022778
w65,0.026389
w66,0.018889
w67,0.022917
w68,0.045972
w69,0.058194
w70,0.039444
w71,0.045
w72,0.053056
w73,0.043611
w74,0.079028
w75,0.051528
w76,0.021528
w77,0.037222
w78,0.020278
w79,0.030556
w80,0.040833
w81,0.044722
w82,0.037917
w83,0.025417
w84,0.037361
w85,0.029167
w86,0.02875
w87,0.030417
w88,0.027639
w89,0.022778
w90,0.026389
w91,0.018889
w92,0.022917
w93,0.02375
w94,0.036389
w95,0.021111
w96,0.045
w97,0.051528
w98,0.039444
w99,0.030139
w100,0.037222
w101,0.043611
w102,0.079028
w103,0.025417
w104,0.021528
w105,0.027639
w106,0.020278
w107,0.030556
w108,0.040833
w109,0.044722
w110,0.037917
w111,0.024306
w112,0.037361
w113,0.029167
w114,0.02875
w115,0.030417
w116,0.030833
w117,0.022778
w118,0.026389
w119,0.018889
w120,0.022917
w121,0.02375
w122,0.036389
w123,0.021111
w124,0.015139
w125,0.033889
w126,0.022917
w127,0.079028
w128,0.030139
w129,0.043611
w130,0.025417
w131,0.027639
w132,0.040833
w133,0.037917
w134,0.037361
w135,0.021528
w136,0.030417
w137,0.020278
w138,0.030556
w139,0.036389
w140,0.044722
w141,0.028333
w142,0.024306
w143,0.022917
w144,0.029167
w145,0.02875
w146,0.030278
w147,0.030833
w148,0.022778
w149,0.026389
w150,0.018889
w151,0.022917
w152,0.02375
w153,0.019861
w154,0.021111
w155,0.015139
w156,0.033889
w157,0.022917
w158,0.014722
w159,0.023194
w160,0.016528
w161,0.017361
w162,0.053056
w163,0.030139
w164,0.036389
w165,0.025417
w166,0.027639
w167,0.030556
w168,0.028333
w169,0.037361
w170,0.021528
w171,0.030417
w172,0.020278
w173,0.018889
w174,0.02375
w175,0.044722
w176,0.015556
w177,0.024306
w178,0.022917
w179,0.029167
w180,0.02875
w181,0.030278
w182,0.030833
w183,0.022778
w184,0.026389
w185,0.019861
w186,0.022917
w187,0.02625
w188,0.019861
w189,0.021111
w190,0.015139
w191,0.033889
w192,0.022917
w193,0.014722
w194,0.023194
w195,0.016528
w196,0.017361
w197,0.025972
w198,0.028056
w199,0.014583
w200,0.018056
w201,0.025417
w202,0.027639
w203,0.028333
w204,0.037361
w205,0.020278
w206,0.02375
w207,0.044722
w208,0.024306
w209,0.021528
w210,0.030417
w211,0.026389
w212,0.018889
w213,0.032361
w214,0.027222
w215,0.015556
w216,0.014722
w217,0.022917
w218,0.029167
w219,0.02875
w220,0.030278
w221,0.030833
w222,0.022778
w223,0.015278
w224,0.019861
w225,0.022917
w226,0.02625
w227,0.019861
w228,0.021111
w229,0.015139
w230,0.033889
w231,0.022917
w232,0.015833
w233,0.023194
w234,0.016528
w235,0.017361
w236,0.025972
w237,0.028056
w238,0.014583
w239,0.018056
w240,0.020694
w241,0.009167
w242,0.014722
w243,0.014861
w244,0.02375
w245,0.024306
w246,0.044722
w247,0.0175
w248,0.030417
w249,0.018889
w250,0.027222
w251,0.014722
w252,0.021528
w253,0.030278
w254,0.026389
w255,0.022917
w256,0.032361
w257,0.015139
w258,0.015556
w259,0.015833
w260,0.022917
w261,0.029167
w262,0.02875
w263,0.020694
w264,0.030833
w265,0.022778
w266,0.015278
w267,0.019861
w268,0.011528
w269,0.02625
w270,0.019861
w271,0.021111
w272,0.015139
w273,0.033889
w274,0.022917
w275,0.017222
w276,0.023194
w277,0.016528
w278,0.017361
w279,0.025972
w280,0.028056
w281,0.014583
w282,0.018056
w283,0.010694
w284,0.009167
w285,0.014722
w286,0.014861
w287,0.014722
w288,0.010139
w289,0.00875
w290,0.011111
w291,0.022222
w292,0.018889
w293,0.021528
w294,0.022917
w295,0.014722
w296,0.030278
w297,0.032361
w298,0.027222
w299,0.022917
w300,0.029167
w301,0.030833
w302,0.026389
w303,0.019861
w304,0.02625
w305,0.015139
w306,0.015556
w307,0.015833
w308,0.023194
w309,0.028056
w310,0.02875
w311,0.020694
w312,0.014861
w313,0.022778
w314,0.015278
w315,0.014167
w316,0.011528
w317,0.011806
w318,0.019861
w319,0.021111
w320,0.015139
w321,0.033889
w322,0.022917
w323,0.017222
