,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,41.6080693,39.45101821,51.33605503,22.46874525,32.82910745,47.2076357,3.564016226,5.545707051,0.583754012,15.69750952,29.1062675,29.93883324,0.301027271,12.95752798,5.738103108,10.64406072,6.156285582,5.665217033,21.91322782,8.69871525,5.62480828,25.66373079,39.51244846,41.21832269
scen2,47.54053621,48.84985346,42.87627693,8.585538645,9.921868363,16.96735922,39.15872704,39.32334682,32.25785192,8.425557358,11.68856613,15.0262716,4.158937564,8.470340971,15.84374145,27.20291211,30.76920226,21.92873239,27.24631881,36.55637537,43.7356326,30.17299883,21.26174803,17.23403727
scen3,43.30674849,28.7408343,16.93053321,12.69681226,12.06094255,9.129736994,15.13956738,9.833861225,14.00025633,1.090017988,16.32196553,10.93960157,1.617571522,6.661129249,22.78309234,20.25727804,5.883951248,11.01433023,26.49326041,16.92193464,12.64504475,23.10406875,34.75435612,32.06588621
scen4,29.38350938,36.93610406,48.95276712,5.065110417,8.648979191,0.385390229,1.217726415,14.67577801,36.83445832,3.763089254,13.75499157,15.68057633,6.380275603,10.29426355,10.35516921,31.98675566,31.72828607,43.21412258,35.97697948,48.85673306,62.54114833,39.43043268,32.24642785,37.10035196
scen5,31.24469363,10.70433127,8.587134728,9.870763451,5.885740376,16.49828711,6.329573017,14.24786175,14.42901156,8.510746968,6.87181903,8.667400339,0.91801441,20.37308242,12.59444501,36.57552376,43.91744532,49.6787309,27.58372323,34.48415155,43.1483828,34.44406791,43.50683262,35.20080751
scen6,31.93637986,59.45158026,69.6070515,8.752519204,9.06178487,5.213541971,1.072141767,8.67824056,20.86809914,7.445738783,22.074923,41.31594346,19.44015836,11.69945816,10.38976728,41.14081347,28.32965961,29.66127671,2.826430612,7.048592328,3.765514869,26.0192475,23.53114257,3.89020758
scen7,27.03673095,23.36586856,23.61273996,31.98655935,42.61796935,49.54361417,26.7940516,25.37188404,30.77589182,24.17253218,30.70677502,37.76489616,15.07684215,22.95067517,18.20204794,8.640310403,3.604629444,2.118478319,33.527122,43.84797659,40.63195019,32.63122723,39.56112723,29.7599337
scen8,39.73664492,45.28821441,53.86651499,5.725516811,20.78468005,27.02495467,9.937583632,2.73202575,2.089945187,12.19492201,17.93466545,29.64936609,21.07206916,29.86267367,37.20845751,21.77215559,17.29414441,11.19648119,18.39979515,14.05493427,10.68759919,29.70191842,38.17929772,21.36452114
scen9,36.97107565,25.05064347,21.51181498,8.9284862,0.009178786,0.814231673,5.413696768,9.492431684,13.93144042,5.182752496,11.91013497,28.70276867,5.75108461,3.329970754,5.955359868,30.75686526,44.17105382,32.36255382,41.27997419,46.44692894,50.60030046,21.30376355,23.59192794,19.96341801
scen10,25.20210996,22.19847245,20.6115849,0.729976012,9.453076321,14.67192893,12.3746485,11.9231099,20.93988549,0.191847017,6.886449199,5.397940989,9.876400214,19.19664821,25.50767883,17.69458745,26.5764812,11.49935091,15.04266521,30.61021804,39.64730823,32.0583586,32.60990606,34.85026574
scen11,40.78338139,46.98071965,48.79680683,6.596226435,3.491387398,22.86847913,10.42318871,1.112919702,8.892846729,18.2788308,17.06556859,16.19799394,5.310277511,6.26222792,3.348909187,26.75493695,31.30351947,44.37302575,27.17988732,25.88397275,21.6535946,12.3809849,7.581510038,10.4756493
