2303      0.018
869 4      0.117       0.011 Equation   Objective (1)
899 8      0.022       0.026 Equation   Const_3_2 (13800)
878 1      0.025       0.018 Equation   Const1_1 (14400)
957 7      0.258       0.040 Solve Fini schedule (441025)
909 10      0.054       0.032 Equation   Const_4_2 (13200)
918 5      0.022       0.040 Equation   Const_6 (13800)
957 9      0.056       0.040 GAMS Fini   
774 3      0.140       0.005 Loop       
896 2      0.033       0.022 Equation   Const_3_1 (13800)
905 6      0.054       0.029 Equation   Const_4_1 (13200)
