2087      0.029
1169 10      0.105       0.015 Equation   Objective (1)
1205 3      0.121       0.042 Equation   Const_4_1 (19800)
1074 2      0.162       0.005 Loop       
1178 1      0.031       0.025 Equation   Const1_1 (21600)
1257 8      0.076       0.058 GAMS Fini   
1199 5      0.068       0.038 Equation   Const_3_2 (20700)
1218 9      0.035       0.057 Equation   Const_6 (20700)
1209 6      0.097       0.046 Equation   Const_4_2 (19800)
1196 7      0.071       0.031 Equation   Const_3_1 (20700)
1257 4      0.379       0.058 Solve Fini schedule (661525)
