,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,44.239012,52.62565494,54.65295254,8.003015629,12.66761324,13.9993797,14.83649462,35.80022965,45.09645346,13.08652267,22.09410939,23.97693386,21.53049591,21.46125756,6.599349956,17.1146969,6.759709629,16.43961815,26.90566214,40.34854567,45.85527921,21.16726985,21.30014487,6.512169235
scen2,56.84039682,50.40041088,36.84238518,1.994878679,3.285542468,15.38968576,23.93958245,28.96539691,14.46111234,3.940992303,1.540127118,6.44322101,1.124059204,4.32181947,17.66236001,37.50983163,39.38093293,44.33981534,38.91748392,53.53558665,66.62197748,13.79734041,10.52977302,6.998839262
scen3,17.05226372,13.9782604,24.82121424,11.226298,0.643400775,0.282371167,10.43013341,22.32778706,23.47966018,9.836887154,7.893545662,21.61813764,26.15857765,20.96235447,12.10977549,38.3711382,45.47554298,40.46085842,43.32985871,46.15047977,55.79738517,25.68497857,43.24267856,36.95144901
scen4,47.39374959,42.81160496,43.64137859,13.80727319,6.842098512,9.277539479,9.744971531,9.150228961,5.537032689,20.47376779,17.55944394,2.971482937,4.845019421,16.68254517,40.55901959,34.3008666,26.01076591,43.70621429,41.77401972,39.27336243,34.18142678,24.19316073,0.104303872,7.97209707
scen5,42.11092294,44.94468674,45.88179527,15.56450866,14.4480604,15.86718217,26.75013245,29.44867059,32.95555261,10.01357926,17.5858168,3.067937262,5.628161026,11.33158321,4.575153294,35.02740202,34.54826347,39.4636425,30.96315568,35.88524177,35.4406524,28.09914575,24.36520541,17.4005007
scen6,26.29910048,17.86610122,22.57265462,0.506716015,2.44025254,9.270517625,5.255099347,12.87066897,19.93422841,1.235604216,8.58807367,5.202106793,2.470551495,0.39553303,6.524333631,28.36086784,30.22783028,29.65192509,26.40227741,19.26308697,25.85429921,35.87871396,61.43099181,69.28017757
scen7,34.79676413,38.29595109,41.4164606,11.59462241,25.1742713,29.25095583,10.18258655,17.26539455,23.60789934,0.511767846,9.341868806,3.049670142,17.57006074,20.73164664,21.56649954,40.52269127,35.48531445,39.77699117,19.40237719,16.33004402,18.41102509,31.83364846,28.5409027,17.5658523
scen8,42.34287414,49.45012571,40.56353251,8.204250417,7.460056468,35.79429629,19.15297319,11.3490539,6.83341032,7.19277143,14.1024011,8.942882521,18.75054489,27.10715103,21.26129889,25.23050286,23.63722986,24.16961541,32.45397369,27.48696132,37.62790373,38.92598158,35.88156551,26.26208118
scen9,73.79994237,95.29535847,92.576244,15.25669626,30.70186635,22.3143768,11.66673052,1.320884917,8.066983822,6.980897884,4.365003334,6.763100133,10.04283799,23.80602932,31.10489546,25.75117146,28.37861846,40.33041032,40.62954082,43.12824482,35.76430266,19.14153968,6.518229252,6.661978805
scen10,65.93551207,67.66791192,62.92348377,12.43826248,19.79895355,3.786836609,23.86862174,17.02192885,9.91196429,0.427073078,4.414955975,5.938205882,11.27917063,18.61353853,13.11186677,40.54482623,32.37538488,28.34280059,27.98746052,38.44638619,45.06539659,17.82650234,24.62903157,37.52757759
scen11,25.88885977,2.439333164,5.342551834,15.95489034,30.65955971,22.32722231,20.26371579,9.761073818,16.52718925,10.60058568,9.247873376,5.708582253,14.63805402,21.28428585,31.35957096,49.88934951,60.41522587,49.12862154,29.61692784,36.58009478,40.67869089,25.30881113,5.063931953,15.71816735
scen12,68.51647999,64.37867859,76.18571692,5.943272941,8.897532216,0.34852929,13.04488766,15.75285712,0.880503617,21.15698573,27.50122986,28.60005011,5.699140289,10.79618798,7.902496157,29.73695222,39.62381584,43.88202238,37.29333089,49.36003792,64.09297322,39.67873084,34.42824958,49.84984715
scen13,46.06412744,59.73607343,52.08492047,5.794885581,1.106397745,2.210275168,2.649823505,0.849696661,1.246955155,6.402449533,17.11843264,11.10045037,2.829981374,1.513795498,12.58054002,28.58314477,30.77073125,46.73576165,39.70059639,32.13459577,16.89639706,38.90554279,46.8171793,38.35729598
scen14,38.39899899,27.27674771,20.43975451,17.02315435,6.079353983,3.051488518,15.71956624,14.69022402,17.80203592,6.855471303,12.86530597,17.52549893,9.306919441,4.312956907,23.63910395,37.46049777,38.06488959,25.93868337,17.52711641,17.12401427,18.67947837,25.00849761,25.2146069,32.00105573
scen15,45.96048174,55.78933503,49.13919272,13.41952119,13.22457839,11.44660919,3.231026377,16.88565372,22.5213616,12.55820852,3.897565766,8.22067914,4.119137621,21.61576929,23.50008812,43.91842154,34.06793279,28.82703129,33.24573335,24.00014308,22.85087037,20.42899854,25.9964842,38.06362957
scen16,37.0193872,37.30985743,25.71166909,2.320511894,11.43012969,20.16022113,12.58704029,22.22276451,29.38299977,1.314680754,12.03016056,10.73811621,17.71368597,26.50807025,39.3426717,42.90374066,49.02558111,58.53249134,33.20563049,37.25469142,14.90791907,11.44839929,10.771033,25.56385282
scen17,37.8051081,50.97990938,50.85734491,5.126355124,7.986793733,1.745081728,18.06970577,25.25842877,26.06354908,4.700686308,3.823174564,5.17054114,15.45988234,6.650459052,7.608767203,36.11960563,24.54670882,3.633172144,29.83261181,32.77780991,45.55150784,32.76301361,40.81850355,36.60625252
scen18,53.49432511,36.0995,28.5596941,3.506569559,0.412810513,8.176245332,12.28145968,13.41929205,5.521056087,5.089390475,3.962683155,23.22354203,30.7266471,40.24627488,41.0673035,27.32586121,41.65894524,50.57976576,39.98121,53.95404142,82.45212883,26.45368474,14.38466419,13.01695515
scen19,52.71014599,52.33357487,65.09343809,13.53216447,13.44199286,31.44835694,18.76226064,31.71535986,35.60595028,13.95380096,18.30754238,28.65837338,10.10603252,11.28596637,19.35935705,39.61568484,45.52937619,52.93802034,27.76133723,37.90169492,37.65431804,14.78154443,15.51786838,15.70306975
scen20,52.78945452,42.60501728,36.52164079,15.2533632,7.772944607,19.0223865,30.03159588,26.32804697,22.1178567,23.65293157,30.14275894,30.250181,12.47949869,16.31885067,26.63452289,32.72306024,35.01200286,37.41031227,23.26994654,28.36996929,32.90283379,22.97894644,7.651148721,0.052627529
scen21,45.54006122,74.23156884,67.16468936,2.641005815,7.060081893,17.61197014,19.19249531,26.31708251,23.69007982,26.32857618,31.80063039,44.72089083,24.90892308,27.17517866,40.86570281,46.87957027,44.9878704,35.51836638,33.98515619,29.50515406,23.98039718,8.446265431,13.68363871,19.53256526
