523      0.004
544 7      0.207       0.009 Equation   Const_6 (2300)
540 10      0.201       0.009 Equation   Const_5 (2300)
537 5      0.272       0.008 Equation   Const_4_2 (2200)
534 4      0.346       0.008 Equation   Const_4_1 (2200)
529 3      0.360       0.007 Equation   Const_3_2 (2300)
526 8      0.220       0.007 Equation   Const_3_1 (2300)
596 6      1.615       0.010 Solve Fini schedule (73525)
510 1      0.241       0.006 Equation   Const1_1 (2400)
501 2      0.059       0.004 Equation   Objective (1)
596 9      0.619       0.010 GAMS Fini   
