40.000
"","time"," number scenarios","profit_value"
"iter1",0.000,20.000,0.000
"iter2",0.000,22.000,0.000
"iter3",0.000,25.000,0.000
"iter4",0.000,28.000,0.000
"iter5",0.000,31.000,0.000
"iter6",0.000,35.000,0.000
"iter7",0.000,39.000,0.000
"iter8",0.000,43.000,0.000
"iter9",0.000,48.000,0.000
"iter10",0.000,53.000,0.000
"iter11",0.000,59.000,0.000
"iter12",0.000,65.000,0.000
"iter13",0.000,72.000,0.000
"iter14",0.000,80.000,0.000
"iter15",0.000,88.000,0.000
"iter16",0.000,97.000,0.000
"iter17",0.000,107.000,0.000
"iter18",0.000,118.000,0.000
"iter19",0.000,130.000,0.000
"iter20",0.000,143.000,0.000
"iter21",0.000,158.000,0.000
"iter22",0.000,174.000,0.000
"iter23",0.000,192.000,0.000
"iter24",0.000,212.000,0.000
"iter25",0.000,234.000,0.000
"iter26",0.000,258.000,0.000
"iter27",0.000,284.000,0.000
"iter28",0.000,313.000,0.000
"iter29",0.000,345.000,0.000
"iter30",0.000,380.000,0.000
