,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30
t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t8,0,0,0,0,0,0,0,0.95,1.58,0.95,0,0,0,0,0,0,0,0,0.34,7.49,8.28,7.49,5.81,5.4,2.37,3.932,6.11,2.37,2.37,0
t9,32.58,32.58,32.58,32.58,32.58,32.58,33.26,70.03,69.26,68.644,42.71,33.26,35.33,44.01,44.01,44.01,44.01,44.01,60.97,69.26,49.43,49.43,45.66,45.66,45.525,45.66,60.84,27.56,38.6,0
t10,166.407,276.297,276.297,284.277,291.107,291.107,298.097,600.33,614.01,600.33,572.73,572.73,572.73,591.55,591.2,591.2,586.49,579.98,603.1,549.443,556.05,553.46,565.64,562.14,517.89,516.49,493.58,484.347,513,0
t11,724.39,609.38,609.38,609.38,609.38,613.65,613.65,654.27,654.27,654.27,663.74,672.733,702.566,723.98,723.98,723.98,599.9,599.9,767.804,713.69,713.69,714.33,717.97,721.802,768.615,750.79,750.79,772.09,684.914,0
t12,241.2,241.2,241.2,241.2,241.2,241.2,241.2,830.13,861.72,867.82,418.6,418.6,418.6,452.547,452.534,465.251,600.612,605.885,805.729,843.35,907.761,907.761,857.537,857.537,875.08,851.927,709.64,874.558,799.74,0
t13,598.68,598.68,598.68,598.68,598.68,598.68,598.68,935.99,925.881,924.07,758.08,758.08,758.08,758.08,758.08,758.08,949.564,997.098,921.59,941.118,921.59,924.18,912.957,912.136,868.54,904.587,833.813,907.357,893.27,0
t14,917.09,917.09,917.09,917.09,917.09,917.09,917.09,1025.259,993.3,990.332,993.3,994.73,994.73,936.394,934.83,975.02,967.851,942.55,925.474,1012.239,858.285,860.244,857.634,857.634,851.023,850.736,863.14,858.558,820.26,0
t15,668.31,668.31,668.31,668.31,668.31,668.31,668.31,930.6,930.06,930.06,1011.59,1011.59,984.02,958.52,958.52,975.091,982.79,959.735,985.15,873.07,873.07,892.157,890.48,890.48,898.055,899.112,898.68,927.37,941.78,0
t16,969.12,974.24,974.24,966.26,959.43,955.16,947.49,923.29,923.29,929.19,934.11,934.11,930.6,928.54,928.54,897.69,892.78,888.46,903.04,893.92,917.68,926.41,913.945,913.945,919.02,913.23,911.84,881.77,867.42,0
t17,754.37,765.68,766.96,766.96,766.96,766.96,765.61,820.39,820.32,820.32,817.11,817.11,817.11,817.11,818.924,794.36,774.36,778.68,778.68,791.82,789.85,791.49,796.18,797.064,795.275,791.82,793.21,787.41,801.76,0
t18,860.18,848.87,847.59,847.59,847.59,847.59,839.64,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,867.3,867.3,861.29,861.29,829.33,799.2,799.2,799.2,799.2,799.2,799.2,799.2,799.2,0
t19,171.12,171.12,171.12,171.12,171.12,171.12,180.42,189.6,193.54,193.54,189.708,188.92,188.92,185.32,185.07,181.79,193.54,193.54,184.97,180.95,190.746,191.73,191.01,191.01,185.22,189.5,198.12,186.92,186.4,0
t20,135.53,135.53,135.53,135.53,135.53,135.53,135.53,118.48,112.67,117.79,136.57,136.57,136.57,136.57,136.57,135.79,129.24,129.24,120.17,123.23,119.39,122.272,132.55,131.666,133.07,136.978,117.76,132.88,133.28,0
t21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t24,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,0
