,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30
t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t10,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73,479.73
t11,610.768,610.768,610.768,610.768,610.768,610.768,610.768,610.768,610.768,610.768,610.768,609.64,609.64,609.64,609.64,609.64,609.64,609.64,587.967,587.967,587.967,532.518,532.518,532.518,532.518,532.518,532.518,532.518,532.518,532.518
t12,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927,534.927
t13,876.04,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16,774.16
t14,1018.02,1018.02,1018.02,1018.02,1018.02,1018.02,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6,880.6
t15,880.189,880.189,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37,614.37
t16,871.21,871.21,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7,750.7
t17,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14,763.14
t18,890.26,846.44,846.44,831.29,809.71,809.71,809.71,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85,773.85
t19,187.618,187.618,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24,180.24
t20,140.62,140.62,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59,116.59
t21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t24,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480
