40.000
"","time"," number scenarios","profit_value"
"iter1",0.000,20.000,-255.249
"iter2",0.000,22.000,5577.041
"iter3",0.000,25.000,16472.100
"iter4",0.000,28.000,366.901
"iter5",0.000,31.000,624.508
"iter6",0.000,35.000,-238.840
"iter7",0.000,39.000,-237.607
"iter8",0.000,43.000,-239.263
"iter9",0.000,48.000,-237.995
"iter10",1.000,53.000,-239.084
"iter11",1.000,59.000,-238.079
"iter12",0.000,65.000,-238.438
"iter13",1.000,72.000,-238.141
"iter14",2.000,80.000,-239.252
"iter15",1.000,88.000,-238.989
"iter16",2.000,97.000,-238.641
"iter17",3.000,107.000,-238.776
"iter18",3.000,118.000,-239.025
"iter19",1.000,130.000,-237.735
"iter20",4.000,143.000,-239.264
"iter21",6.000,158.000,-238.720
"iter22",5.000,174.000,-238.223
"iter23",3.000,192.000,-238.699
"iter24",11.000,212.000,-239.082
"iter25",6.000,234.000,-238.346
"iter26",4.000,258.000,-239.051
"iter27",7.000,284.000,-238.692
"iter28",30.000,313.000,-238.437
"iter29",40.000,345.000,-238.272
"iter30",12.000,380.000,-238.888
