 ,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,1.258,23.875,179.356,597.365,748.022,1067.281,997.969,1124.095,972.301,929.021,754.367,489.283,178.835,129.337,0,0,0,0
scen2,0,0,0,0,0,0,0,38.188,85.683,662.275,912.566,1135.074,944.978,1462.997,1267.726,987.323,717.93,471.268,233.264,130.697,0,0,0,0
scen3,0,0,0,0,0,0,0,4.439,42.738,719.877,1295.408,985.327,1045.585,1061.026,1123.556,969.119,838.324,461.814,194.787,147.801,0,0,0,0
scen4,0,0,0,0,0,0,0,21.046,164.684,737.574,1006.898,1398.594,1000.613,1044.959,1141.103,1068.556,765.679,469.108,184.19,130.83,0,0,0,0
scen5,0,0,0,0,0,0,0,52.568,97.42,704.08,724.394,1070.625,1130.52,1279.554,1101.035,976.193,797.376,477.506,199.658,121.411,0,0,0,0
scen6,0,0,0,0,0,0,0,31.83,157.312,733.836,844.028,788.334,1175.454,971.916,1149.451,1097.296,703.657,413.053,181.307,118.151,0,0,0,0
scen7,0,0,0,0,0,0,0,25.712,146.309,622.061,837.262,1083.294,1307.77,1049.894,1194.823,1080.111,729.702,387.304,190.6,98.32,0,0,0,0
scen8,0,0,0,0,0,0,0,28.047,90.286,469.86,863.394,241.198,598.683,917.094,668.307,974.24,515.079,408.265,171.12,135.527,0,0,0,0
scen9,0,0,0,0,0,0,0.166,37.357,94.772,608.924,1022.984,1249.074,1128.375,1450.44,985.152,1014.657,672.093,452.328,167.85,110.172,0,0,0,0
scen10,0,0,0,0,0,0,0,6.112,188.767,865.267,1003.258,1545.6,1707.673,1741.882,1090.868,1145.825,692.296,428.818,199.652,116.988,0,0,0,0
scen11,0,0,0,0,0,0,0.046,36.575,129.414,832.1,973.858,794.419,1049.106,1135.404,984.525,925.156,768.51,528.22,195.19,106.168,0,0,0,0
scen12,0,0,0,0,0,0,0.287,5.004,231.265,653.801,1158.701,959.463,1333.76,1243.062,1046.771,966.262,788.624,424.55,164.441,124.632,0,0,0,0
scen13,0,0,0,0,0,0,0.166,26.752,169.542,781.173,766.027,984.756,1306.954,1154.148,1356.278,946.42,840.014,493.445,173.837,147.326,0,0,0,0
scen14,0,0,0,0,0,0,0,15.337,123.1,642.411,940.112,1258.881,1195.949,1235.065,972.366,1081.185,725.001,443.475,156.48,111.418,0,0,0,0
scen15,0,0,0,0,0,0,1.385,16.823,100.073,749.69,794.221,663.704,1401.218,1094.035,872.572,844.356,673.033,467.886,162.415,147.136,0,0,0,0
scen16,0,0,0,0,0,0,0,11.423,95.506,772.285,967.25,801.232,1165.68,1475.968,1119.069,892.3,746.856,402.288,190.637,108.193,0,0,0,0
scen17,0,0,0,0,0,0,0.984,6.653,32.577,645.189,747.768,1192.804,879.557,1119.681,1186.988,1055.305,801.461,521.959,161.859,128.527,0,0,0,0
scen18,0,0,0,0,0,0,0,14.655,67.676,743.722,442.281,1045.015,1165.237,858.001,1175.101,930.205,776.206,437.6,148.956,136.252,0,0,0,0
scen19,0,0,0,0,0,0,0.719,21.287,69.261,631.301,753.042,1412.387,1228.921,1088.073,1044.168,997.284,722.072,448.695,189.599,105.865,0,0,0,0
scen20,0,0,0,0,0,0,0,43.096,107.334,927.272,1062.742,1243.534,1228.711,1217.543,1279.781,975.204,740.423,441.808,181.915,122.887,0,0,0,0
scen21,0,0,0,0,0,0,0,31.83,157.312,733.836,844.028,788.334,1175.454,971.916,1149.451,1097.296,703.657,413.053,181.307,118.151,0,0,0,0
scen22,0,0,0,0,0,0,0,38.188,85.683,662.275,912.566,1135.074,944.978,1462.997,1267.726,987.323,717.93,471.268,233.264,130.697,0,0,0,0
scen23,0,0,0,0,0,0,0.166,26.752,169.542,781.173,766.027,984.756,1306.954,1154.148,1356.278,946.42,840.014,493.445,173.837,147.326,0,0,0,0
scen24,0,0,0,0,0,0,0,21.046,164.684,737.574,1006.898,1398.594,1000.613,1044.959,1141.103,1068.556,765.679,469.108,184.19,130.83,0,0,0,0
scen25,0,0,0,0,0,0,0,52.568,97.42,704.08,724.394,1070.625,1130.52,1279.554,1101.035,976.193,797.376,477.506,199.658,121.411,0,0,0,0
scen26,0,0,0,0,0,0,0,21.444,132.202,663.363,1178.28,878.539,964.384,1042.167,1123.86,1044.716,787.41,462.272,185.456,108.816,0,0,0,0
scen27,0,0,0,0,0,0,0,25.712,146.309,622.061,837.262,1083.294,1307.77,1049.894,1194.823,1080.111,729.702,387.304,190.6,98.32,0,0,0,0
