,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,0.309455501,11.10304094,147.3925818,531.326618,869.3971532,1096.577215,1050.829343,530.217165,864.0047532,912.5103673,732.7978548,480.812766,167.9831355,129.1699899,0,0,0,0
scen2,0,0,0,0,0,0,1.301858539,18.92916283,182.7111135,804.7317587,988.1084268,1461.009774,1431.166034,997.2564915,1385.6788,910.1465276,703.6494121,511.2010085,193.7540057,106.6865225,0,0,0,0
scen3,0,0,0,0,0,0,0,15.54517271,87.15719995,766.983912,1344.119332,1019.405428,1046.373179,1153.696824,1087.248574,676.262784,827.4105513,423.3419268,214.2705672,135.3221592,0,0,0,0
scen4,0,0,0,0,0,0,0.274966214,25.79099569,128.8315246,898.3860414,1372.643567,927.6604734,1295.051593,1108.990232,990.9889501,937.9489391,771.8964197,410.5644519,189.6381264,123.1332794,0,0,0,0
scen5,0,0,0,0,0,0,0.61623151,29.68611636,166.4469714,766.030953,986.9762785,1564.766126,862.7987208,1514.800316,1042.397869,1005.697642,709.124827,501.3780209,144.8365113,98.54942102,0,0,0,0
scen6,0,0,0,0,0,0,0,11.88678019,122.4518647,793.580222,906.1017448,1209.227574,1294.130932,1565.906282,1082.216706,1071.42287,788.4777645,504.6408563,151.2462175,118.3083818,0,0,0,0
scen7,0,0,0,0,0,0,0,30.89734344,34.08554444,538.6169101,1112.199302,971.4642599,1215.389386,1770.862465,1389.629312,996.5657079,640.191484,422.9743182,170.1980752,113.8707749,0,0,0,0
scen8,0,0,0,0,0,0,0,18.28006138,45.6770363,700.1682971,1245.148304,828.6522633,800.8636409,1532.563565,1397.277041,1267.34355,664.4681781,519.5799451,191.499243,136.5573419,0,0,0,0
scen9,0,0,0,0,0,0,0,34.7311944,0,1025.347685,889.7778571,923.9569292,1189.70807,963.0293549,1150.762026,883.2034677,880.5469536,461.7728394,206.4206046,102.0964207,0,0,0,0
scen10,0,0,0,0,0,0,1.164984932,13.10903391,169.7705108,604.6600566,643.5247191,491.4986355,1689.565827,980.1254026,1134.720648,1023.079942,730.1520617,524.0824345,175.5842616,113.6280259,0,0,0,0
scen11,0,0,0,0,0,0,0,27.13064372,206.9502798,406.1952631,1362.957448,1395.142287,1599.885398,1094.486057,1168.813371,868.8984103,769.6875952,466.4071086,184.7270985,124.8027265,0,0,0,0
scen12,0,0,0,0,0,0,0,23.81109479,105.9281605,710.3185201,1202.572616,1060.148878,1234.355141,1126.787102,979.3286336,690.4570188,855.2549104,389.5109254,178.7151944,107.7793124,0,0,0,0
scen13,0,0,0,0,0,0,0.491607258,6.453796288,207.9790973,631.5415082,756.9644765,1052.585892,942.0006466,1064.372236,1290.827085,1095.682254,749.846716,454.1207512,187.894792,135.1277188,0,0,0,0
scen14,0,0,0,0,0,0,0.657869093,22.38318077,156.4967193,439.7873843,1135.031501,675.7713597,1160.395096,1278.734589,998.8478237,1142.928046,841.7776705,480.2171857,167.1256321,120.8016535,0,0,0,0
scen15,0,0,0,0,0,0,0.943142408,12.75133138,105.1529494,389.5967807,1272.288747,1311.720946,1192.245804,1195.565745,1123.161321,989.8418521,890.1439842,419.887025,201.1786028,123.7988238,0,0,0,0
scen16,0,0,0,0,0,0,0.442787577,0,153.3009833,810.0354054,1058.955499,1140.930613,1344.048396,1337.040338,1263.625611,956.3015284,820.7793807,478.9720098,165.8921714,109.1672794,0,0,0,0
scen17,0,0,0,0,0,0,0,12.02668147,174.4242034,408.8562678,1123.771336,890.497837,1417.417464,1192.647417,1080.389409,987.5003601,752.7926007,476.2382594,172.3714394,116.6448612,0,0,0,0
scen18,0,0,0,0,0,0,0,20.45433532,0,987.9236669,854.2823107,1262.197635,963.0078594,838.2782126,973.2673822,760.0071271,778.8633258,415.1329402,194.3643216,140.0371224,0,0,0,0
scen19,0,0,0,0,0,0,0,39.95657533,122.0640359,752.0359686,1083.636142,1523.883262,1260.689114,1084.891192,704.2262559,943.7819788,550.2742616,419.7516386,189.9411488,131.4685906,0,0,0,0
scen20,0,0,0,0,0,0,0.10617352,34.46512162,102.1127231,752.9201471,928.5753601,857.8826077,1308.261106,986.9941381,1166.201679,1178.102435,679.7778811,416.9757826,198.4729824,115.4219501,0,0,0,0
scen21,0,0,0,0,0,0,0.290205798,25.26266616,71.23611977,668.5969163,881.6809708,1421.620748,1097.853671,1411.612875,1180.619424,852.092269,714.1939779,543.9463259,166.1788472,125.5418139,0,0,0,0
scen22,0,0,0,0,0,0,0.561310807,41.37418477,48.3512914,594.2144086,612.0301124,1080.844128,1392.514107,905.4011952,987.2543099,1350.337105,791.0585351,370.5995876,191.5626479,130.9086843,0,0,0,0
scen23,0,0,0,0,0,0,1.15444387,0.191101779,196.3561204,680.125898,826.0465959,961.1532735,1313.084584,901.5014634,1160.993932,1093.962841,690.3155465,490.369351,184.9583847,93.87511641,0,0,0,0
scen24,0,0,0,0,0,0,0,29.00222523,23.28887648,685.6695745,790.6364109,1629.924603,1365.746354,1627.151048,895.7772072,850.9575593,594.6039532,501.3335881,191.2608333,113.4523382,0,0,0,0
scen25,0,0,0,0,0,0,0,22.38157273,121.1563121,769.1524413,833.4505572,1573.136368,751.4678364,1197.472139,1012.075719,1162.855934,819.9588308,492.7345617,184.3740129,101.0474691,0,0,0,0
