5536      0.025
3129 5      0.032       0.005 Loop       
3129 8      0.033       0.005 Loop       
3129 6      0.033       0.005 Loop       
3129 7      0.032       0.005 Loop       
3128 10      0.513       0.005 Loop       
3256 2      0.133       0.048 GAMS Fini   
3202 3      0.078       0.018 Equation   Objective (1)
3256 4      0.225       0.048 Solve Fini schedule (319525)
3210 1      0.031       0.047 Equation   Const_chance_1 (36000)
3204 9      0.036       0.035 Equation   Const1 (34500)
