0.000
"","time"," number scenarios","profit_value"
"iter1",0.000,20.000,-277.884
"iter2",0.000,22.000,-277.315
"iter3",1.000,25.000,-277.125
"iter4",1.000,28.000,-278.155
"iter5",1.000,31.000,-278.181
"iter6",2.000,35.000,-278.368
"iter7",2.000,39.000,-278.289
"iter8",2.000,43.000,-278.376
"iter9",8.000,48.000,-279.593
"iter10",8.000,53.000,-279.574
"iter11",29.000,59.000,-284.805
"iter12",53.000,65.000,-283.639
"iter13",37.000,72.000,-280.952
"iter14",62.000,80.000,-278.665
"iter15",101.000,88.000,-278.010
"iter16",170.000,97.000,-278.159
"iter17",199.000,107.000,-278.155
"iter18",181.000,118.000,-277.904
"iter19",604.000,130.000,-277.007
"iter20",1179.000,143.000,-276.281
"iter21",0.000,0.000,0.000
"iter22",0.000,0.000,0.000
"iter23",0.000,0.000,0.000
"iter24",0.000,0.000,0.000
"iter25",0.000,0.000,0.000
"iter26",0.000,0.000,0.000
"iter27",0.000,0.000,0.000
"iter28",0.000,0.000,0.000
"iter29",0.000,0.000,0.000
"iter30",0.000,0.000,0.000
