 ,value
scen1,0.075
scen2,0.04375
scen3,0.095556
scen4,0.062639
scen5,0.056389
scen6,0.052778
scen7,0.056667
scen8,0.063611
scen9,0.040694
scen10,0.048333
scen11,0.058333
scen12,0.043333
scen13,0.056111
scen14,0.053333
scen15,0.038194
scen16,0.034444
scen17,0.045139
scen18,0.023889
scen19,0.021528
scen20,0.030139
scen21,0.052778
scen22,0.04375
scen23,0.056111
scen24,0.062639
scen25,0.056389
scen26,0.062639
scen27,0.056667
scen28,0.063611
scen29,0.040694
scen30,0.048333
scen31,0.058333
scen32,0.043333
scen33,0.035833
scen34,0.053333
scen35,0.038194
scen36,0.034444
scen37,0.045139
scen38,0.023889
scen39,0.021528
scen40,0.030139
scen41,0.039167
scen42,0.032917
scen43,0.056389
scen44,0.062639
scen45,0.062639
scen46,0.063611
scen47,0.058333
scen48,0.035833
scen49,0.056667
scen50,0.045139
scen51,0.040694
scen52,0.048333
scen53,0.032917
scen54,0.043333
scen55,0.023889
scen56,0.053333
scen57,0.038194
scen58,0.034444
scen59,0.03875
scen60,0.023889
scen61,0.021528
scen62,0.030139
scen63,0.039167
scen64,0.026944
scen65,0.025833
scen66,0.019861
scen67,0.017361
scen68,0.058333
scen69,0.048333
scen70,0.062639
scen71,0.045139
scen72,0.044306
scen73,0.035833
scen74,0.056667
scen75,0.03875
scen76,0.040694
scen77,0.039167
scen78,0.032917
scen79,0.043333
scen80,0.029722
scen81,0.053333
scen82,0.038194
scen83,0.034444
scen84,0.035139
scen85,0.023889
scen86,0.021528
scen87,0.030139
scen88,0.032917
scen89,0.026944
scen90,0.025833
scen91,0.019861
scen92,0.017361
scen93,0.02125
scen94,0.023889
scen95,0.019306
scen96,0.048333
scen97,0.044306
scen98,0.053333
scen99,0.045139
scen100,0.032917
scen101,0.035833
scen102,0.030278
scen103,0.03875
scen104,0.040694
scen105,0.039167
scen106,0.042361
scen107,0.043333
scen108,0.029722
scen109,0.019306
scen110,0.038194
scen111,0.034444
scen112,0.035139
scen113,0.023889
scen114,0.021528
scen115,0.030139
scen116,0.032917
scen117,0.026944
scen118,0.025833
scen119,0.019861
scen120,0.017361
scen121,0.02125
scen122,0.023889
scen123,0.0325
scen124,0.025833
scen125,0.032361
scen126,0.014306
scen127,0.032917
scen128,0.045139
scen129,0.039583
scen130,0.040694
scen131,0.039167
scen132,0.02875
scen133,0.030278
scen134,0.03875
scen135,0.022361
scen136,0.032917
scen137,0.042361
scen138,0.043333
scen139,0.029722
scen140,0.019306
scen141,0.038194
scen142,0.034444
scen143,0.035139
scen144,0.023889
scen145,0.021528
scen146,0.030139
scen147,0.016111
scen148,0.026944
scen149,0.025833
scen150,0.019861
scen151,0.017361
scen152,0.02125
scen153,0.023889
scen154,0.0325
scen155,0.025833
scen156,0.032361
scen157,0.014306
scen158,0.019583
scen159,0.01375
scen160,0.019722
scen161,0.021944
scen162,0.030278
scen163,0.039167
scen164,0.029722
scen165,0.040694
scen166,0.032917
scen167,0.043333
scen168,0.038194
scen169,0.03875
scen170,0.022361
scen171,0.030139
scen172,0.042361
scen173,0.017361
scen174,0.020972
scen175,0.019306
scen176,0.032361
scen177,0.034444
scen178,0.035139
scen179,0.023889
scen180,0.021528
scen181,0.017222
scen182,0.016111
scen183,0.026944
scen184,0.025833
scen185,0.019861
scen186,0.014722
scen187,0.02125
scen188,0.023889
scen189,0.0325
scen190,0.025833
scen191,0.019306
scen192,0.014306
scen193,0.019583
scen194,0.01375
scen195,0.019722
scen196,0.021944
scen197,0.011944
scen198,0.022361
scen199,0.025833
scen200,0.014028
scen201,0.032917
scen202,0.03875
scen203,0.029722
scen204,0.035139
scen205,0.042361
scen206,0.043333
scen207,0.038194
scen208,0.034444
scen209,0.023889
scen210,0.030139
scen211,0.026944
scen212,0.017361
scen213,0.020972
scen214,0.019306
scen215,0.032361
scen216,0.019583
scen217,0.020833
scen218,0.019306
scen219,0.021528
scen220,0.017222
scen221,0.016111
scen222,0.026111
scen223,0.025833
scen224,0.019861
scen225,0.014722
scen226,0.02125
scen227,0.023889
scen228,0.0325
scen229,0.025833
scen230,0.019306
scen231,0.014306
scen232,0.009444
scen233,0.01375
scen234,0.019722
scen235,0.021944
scen236,0.011944
scen237,0.022361
scen238,0.025833
scen239,0.014028
scen240,0.010972
scen241,0.018333
scen242,0.014583
scen243,0.012917
scen244,0.042361
scen245,0.030139
scen246,0.043333
scen247,0.034444
scen248,0.021944
scen249,0.020972
scen250,0.023056
scen251,0.020833
scen252,0.023889
scen253,0.016111
scen254,0.026944
scen255,0.017361
scen256,0.022361
scen257,0.019306
scen258,0.032361
scen259,0.019583
scen260,0.021528
scen261,0.019306
scen262,0.021528
scen263,0.017222
scen264,0.012778
scen265,0.026111
scen266,0.025833
scen267,0.019861
scen268,0.014722
scen269,0.02125
scen270,0.023889
scen271,0.0325
scen272,0.025833
scen273,0.019306
scen274,0.014306
scen275,0.009444
scen276,0.01375
scen277,0.019722
scen278,0.021944
scen279,0.011944
scen280,0.022361
scen281,0.025833
scen282,0.014028
scen283,0.010972
scen284,0.018333
scen285,0.014583
scen286,0.012917
scen287,0.009861
scen288,0.008194
scen289,0.016389
scen290,0.01625
scen291,0.022361
scen292,0.023889
scen293,0.021944
scen294,0.019306
scen295,0.019306
scen296,0.026944
scen297,0.020972
scen298,0.0325
scen299,0.020833
scen300,0.021528
scen301,0.016111
scen302,0.026111
scen303,0.017361
scen304,0.022361
scen305,0.026944
scen306,0.032361
scen307,0.019583
scen308,0.021528
scen309,0.011944
scen310,0.025833
scen311,0.017222
scen312,0.012778
scen313,0.019722
scen314,0.025833
scen315,0.019861
