,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30
t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.81,5.81,5.81,5.81,5.81,0,0,0,0,0,0,0,0,0,0,0
t9,42.74,42.74,44.335,57.05,57.05,57.05,57.05,57.05,57.05,57.05,69.26,69.26,52.72,52.72,64.73,64.73,64.73,64.73,64.73,0,0,0,0,0,0,0,0,0,0,0
t10,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,622.06,616.43,616.43,616.43,578.896,0,0,0,0,0,0,0,0,0,0,0
t11,684.618,684.618,684.618,724.39,724.39,724.39,724.39,724.39,750.813,750.813,782.397,782.397,782.397,782.397,812.752,806.16,806.16,806.16,806.16,0,0,0,0,0,0,0,0,0,0,0
t12,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,801.23,879.81,861.29,861.29,861.29,861.29,861.29,861.29,861.29,861.29,0,0,0,0,0,0,0,0,0,0,0
t13,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,1000.61,974.568,834.133,843.07,843.07,845.63,845.63,845.63,845.63,0,0,0,0,0,0,0,0,0,0,0
t14,1044.96,1044.96,1044.96,1045.217,1045.217,1045.217,1045.217,1045.217,1049.89,1049.89,1056,1056,1056,1056,1008.873,1008.873,1008.873,1008.873,1008.873,0,0,0,0,0,0,0,0,0,0,0
t15,944.03,944.03,950.83,950.83,950.83,950.83,950.83,950.83,950.83,950.83,1063.69,1063.69,1063.69,1003.91,999.07,996.51,996.51,996.51,985.62,0,0,0,0,0,0,0,0,0,0,0
t16,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,930.21,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,932.35,0,0,0,0,0,0,0,0,0,0,0
t17,788.62,788.62,797.38,797.38,797.38,797.38,797.38,797.38,811.21,811.21,811.21,811.21,811.21,811.21,811.21,811.21,811.21,811.21,809.08,0,0,0,0,0,0,0,0,0,0,0
t18,867.3,867.3,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,847.59,0,0,0,0,0,0,0,0,0,0,0
t19,181.31,181.31,185.46,185.46,185.46,185.46,185.46,185.46,190.54,190.54,211.34,204.1,197.37,190.98,193.54,193.54,193.54,193.54,206.56,0,0,0,0,0,0,0,0,0,0,0
t20,136.25,136.25,136.25,136.25,136.25,136.25,136.25,136.25,134.61,134.61,134.61,134.61,122.13,118.77,121.05,123.61,123.61,123.61,123.61,0,0,0,0,0,0,0,0,0,0,0
t21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t24,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,0,0,0,0,0,0,0,0,0,0,0
