Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.05,1.0,3.0,0.0,0.56063,0.6288,4642.92262,12656.78893,10257.32179,0.56063,4201.0,20002.0,428.49199,5560.98322,0.0,1.0,132.69199,-570.0
600.0,0.05,2.0,3.0,0.0,0.556,0.6288,4642.92262,12524.81071,10257.32179,0.556,4201.0,20003.0,332.69199,5560.98322,0.0,3.0,132.69199,-570.0
600.0,0.05,3.0,3.0,0.0,0.56063,0.6288,4642.92262,12656.78893,10257.32179,0.56063,4201.0,20003.0,662.19199,5560.98322,0.0,1.0,132.69199,-570.0
600.0,0.05,4.0,3.0,0.0,0.56063,0.6288,4642.92262,12656.78893,10257.32179,0.56063,4201.0,20007.0,664.15828,5560.98322,0.0,1.0,132.69199,-570.0
600.0,0.05,5.0,3.0,0.0,0.56063,0.6288,4642.92262,12656.78893,10257.32179,0.56063,4201.0,20003.0,182.69199,5560.98322,0.0,1.0,132.69199,-570.0
600.0,0.05,6.0,4.0,0.0,0.56063,0.6288,4642.92262,12656.78893,10257.32179,0.56063,4201.0,20011.0,0.0,5560.98322,0.0,1.0,132.69199,-570.0
600.0,0.05,1.0,3.0,0.0,0.56707,0.64037,4475.81273,12593.20444,10494.17805,0.56707,4201.0,20003.0,427.87242,5452.00263,0.0,1.0,132.07242,-570.0
600.0,0.05,2.0,3.0,0.0,0.5616,0.64037,4475.81273,12436.17696,10495.84472,0.5616,4201.0,20004.0,332.07242,5452.00263,0.0,3.0,132.07242,-570.0
600.0,0.05,3.0,3.0,0.0,0.56707,0.64037,4475.81273,12593.20444,10494.17805,0.56707,4201.0,20003.0,661.57242,5452.00263,0.0,1.0,132.07242,-570.0
600.0,0.05,4.0,3.0,0.0,0.56707,0.64037,4475.81273,12593.20444,10494.17805,0.56707,4201.0,20003.0,663.53871,5452.00263,0.0,1.0,132.07242,-570.0
600.0,0.05,5.0,3.0,0.0,0.56707,0.64037,4475.81273,12593.20444,10494.17805,0.56707,4201.0,20004.0,182.07242,5452.00263,0.0,1.0,132.07242,-570.0
600.0,0.05,6.0,4.0,0.0,0.56707,0.64037,4475.81273,12593.20444,10494.17805,0.56707,4201.0,20013.0,0.0,5452.00263,0.0,1.0,132.07242,-570.0
600.0,0.05,1.0,3.0,0.0,0.56374,0.6218,4701.44132,12586.2991,10513.52276,0.56374,4201.0,20003.0,427.73779,5490.91305,0.0,1.0,131.93779,-570.0
600.0,0.05,2.0,3.0,0.0,0.5592,0.6218,4701.44132,12456.79922,10510.65583,0.5592,4201.0,20003.0,331.93779,5490.91305,0.0,3.0,131.93779,-570.0
600.0,0.05,3.0,3.0,0.0,0.56374,0.6218,4701.44132,12586.2991,10513.52276,0.56374,4201.0,20003.0,661.43779,5490.91305,0.0,1.0,131.93779,-570.0
600.0,0.05,4.0,3.0,0.0,0.56374,0.6218,4701.44132,12586.2991,10513.52276,0.56374,4201.0,20003.0,663.40408,5490.91305,0.0,1.0,131.93779,-570.0
600.0,0.05,5.0,3.0,0.0,0.56374,0.6218,4701.44132,12586.2991,10513.52276,0.56374,4201.0,20003.0,181.93779,5490.91305,0.0,1.0,131.93779,-570.0
600.0,0.05,6.0,4.0,0.0,0.56374,0.6218,4701.44132,12586.2991,10513.52276,0.56374,4201.0,20012.0,0.0,5490.91305,0.0,1.0,131.93779,-570.0
600.0,0.05,1.0,3.0,0.0,0.56077,0.63762,4573.72684,12749.56329,10746.68114,0.56077,4201.0,20004.0,427.60455,5599.98663,0.0,1.0,131.80455,-570.0
600.0,0.05,2.0,3.0,0.0,0.55648,0.63762,4573.72684,12626.16451,10751.21474,0.55648,4201.0,20004.0,331.80455,5599.98663,0.0,3.0,131.80455,-570.0
600.0,0.05,3.0,3.0,0.0,0.56077,0.63762,4573.72684,12749.56329,10746.68114,0.56077,4201.0,20003.0,661.30455,5599.98663,0.0,1.0,131.80455,-570.0
600.0,0.05,4.0,3.0,0.0,0.56077,0.63762,4573.72684,12749.56329,10746.68114,0.56077,4201.0,20004.0,663.27083,5599.98663,0.0,1.0,131.80455,-570.0
600.0,0.05,5.0,3.0,0.0,0.56077,0.63762,4573.72684,12749.56329,10746.68114,0.56077,4201.0,20003.0,181.80455,5599.98663,0.0,1.0,131.80455,-570.0
600.0,0.05,6.0,4.0,0.0,0.56077,0.63762,4573.72684,12749.56329,10746.68114,0.56077,4201.0,20013.0,0.0,5599.98663,0.0,1.0,131.80455,-570.0
600.0,0.05,1.0,3.0,0.0,0.56866,0.62251,4709.68284,12618.56523,10311.17741,0.56866,4201.0,20004.0,428.05738,5442.92522,0.0,1.0,132.25738,-570.0
600.0,0.05,2.0,3.0,0.0,0.56433,0.62251,4709.68284,12493.22906,10311.17741,0.56433,4201.0,20004.0,332.25738,5442.92522,0.0,3.0,132.25738,-570.0
600.0,0.05,3.0,3.0,0.0,0.56866,0.62251,4709.68284,12618.56523,10311.17741,0.56866,4201.0,20003.0,661.75738,5442.92522,0.0,1.0,132.25738,-570.0
600.0,0.05,4.0,3.0,0.0,0.56866,0.62251,4709.68284,12618.56523,10311.17741,0.56866,4201.0,20006.0,663.72367,5442.92522,0.0,1.0,132.25738,-570.0
600.0,0.05,5.0,3.0,0.0,0.56866,0.62251,4709.68284,12618.56523,10311.17741,0.56866,4201.0,20006.0,182.25738,5442.92522,0.0,1.0,132.25738,-570.0
600.0,0.05,6.0,4.0,0.0,0.56866,0.62251,4709.68284,12618.56523,10311.17741,0.56866,4201.0,20014.0,0.0,5442.92522,0.0,1.0,132.25738,-570.0
600.0,0.05,1.0,3.0,0.0,0.55363,0.62202,4776.02276,12781.08056,10583.45561,0.55363,4201.0,20004.0,427.91338,5705.14747,0.0,1.0,132.11338,-570.0
600.0,0.05,2.0,3.0,0.0,0.54926,0.62202,4776.02276,12657.30022,10591.32254,0.54926,4201.0,20002.0,332.11338,5705.14747,0.0,3.0,132.11338,-570.0
600.0,0.05,3.0,3.0,0.0,0.55363,0.62202,4776.02276,12781.08056,10583.45561,0.55363,4201.0,20003.0,661.61338,5705.14747,0.0,1.0,132.11338,-570.0
600.0,0.05,4.0,3.0,0.0,0.55363,0.62202,4776.02276,12781.08056,10583.45561,0.55363,4201.0,20006.0,663.57967,5705.14747,0.0,1.0,132.11338,-570.0
