Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,Obj. LR (UB),"Obj. LR (LB),",BBP,Best iter,Lambda best iter,Gamma best iter
900.0,0.01,1.0,2.0,0.0,0.00883,0.12089,236.88926,244.54777,0.00883,4251.0,2380.0,516.78,242.38854,,,,,,
900.0,0.01,2.0,2.0,0.0,0.00883,0.12089,236.88926,244.54777,0.00883,4251.0,2384.0,0.22447,242.38854,,,,,,
900.0,0.01,3.0,2.0,0.0,0.00883,0.12089,236.88926,244.54777,0.00883,4251.0,2361.0,668.25,242.38854,,,,,,
900.0,0.01,4.0,2.0,0.0,0.00883,0.12089,236.88926,244.54777,0.00883,4251.0,2413.0,630.03214,242.38854,,,,,,
900.0,0.01,5.0,2.0,0.0,0.00883,0.12089,236.88926,244.54777,0.00883,4251.0,2338.0,0.16835,242.38854,,,,,,
900.0,0.01,6.0,2.0,0.0,0.00883,0.12089,236.88926,244.54777,0.00883,4251.0,4256.0,1.34366,242.38854,,,,,,
900.0,0.01,1.0,6.0,0.0,0.02941,0.14057,230.97971,247.49253,0.02941,4252.0,2254.0,495.9,240.21258,,,,,,
900.0,0.01,2.0,3.0,0.0,0.02941,0.14057,230.97971,247.49253,0.02941,4252.0,2741.0,0.44893,240.21258,,,,,,
900.0,0.01,3.0,8.0,0.0,0.02941,0.14057,230.97971,247.49253,0.02941,4252.0,2253.0,645.41786,240.21258,,,,,,
900.0,0.01,4.0,5.0,0.0,0.02941,0.14057,230.97971,247.49253,0.02941,4252.0,2251.0,616.31107,240.21258,,,,,,
900.0,0.01,5.0,3.0,0.0,0.02941,0.14057,230.97971,247.49253,0.02941,4252.0,2537.0,0.28058,240.21258,,,,,,
900.0,0.01,6.0,3.0,0.0,0.0271,0.14057,230.97971,246.90468,0.0271,4252.0,4307.0,0.0,240.21258,,,,,,
900.0,0.01,1.0,7.0,0.0,0.01471,0.10678,240.44685,247.65477,0.01471,4249.0,2254.0,490.68,244.01279,,,,,,
900.0,0.01,2.0,3.0,0.0,0.01471,0.10678,240.44685,247.65477,0.01471,4249.0,2731.0,0.44893,244.01279,,,,,,
900.0,0.01,3.0,7.0,0.0,0.01471,0.10678,240.44685,247.65477,0.01471,4249.0,2252.0,648.11786,244.01279,,,,,,
900.0,0.01,4.0,2.0,0.0,0.01518,0.10678,240.44685,247.77315,0.01518,4249.0,2385.0,0.0,244.01279,,,,,,
900.0,0.01,5.0,3.0,0.0,0.01471,0.10678,240.44685,247.65477,0.01471,4249.0,2714.0,0.28058,244.01279,,,,,,
900.0,0.01,6.0,2.0,0.0,0.01518,0.10678,240.44685,247.77315,0.01518,4249.0,2381.0,0.0,244.01279,,,,,,
900.0,0.01,1.0,2.0,0.0,0.03037,1.0,240.67548,248.38182,0.03037,4253.0,2465.0,516.78,240.83862,,,,,,
900.0,0.01,2.0,2.0,0.0,0.03037,1.0,240.67548,248.38182,0.03037,4253.0,2498.0,0.22447,240.83862,,,,,,
900.0,0.01,3.0,2.0,0.0,0.03037,1.0,240.67548,248.38182,0.03037,4253.0,2438.0,668.25,240.83862,,,,,,
900.0,0.01,4.0,2.0,0.0,0.03037,1.0,240.67548,248.38182,0.03037,4253.0,2452.0,630.03214,240.83862,,,,,,
900.0,0.01,5.0,2.0,0.0,0.03037,1.0,240.67548,248.38182,0.03037,4253.0,2415.0,0.16835,240.83862,,,,,,
900.0,0.01,6.0,2.0,0.0,0.03037,1.0,240.67548,248.38182,0.03037,4253.0,2582.0,0.57563,240.83862,,,,,,
900.0,0.01,1.0,2.0,0.0,0.02265,0.10093,242.87275,249.4565,0.02265,4249.0,2364.0,516.78,243.80646,,,,,,
900.0,0.01,2.0,2.0,0.0,0.02265,0.10093,242.87275,249.4565,0.02265,4249.0,2389.0,0.22447,243.80646,,,,,,
900.0,0.01,3.0,2.0,0.0,0.02265,0.10093,242.87275,249.4565,0.02265,4249.0,2357.0,668.25,243.80646,,,,,,
900.0,0.01,4.0,2.0,0.0,0.02265,0.10093,242.87275,249.4565,0.02265,4249.0,2389.0,630.03214,243.80646,,,,,,
900.0,0.01,5.0,2.0,0.0,0.02265,0.10093,242.87275,249.4565,0.02265,4249.0,2355.0,0.16835,243.80646,,,,,,
900.0,0.01,6.0,2.0,0.0,0.02265,0.10093,242.87275,249.4565,0.02265,4249.0,2408.0,0.57214,243.80646,,,,,,
900.0,0.01,1.0,2.0,0.0,0.01949,0.09364,244.56412,251.33151,0.01949,4252.0,2436.0,516.78,246.43198,,,,,,
900.0,0.01,2.0,2.0,0.0,0.01949,0.09364,244.56412,251.33151,0.01949,4252.0,2450.0,0.22447,246.43198,,,,,,
900.0,0.01,3.0,2.0,0.0,0.01949,0.09364,244.56412,251.33151,0.01949,4252.0,2386.0,668.25,246.43198,,,,,,
900.0,0.01,4.0,2.0,0.0,0.01949,0.09364,244.56412,251.33151,0.01949,4252.0,2430.0,630.03214,246.43198,,,,,,
900.0,0.01,5.0,2.0,0.0,0.01949,0.09364,244.56412,251.33151,0.01949,4252.0,2405.0,0.16835,246.43198,,,,,,
900.0,0.01,6.0,2.0,0.0,0.01949,0.09364,244.56412,251.33151,0.01949,4252.0,2522.0,0.56496,246.43198,,,,,,
900.0,0.01,1.0,2.0,0.0,0.02994,0.09515,239.73785,247.14616,0.02994,4252.0,2413.0,516.78,239.7464,,,,,,
900.0,0.01,2.0,2.0,0.0,0.02994,0.09515,239.73785,247.14616,0.02994,4252.0,2456.0,0.22447,239.7464,,,,,,
900.0,0.01,3.0,2.0,0.0,0.02994,0.09515,239.73785,247.14616,0.02994,4252.0,2403.0,668.25,239.7464,,,,,,
900.0,0.01,4.0,2.0,0.0,0.02994,0.09515,239.73785,247.14616,0.02994,4252.0,2421.0,630.03214,239.7464,,,,,,
900.0,0.01,5.0,2.0,0.0,0.02994,0.09515,239.73785,247.14616,0.02994,4252.0,2399.0,0.16835,239.7464,,,,,,
900.0,0.01,6.0,2.0,0.0,0.02994,0.09515,239.73785,247.14616,0.02994,4252.0,2491.0,0.57704,239.7464,,,,,,
900.0,0.01,1.0,2.0,0.0,0.01385,0.16189,226.46315,248.29367,0.01385,4251.0,3253.0,0.0,244.85577,,,,,,
900.0,0.01,2.0,7.0,0.0,0.01385,0.16189,226.46315,248.29367,0.01385,4251.0,2251.0,67.43591,244.85577,,,,,,
900.0,0.01,3.0,2.0,0.0,0.01385,0.16189,226.46315,248.29367,0.01385,4251.0,2464.0,0.0,244.85577,,,,,,
900.0,0.01,4.0,2.0,0.0,0.01385,0.16189,226.46315,248.29367,0.01385,4251.0,2454.0,0.0,244.85577,,,,,,
900.0,0.01,5.0,10.0,0.0,0.01385,0.16189,226.46315,248.29367,0.01385,4251.0,2265.0,236.4703,244.85577,,,,,,
900.0,0.01,6.0,2.0,0.0,0.01385,0.16189,226.46315,248.29367,0.01385,4251.0,2335.0,0.0,244.85577,,,,,,
900.0,0.01,1.0,10.0,0.0,0.02209,0.15307,227.21287,251.94585,0.02209,4248.0,2235.0,475.02,246.38109,,,,,,
900.0,0.01,2.0,3.0,0.0,0.02209,0.15307,227.21287,251.94585,0.02209,4248.0,2638.0,0.44893,246.38109,,,,,,
900.0,0.01,3.0,10.0,0.0,0.02209,0.15307,227.21287,251.94585,0.02209,4248.0,2210.0,640.71331,246.38109,,,,,,
900.0,0.01,4.0,10.0,0.0,0.02209,0.15307,227.21287,251.94585,0.02209,4248.0,2233.0,600.20712,246.38109,,,,,,
