Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,134.0,0.0
,,,,,,,,,,,,81.0,0.0
,,,,,,,,,,,,124.0,0.0
,,,,,,,,,,,,135.0,0.0
,,,,,,,,,,,,184.0,0.0
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,128.0,0.0
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,80.0,0.0
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,77.0,0.0
,,,,,,,,,,,,80.0,0.0
,,,,,,,,,,,,139.0,0.0
,,,,,,,,,,,,80.0,0.0
,,,,,,,,,,,,125.0,0.0
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,122.0,0.0
,,,,,,,,,,,,80.0,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
