Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
,,,,,,,,,,,,,-238.41829
,,,,,,,,,,,,,-238.24374
,,,,,,,,,,,,,-235.54131
,,,,,,,,,,,,,-235.40316
,,,,,,,,,,,,,-238.29121
,,,,,,,,,,,,,-238.47515
,,,,,,,,,,,,,-235.19512
,,,,,,,,,,,,,-235.47218
,,,,,,,,,,,,,-235.38818
,,,,,,,,,,,,,-235.521
,,,,,,,,,,,,,-238.44489
,,,,,,,,,,,,,-238.35781
,,,,,,,,,,,,,-232.30401
,,,,,,,,,,,,,-235.45803
,,,,,,,,,,,,,-233.95946
,,,,,,,,,,,,,-234.37002
,,,,,,,,,,,,,-238.57996
,,,,,,,,,,,,,-233.48046
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-234.38234
,,,,,,,,,,,,,-239.531
,,,,,,,,,,,,,-239.83256
,,,,,,,,,,,,,-239.62246
,,,,,,,,,,,,,-239.41711
,,,,,,,,,,,,,-239.77882
,,,,,,,,,,,,,-239.9999
,,,,,,,,,,,,,-239.20684
,,,,,,,,,,,,,-239.50338
,,,,,,,,,,,,,-239.27142
,,,,,,,,,,,,,-239.58914
,,,,,,,,,,,,,-239.60059
,,,,,,,,,,,,,-239.50663
,,,,,,,,,,,,,-239.22744
,,,,,,,,,,,,,-239.39922
,,,,,,,,,,,,,-238.54843
,,,,,,,,,,,,,-239.69438
,,,,,,,,,,,,,-239.73362
,,,,,,,,,,,,,-239.29553
,,,,,,,,,,,,,-239.59663
,,,,,,,,,,,,,-239.7066
,,,,,,,,,,,,17364.0,-253.58625
,,,,,,,,,,,,18884.0,-253.39192
,,,,,,,,,,,,19386.0,-253.73941
,,,,,,,,,,,,15799.0,-253.6736
,,,,,,,,,,,,19419.0,-254.48339
,,,,,,,,,,,,19323.0,-254.6161
,,,,,,,,,,,,19417.0,-253.37688
,,,,,,,,,,,,18602.0,-254.5363
,,,,,,,,,,,,18695.0,-253.35313
,,,,,,,,,,,,18791.0,-254.72908
,,,,,,,,,,,,19082.0,-253.51249
,,,,,,,,,,,,19682.0,-253.48904
,,,,,,,,,,,,18483.0,-253.43231
,,,,,,,,,,,,19134.0,-253.51324
,,,,,,,,,,,,18399.0,-254.33944
,,,,,,,,,,,,15933.0,-253.7502
,,,,,,,,,,,,18958.0,-254.83946
,,,,,,,,,,,,18560.0,-253.36206
,,,,,,,,,,,,18151.0,-253.69706
,,,,,,,,,,,,19238.0,-253.70328
,,,,,,,,,,,,,-254.96453
,,,,,,,,,,,,,-254.88592
,,,,,,,,,,,,,-255.16418
,,,,,,,,,,,,,-255.08242
,,,,,,,,,,,,,-254.9223
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.78524
,,,,,,,,,,,,,-254.99663
,,,,,,,,,,,,,-254.69824
,,,,,,,,,,,,,-255.17351
,,,,,,,,,,,,,-254.94288
,,,,,,,,,,,,,-254.85619
,,,,,,,,,,,,,-254.89034
,,,,,,,,,,,,,-254.88707
,,,,,,,,,,,,,-254.7952
,,,,,,,,,,,,,-255.24012
,,,,,,,,,,,,,-258.65976
,,,,,,,,,,,,,-254.77871
,,,,,,,,,,,,,-255.11022
,,,,,,,,,,,,,-255.05139
