Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
,,,,,,,,,,,,,-238.41829
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-238.24374
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-235.54131
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-235.40316
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-238.29121
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-238.47515
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-235.19512
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-235.47218
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-235.38818
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-235.521
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-238.44489
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-238.35781
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-232.30401
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-235.45803
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-233.95946
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-234.37002
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-238.57996
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-233.48046
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-234.38234
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.531
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.83256
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.62246
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.41711
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.77882
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.9999
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.20684
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.50338
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.27142
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.58914
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.60059
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.50663
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.22744
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.39922
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-238.54843
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.69438
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.73362
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.29553
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.59663
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-239.7066
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,17364.0,-253.58625
,,,,,,,,,,,,134.0,0.0
,,,,,,,,,,,,18884.0,-253.39192
,,,,,,,,,,,,81.0,0.0
,,,,,,,,,,,,19386.0,-253.73941
,,,,,,,,,,,,124.0,0.0
,,,,,,,,,,,,15799.0,-253.6736
,,,,,,,,,,,,135.0,0.0
,,,,,,,,,,,,19419.0,-254.48339
,,,,,,,,,,,,184.0,0.0
,,,,,,,,,,,,19323.0,-254.6161
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,19417.0,-253.37688
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,18602.0,-254.5363
,,,,,,,,,,,,128.0,0.0
,,,,,,,,,,,,18695.0,-253.35313
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,18791.0,-254.72908
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,19082.0,-253.51249
,,,,,,,,,,,,80.0,0.0
,,,,,,,,,,,,19682.0,-253.48904
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,18483.0,-253.43231
,,,,,,,,,,,,77.0,0.0
,,,,,,,,,,,,19134.0,-253.51324
,,,,,,,,,,,,80.0,0.0
,,,,,,,,,,,,18399.0,-254.33944
,,,,,,,,,,,,139.0,0.0
,,,,,,,,,,,,15933.0,-253.7502
,,,,,,,,,,,,80.0,0.0
,,,,,,,,,,,,18958.0,-254.83946
,,,,,,,,,,,,125.0,0.0
,,,,,,,,,,,,18560.0,-253.36206
,,,,,,,,,,,,79.0,0.0
,,,,,,,,,,,,18151.0,-253.69706
,,,,,,,,,,,,122.0,0.0
,,,,,,,,,,,,19238.0,-253.70328
,,,,,,,,,,,,80.0,0.0
,,,,,,,,,,,,,-254.96453
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.88592
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-255.16418
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-255.08242
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.9223
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.78524
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.99663
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.69824
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-255.17351
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.94288
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.85619
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.89034
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.88707
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.7952
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-255.24012
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-258.65976
,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,-254.77871
