,Solar: actuals,Solar: forecasts,Solar: quicklow_diverse1,Solar: quicklow_diverse2,Solar: quicklow_diverse3,Solar: quicklow_diverse4,Solar: quickhigh_diverse1,Solar: quickhigh_diverse2,Solar: quickhigh_diverse3,Solar: quickhigh_diverse4
Probability,1.0,1.0,0.08686070166487823,0.14438534114244977,0.15561546675754923,0.11313849043512275,0.11313849043512277,0.1556154667575492,0.1443853411424498,0.0868607016648782
2013-05-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29 07:00:00,0.30000048,41.19988547999999,0.0,0.0,0.0,0.0,89.74527343657138,89.74527343657138,89.74527343657138,89.74527343657138
2013-05-29 08:00:00,50.80000068,132.18998051999998,43.86373851157494,43.86373851157494,43.86373851157494,43.86373851157494,229.28075643314276,229.28075643314276,229.28075643314276,229.28075643314276
2013-05-29 09:00:00,357.20000003999996,282.30187284,149.81250982736242,149.81250982736242,149.81250982736242,149.81250982736242,427.93803670971414,427.93803670971414,427.93803670971414,427.93803670971414
2013-05-29 10:00:00,954.69999924,515.50827432,338.85579030315,338.85579030315,338.85579030315,338.85579030315,709.6898261462857,709.6898261462857,709.6898261462857,709.6898261462857
2013-05-29 11:00:00,987.2000002799999,1010.80154136,808.3818080946054,845.8567640245676,879.7457127475584,933.3001945795256,1105.0490367691139,1142.5239926990762,1176.412941422067,1229.9674232540342
2013-05-29 12:00:00,1024.20000072,915.51817344,687.3311909260609,762.2811027859854,830.059000231967,937.1679638959015,909.8316124319423,984.7815242918667,1052.5594217378484,1159.6683854017829
2013-05-29 13:00:00,1011.30000036,848.81041596,594.8561841975163,707.2810519874029,808.9478981563756,969.6113436522771,743.1897985347705,855.6146663246573,957.2815124936299,1117.9449579895313
2013-05-29 14:00:00,849.89999952,696.7305852,417.0091041889717,566.9089279088205,702.4647228007841,916.6826501286528,491.17591135759886,641.0757350774477,776.6315299694113,990.84945729728
2013-05-29 15:00:00,586.2000003600001,459.4102032,153.92147294042724,341.2962525902383,510.7409962051928,778.5134053650286,153.92147294042724,341.2962525902383,510.7409962051928,778.5134053650286
2013-05-29 16:00:00,199.99999968,259.05312888000003,29.93658118532045,170.46766592267875,297.5512236338946,498.3805305037715,29.93658118532045,170.46766592267875,297.5512236338946,498.3805305037715
2013-05-29 17:00:00,30.100000320000003,124.82385084,0.0,65.76687553511914,150.4892473425964,284.37545192251434,0.0,65.76687553511914,150.4892473425964,284.37545192251434
2013-05-29 18:00:00,0.3999996,0.0,0.0,0.0,12.832698251298197,79.77580054125715,0.0,0.0,12.832698251298197,79.77580054125715
2013-05-29 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-29 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
