100,0.01,278.6,316,0.02%,
,0.03,284.3,"1,637",1.81%,
,0.05,290.47,"1,240",3.45%,3865.52%
,0.07,296.99,"1,269",4.47%,
600,0.01,250.7,"3,826",0.88%,-87.15%
,0.03,256.4,textbf{T},1.75%,-89.37%
,0.05,261.59,textbf{T},2.67%,-86.10%
,0.07,270.42,textbf{T},4.43%,-71.84%
900,0.01,246.52,textbf{T},0.66%,-95.91%
,0.03,252.24,textbf{T},2.59%,-86.94%
,0.05,259.01,textbf{T},2.05%,-90.31%
,0.07,260.36,textbf{T},2.04%,-91.24%
1500,0.01,246.56,textbf{T},4.54%,-56.22%
,0.03,247.39,textbf{T},3.20%,-81.58%
,0.05,$287.34^#$,textbf{T},11.78%,-37.01%
,0.07,$293.33^#$,textbf{T},13.09%,-39.21%
