Omega,Tolerance,Objective,Time,Improvement,Objective,Time,Improvement,Objective,Time,Improvement
100,0.01,253.92,123,-0.10%,232.26,127,-19.93%,278.54,53,0.00%
,0.03,258.16,191,-8.48%,232.54,451,-20.43%,279.16,61,-0.32%
,0.05,265.16,245,-5.97%,232.79,429,-20.70%,280.43,57,-0.20%
,0.07,265.43,289,-6.99%,277.26,693,-2.43%,283.71,58,-0.10%
600,0.01,238.39,669,-3.39%,xmark,244, ,248.50,13,0.78%
,0.03,240.03,768,3.29%,xmark,552, ,251.93,16,7.86%
,0.05,254.61,829,8.76%,xmark,583, ,252.48,18,7.99%
,0.07,258.43,873,4.43%,xmark,846, ,253.08,21,2.41%
900,0.01,234.38,"1,024",4.04%,xmark,267, ,244.89,30,8.16%
,0.03,239.71,"1,115",6.21%,xmark,630, ,245.71,46,8.50%
,0.05,253.70,"1,194",11.27%,xmark,573, ,245.97,254,8.48%
,0.07,255.05,"1,246",11.85%,xmark,948, ,246.22,194,8.69%
"1,500",0.01,235.36,"1,815",-1.36%,xmark,429, ,233.37,69,-2.23%
,0.03,239.46,"1,970",3.80%,xmark,836, ,235.44,61,2.16%
,0.05,253.49,"2,083",7.85%,xmark,739, ,235.63,59,0.86%
,0.07,254.93,"2,137",9.65%,xmark,"1,260", ,239.96,56,4.01%
