100,0.01,"(271.87, 275.34)","(56, 83)","(0, 0.02%)"
,0.03,"(277.94, 280.14)","(204, 239)","(0.01%, 0.04%)"
,0.05,"(281.0, 282.23)","(390, 450)","(0.01%, 0.04%)"
,0.07,"(282.91, 284.12)","(558, 648)","(0.03%, 0.07%)"
600,0.01,"(241.95, 246.58)","(4238, 4242)","(6.61%, 8.29%)"
,0.03,"(239.63, 244.64)","(4237, 4240)","(11.97%, 13.61%)"
,0.05,"(239.45, 244.47)","(4238, 4241)","(15%, 16.62%)"
,0.07,"(240.44, 244.87)","(4240, 4242)","(16.48%, 17.89%)"
900,0.01,"(234.61, 240.40)","(4250, 4251)","(8.95%, 32.25%)"
,0.03,"(234, 239.43)","(4245, 4253)","(20.51%, 52.65%)"
,0.05,"(234.28, 240)","(4238, 4251)","(46.53%, 81.72%)"
,0.07,"(235.21, 240.51)","(4236, 4249)","(68.76%, 97.46%)"
"1,500",0.01,"(236.1, 240.1)","(4211, 4212)","(10.03%, 11.41%)"
,0.03,"(233.4, 237.94)","(4211, 4211)","(14.88%, 16.48%)"
,0.05,"(233.61, 237.78)","(4210, 4211)","(17.1%, 18.51%)"
,0.07,"(233.86, 237.94)","(4211, 4212)","(18.93%, 20.34%)"
