Unnamed: 0,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,IR,AP
0,100.0,0.05,1.0,2.0,0.0,0.58611,0.4123,6745.25847,10133.72314,0.33438,4201.0,3400.0,846.34696,4194.23487,5624.3331,4850.88086
1,100.0,0.05,2.0,2.0,0.0,0.55302,0.4123,6745.25847,10852.65601,0.37847,4201.0,3390.0,794.14696,4850.89676,5624.3331,4850.88086
2,100.0,0.05,3.0,2.0,0.0,0.59396,0.4123,6745.25847,10329.58108,0.347,4201.0,3398.0,885.39696,4194.23487,5624.3331,4850.88086
3,100.0,0.05,4.0,2.0,0.0,0.59396,0.4123,6745.25847,10329.58108,0.347,4201.0,3395.0,885.61142,4194.23487,5624.3331,4850.88086
4,100.0,0.05,5.0,2.0,0.0,0.57348,0.4123,6745.25847,11373.27599,0.40692,4201.0,3405.0,944.14696,4850.89676,5624.3331,4850.88086
5,100.0,0.05,6.0,2.0,0.0,0.60759,0.4123,6745.25847,10688.50692,0.36892,4201.0,3406.0,0.0,4194.23487,5624.3331,4850.88086
0,100.0,0.05,1.0,3.0,0.0,0.56772,0.43696,6293.60004,9716.54484,0.35228,4203.0,4337.0,841.58583,4200.28221,5699.24243,5170.26905
1,100.0,0.05,2.0,4.0,0.0,0.5055,0.43696,6293.60004,10455.54484,0.39806,4203.0,4477.0,792.28583,5170.2564,5699.24243,5170.26905
2,100.0,0.05,3.0,3.0,0.0,0.57623,0.43696,6293.60004,9911.79484,0.36504,4203.0,4337.0,880.53583,4200.28221,5699.24243,5170.26905
3,100.0,0.05,4.0,3.0,0.0,0.57628,0.43696,6293.60004,9912.86717,0.36511,4203.0,4334.0,880.86355,4200.28221,5699.24243,5170.26905
4,100.0,0.05,5.0,3.0,0.0,0.49339,0.43696,6293.60004,10205.54484,0.38332,4203.0,4337.0,842.28583,5170.2564,5699.24243,5170.26905
5,100.0,0.05,6.0,4.0,0.0,0.59364,0.43696,6293.60004,10336.26027,0.39111,4203.0,4338.0,0.0,4200.28221,5699.24243,5170.26905
0,100.0,0.05,1.0,2.0,0.0,0.58611,0.41177,6745.25847,10133.72314,0.33438,4206.0,3404.0,846.34696,4194.23487,5624.3331,4850.88086
1,100.0,0.05,2.0,2.0,0.0,0.55302,0.41177,6745.25847,10852.65601,0.37847,4206.0,3386.0,794.14696,4850.89676,5624.3331,4850.88086
2,100.0,0.05,3.0,2.0,0.0,0.59396,0.41177,6745.25847,10329.58108,0.347,4206.0,3395.0,885.39696,4194.23487,5624.3331,4850.88086
3,100.0,0.05,4.0,2.0,0.0,0.59396,0.41177,6745.25847,10329.58108,0.347,4206.0,3398.0,885.61142,4194.23487,5624.3331,4850.88086
4,100.0,0.05,5.0,2.0,0.0,0.57348,0.41177,6745.25847,11373.27599,0.40692,4206.0,3404.0,944.14696,4850.89676,5624.3331,4850.88086
5,100.0,0.05,6.0,2.0,0.0,0.60759,0.41177,6745.25847,10688.50692,0.36892,4206.0,3399.0,0.0,4194.23487,5624.3331,4850.88086
0,100.0,0.05,1.0,2.0,0.0,0.61301,0.43945,6458.49612,10027.26361,0.35591,4206.0,2800.0,841.34897,3880.46171,5906.97248,5598.91538
1,100.0,0.05,2.0,2.0,0.0,0.47899,0.43945,6458.49612,10746.22096,0.399,4206.0,2799.0,789.14897,5598.9034,5906.97248,5598.91538
2,100.0,0.05,3.0,2.0,0.0,0.62056,0.43945,6458.49612,10226.76361,0.36847,4206.0,2802.0,880.39897,3880.46171,5906.97248,5598.91538
3,100.0,0.05,4.0,2.0,0.0,0.62056,0.43945,6458.49612,10226.76361,0.36847,4206.0,2793.0,880.61343,3880.46171,5906.97248,5598.91538
4,100.0,0.05,5.0,2.0,0.0,0.49965,0.43945,6458.49612,11189.94267,0.42283,4206.0,2800.0,939.14897,5598.9034,5906.97248,5598.91538
5,100.0,0.05,6.0,2.0,0.0,0.63593,0.43945,6458.49612,10658.67561,0.39406,4206.0,2802.0,0.0,3880.46171,5906.97248,5598.91538
0,100.0,0.05,1.0,2.0,0.0,0.61675,0.43722,6204.32836,9546.93968,0.35012,4206.0,3082.0,848.26183,3658.84171,5415.27274,5029.8848
1,100.0,0.05,2.0,2.0,0.0,0.51111,0.43722,6204.32836,10288.28356,0.39695,4206.0,3080.0,796.06183,5029.8774,5415.27274,5029.8848
2,100.0,0.05,3.0,2.0,0.0,0.62397,0.43722,6204.32836,9730.25533,0.36237,4206.0,3087.0,887.31183,3658.84171,5415.27274,5029.8848
3,100.0,0.05,4.0,2.0,0.0,0.62397,0.43722,6204.32836,9730.25533,0.36237,4206.0,3076.0,887.5263,3658.84171,5415.27274,5029.8848
4,100.0,0.05,5.0,2.0,0.0,0.53277,0.43722,6204.32836,10765.25533,0.42367,4206.0,3088.0,946.06183,5029.8774,5415.27274,5029.8848
5,100.0,0.05,6.0,2.0,0.0,0.63937,0.43722,6204.32836,10145.68927,0.38848,4206.0,3093.0,0.0,3658.84171,5415.27274,5029.8848
0,100.0,0.05,1.0,3.0,0.0,0.5895,0.44188,6332.34096,9846.23327,0.35688,4206.0,4285.0,839.43866,4041.90221,6038.86082,5344.06391
1,100.0,0.05,2.0,4.0,0.0,0.49278,0.44188,6332.34096,10535.84916,0.39897,4206.0,4370.0,790.13866,5344.0354,6038.86082,5344.06391
2,100.0,0.05,3.0,3.0,0.0,0.59748,0.44188,6332.34096,10041.48327,0.36938,4206.0,4286.0,878.38866,4041.90221,6038.86082,5344.06391
