Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
100.0,0.03,1.0,2.0,0.0,0.52156,0.77442,1419.6961,8304.32654,0.52156,4203.0,4200.0,803.87273,3973.15187
100.0,0.03,2.0,10.0,0.0,0.52165,0.77442,1419.6961,8305.90448,0.52165,4203.0,2108.0,759.24276,3973.15187
100.0,0.03,3.0,2.0,0.0,0.52141,0.77442,1419.6961,8301.76185,0.52141,4203.0,4200.0,802.10273,3973.15187
100.0,0.03,4.0,2.0,0.0,0.52141,0.77442,1419.6961,8301.76185,0.52141,4203.0,4200.0,802.23141,3973.15187
100.0,0.03,5.0,10.0,0.0,0.52165,0.77442,1419.6961,8305.90448,0.52165,4203.0,2109.0,713.31861,3973.15187
100.0,0.03,6.0,3.0,0.0,0.52165,0.77442,1419.6961,8305.90448,0.52165,4203.0,4201.0,0.0,3973.15187
100.0,0.03,1.0,2.0,0.0,0.49896,0.77593,1400.21143,7901.76833,0.49896,4226.0,4200.0,808.53888,3959.11571
100.0,0.03,2.0,10.0,0.0,0.49896,0.77593,1400.21143,7901.76833,0.49896,4226.0,2114.0,763.90891,3959.11571
100.0,0.03,3.0,2.0,0.0,0.49896,0.77593,1400.21143,7901.76833,0.49896,4226.0,4200.0,806.76888,3959.11571
100.0,0.03,4.0,2.0,0.0,0.49896,0.77593,1400.21143,7901.76833,0.49896,4226.0,4200.0,806.89756,3959.11571
100.0,0.03,5.0,10.0,0.0,0.49896,0.77593,1400.21143,7901.76833,0.49896,4226.0,2110.0,717.98476,3959.11571
100.0,0.03,6.0,3.0,0.0,0.49896,0.77593,1400.21143,7901.76833,0.49896,4226.0,4201.0,0.0,3959.11571
100.0,0.03,1.0,2.0,0.0,0.52156,0.7744,1419.6961,8304.32654,0.52156,4232.0,4200.0,803.87273,3973.15187
100.0,0.03,2.0,10.0,0.0,0.52165,0.7744,1419.6961,8305.90448,0.52165,4232.0,2109.0,759.24276,3973.15187
100.0,0.03,3.0,2.0,0.0,0.52141,0.7744,1419.6961,8301.76185,0.52141,4232.0,4200.0,802.10273,3973.15187
100.0,0.03,4.0,2.0,0.0,0.52141,0.7744,1419.6961,8301.76185,0.52141,4232.0,4200.0,802.23141,3973.15187
100.0,0.03,5.0,10.0,0.0,0.52165,0.7744,1419.6961,8305.90448,0.52165,4232.0,2109.0,713.31861,3973.15187
100.0,0.03,6.0,3.0,0.0,0.52165,0.7744,1419.6961,8305.90448,0.52165,4232.0,4201.0,0.0,3973.15187
100.0,0.03,1.0,2.0,0.0,0.55444,0.77148,1462.7781,8162.24628,0.55444,4232.0,4200.0,800.95985,3636.75271
100.0,0.03,2.0,10.0,0.0,0.55473,0.77148,1462.7781,8167.46628,0.55473,4232.0,2109.0,756.32988,3636.75271
100.0,0.03,3.0,2.0,0.0,0.55444,0.77148,1462.7781,8162.1293,0.55444,4232.0,4201.0,799.18985,3636.75271
100.0,0.03,4.0,2.0,0.0,0.55444,0.77148,1462.7781,8162.1293,0.55444,4232.0,4201.0,799.31853,3636.75271
100.0,0.03,5.0,10.0,0.0,0.55473,0.77148,1462.7781,8167.46628,0.55473,4232.0,2109.0,710.40573,3636.75271
100.0,0.03,6.0,3.0,0.0,0.55473,0.77148,1462.7781,8167.46628,0.55473,4232.0,4201.0,0.0,3636.75271
100.0,0.03,1.0,2.0,0.0,0.55978,1.0,-562.67364,7740.3325,0.55978,4231.0,4200.0,809.04603,3407.48571
100.0,0.03,2.0,10.0,0.0,0.56007,1.0,-562.67364,7745.5525,0.56007,4231.0,2109.0,764.41606,3407.48571
100.0,0.03,3.0,2.0,0.0,0.55956,0.36435,5952.69107,7736.5525,0.23058,4200.0,4201.0,807.27603,3407.48571
100.0,0.03,4.0,2.0,0.0,0.55956,1.0,-562.67364,7736.5525,0.55956,4231.0,4201.0,807.40471,3407.48571
100.0,0.03,5.0,10.0,0.0,0.56007,1.0,-562.67364,7745.5525,0.56007,4231.0,2109.0,718.49191,3407.48571
100.0,0.03,6.0,3.0,0.0,0.56007,1.0,-562.67364,7745.5525,0.56007,4231.0,4201.0,0.0,3407.48571
100.0,0.03,1.0,2.0,0.0,0.51059,1.0,-562.67364,7785.40133,0.51059,4231.0,4200.0,858.37054,3810.25071
100.0,0.03,2.0,2.0,0.0,0.51059,1.0,-562.67364,7785.40133,0.51059,4231.0,4200.0,807.97426,3810.25071
100.0,0.03,3.0,2.0,0.0,0.51059,0.36506,6119.50187,7785.40133,0.21398,4200.0,4201.0,898.60054,3810.25071
100.0,0.03,4.0,2.0,0.0,0.51059,1.0,-562.67364,7785.40133,0.51059,4231.0,4200.0,898.72922,3810.25071
100.0,0.03,5.0,2.0,0.0,0.51059,1.0,-562.67364,7785.40133,0.51059,4231.0,4200.0,808.48972,3810.25071
100.0,0.03,6.0,2.0,0.0,0.51059,1.0,-562.67364,7785.40133,0.51059,4231.0,4200.0,0.0,3810.25071
100.0,0.03,1.0,2.0,0.0,0.54817,1.0,-562.67364,8179.87045,0.54817,4232.0,4201.0,807.82397,3695.93087
100.0,0.03,2.0,10.0,0.0,0.54817,1.0,-562.67364,8179.87045,0.54817,4232.0,2109.0,763.19401,3695.93087
100.0,0.03,3.0,2.0,0.0,0.54805,0.35799,6230.56983,8177.75135,0.23811,4200.0,4200.0,806.05397,3695.93087
