235      0.002
484 3      0.230       0.009 Equation   Const_6 (2300)
480 1      0.175       0.009 Equation   Const_5 (2300)
477 8      0.270       0.008 Equation   Const_4_2 (2200)
474 4      0.200       0.008 Equation   Const_4_1 (2200)
469 2      0.057       0.007 Equation   Const_3_2 (2300)
466 7      0.025       0.007 Equation   Const_3_1 (2300)
536 5      0.135       0.010 GAMS Fini   
536 6      0.218       0.010 Solve Fini schedule (73525)
441 10      0.011       0.004 Equation   Objective (1)
450 9      0.022       0.006 Equation   Const1_1 (2400)
