,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
w1,48.125,49.998,54.118,3.495,12.298,19.359,17.481,9.288,11.804,9.534,2.771,8.987,7.66,15.971,19.926,32.76,19.596,21.964,33.096,46.781,35.307,39.64,45.1,48.604
w2,38.99,38.282,45.925,3.748,16.205,11.954,2.204,9.873,33.219,12.957,11.709,20.05,13.389,15.889,10.976,38.8,42.131,34.507,36.643,48.168,48.935,30.457,41.644,36.799
w3,27.451,18.193,15.812,10.435,7.011,6.531,12.722,2.718,14.969,2.795,11.743,6.699,4.615,2.73,17.036,33.944,36.353,37.013,32.804,34.699,42.045,24.255,21.067,15.035
w4,36.59,46.459,39.637,19.815,12.614,8.505,15.422,18.448,19.489,6.376,16.227,7.869,0.499,5.718,13.273,26.317,19.398,17.941,34.816,45.092,49.96,25.886,9.632,11.136
w5,50.902,52.618,51.807,19.718,29.273,36.642,8.147,7.313,10.28,7.647,7.302,12.481,8.24,9.534,24.818,23.624,26.422,29.312,22.328,28.456,45.339,17.042,19.554,17.278
w6,32.803,31.332,32.951,11.51,8.64,20.053,6.089,5.565,9.809,1.968,15.947,19.226,13.475,10.943,27.307,30.012,44.867,48.954,20.198,11.997,11.917,22.948,20.736,19.087
w7,45.843,31.444,35.782,6.85,12.097,19.971,8.228,8.922,6.982,12.278,9.651,1.368,1.979,3.99,17.713,44.354,49.057,52.302,17.884,22.389,22.271,33.808,34.462,37.179
w8,32.998,37.52,35.102,15.789,8.455,7.684,7.372,2.227,7.179,16.274,18.722,27.391,12.655,23.562,25.225,30.58,42.421,39.267,37.501,28.026,27.556,26.509,32.489,31.122
w9,34.221,33.574,28.86,4.531,6.852,16.431,8.596,16.023,18.561,18.032,22.548,31.139,22.188,28.416,33.707,33.09,33.855,23.835,35.995,42.916,50.262,27.522,23.667,17.775
w10,38.031,42.366,38.156,0.321,5.819,11.177,17.023,23.892,24.034,9.621,21.57,14.882,4.886,5.786,21.969,46.695,54.263,45.651,30.708,37.226,26.242,25.533,20.899,30.426
w11,30.25,28.555,29.263,11.875,10.927,8.186,18.565,12.105,9.258,9.131,29.953,42.903,9.499,6.352,10.339,30.18,22.404,29.232,33.124,32.724,46.888,34.568,34.301,36.556
w12,43.803,45.788,45.904,4.926,5.005,7.84,11.669,11.819,24.398,12.862,8.147,11.374,2.416,6.57,9.488,29.486,25.429,32.727,29.73,16.774,25.546,24.389,24.103,27.24
w13,42.817,22.334,6.824,3.208,7.863,12.275,2.362,5.283,12.495,0.03,3.873,16.783,6.695,8.93,4.525,8.395,6.248,5.667,25.937,0.429,2.604,16.834,24.119,15.726
w14,62.143,69.368,76.698,21.623,32.706,24.546,18.937,37.769,53.979,19.114,18.78,24.458,18.961,25.318,25.693,53.426,41.783,39.574,39.956,56.222,57.163,39.279,31.319,22.005
w15,41.549,50.833,61.95,16.869,18.739,18.246,15.219,17.176,7.227,8.851,14.811,7.788,8.066,9.49,13.781,45.074,38.909,45.105,33.997,30.586,19.999,26.437,22.369,27.251
w16,46.359,44.028,46.941,9.062,4.179,8.206,11.714,17.549,10.704,3.919,2.303,11.262,2.519,14.804,10.795,24.578,15.854,19.121,38.54,41.079,36.491,23.297,34.593,23.426
w17,27.946,22.604,16.316,4.856,10.275,7.423,19.258,26.298,25.473,9.122,4.934,1.698,17.375,24.369,21.491,36.619,27.489,23.741,34.279,23.215,19.31,31.014,36.854,37.996
w18,38.55,42.561,43.38,4.156,6.453,2.9,9.173,10.757,7.156,8.914,14.304,17.125,16.049,34.377,46.566,34.932,26.754,24.402,19.646,23.696,22.848,24.949,23.9,27.242
w19,40.078,40.453,45.326,13.598,16.627,19.405,29.473,39.54,49.836,11.111,16.411,17.14,15.752,13.502,12.289,28.813,30.706,22.272,38.279,37.548,30.934,21.601,21.757,19.588
w20,44.388,56.227,57.101,2.083,15.669,13.236,18.525,14.449,11.833,10.248,0.919,6.917,15.892,10.448,19.317,37.542,23.478,40.76,36.448,40.004,51.08,18.648,19.142,17.127
w21,27.451,18.193,15.812,10.435,7.011,6.531,12.722,2.718,14.969,2.795,11.743,6.699,4.615,2.73,17.036,33.944,36.353,37.013,32.804,34.699,42.045,24.255,21.067,15.035
w22,50.902,52.618,51.807,19.718,29.273,36.642,8.147,7.313,10.28,7.647,7.302,12.481,8.24,9.534,24.818,23.624,26.422,29.312,22.328,28.456,45.339,17.042,19.554,17.278
w23,32.803,31.332,32.951,11.51,8.64,20.053,6.089,5.565,9.809,1.968,15.947,19.226,13.475,10.943,27.307,30.012,44.867,48.954,20.198,11.997,11.917,22.948,20.736,19.087
w24,36.59,46.459,39.637,19.815,12.614,8.505,15.422,18.448,19.489,6.376,16.227,7.869,0.499,5.718,13.273,26.317,19.398,17.941,34.816,45.092,49.96,25.886,9.632,11.136
w25,30.25,28.555,29.263,11.875,10.927,8.186,18.565,12.105,9.258,9.131,29.953,42.903,9.499,6.352,10.339,30.18,22.404,29.232,33.124,32.724,46.888,34.568,34.301,36.556
w26,43.803,45.788,45.904,4.926,5.005,7.84,11.669,11.819,24.398,12.862,8.147,11.374,2.416,6.57,9.488,29.486,25.429,32.727,29.73,16.774,25.546,24.389,24.103,27.24
w27,45.843,31.444,35.782,6.85,12.097,19.971,8.228,8.922,6.982,12.278,9.651,1.368,1.979,3.99,17.713,44.354,49.057,52.302,17.884,22.389,22.271,33.808,34.462,37.179
w28,32.998,37.52,35.102,15.789,8.455,7.684,7.372,2.227,7.179,16.274,18.722,27.391,12.655,23.562,25.225,30.58,42.421,39.267,37.501,28.026,27.556,26.509,32.489,31.122
w29,34.221,33.574,28.86,4.531,6.852,16.431,8.596,16.023,18.561,18.032,22.548,31.139,22.188,28.416,33.707,33.09,33.855,23.835,35.995,42.916,50.262,27.522,23.667,17.775
w30,38.031,42.366,38.156,0.321,5.819,11.177,17.023,23.892,24.034,9.621,21.57,14.882,4.886,5.786,21.969,46.695,54.263,45.651,30.708,37.226,26.242,25.533,20.899,30.426
w31,46.627,52.144,52.638,4.699,0.361,13.428,3.571,17.633,26.384,1.675,0.932,3.357,17.11,17.937,21.824,25.456,26.062,30.972,28.913,28.121,29.257,43.443,54.003,57.465
w32,38.99,38.282,45.925,3.748,16.205,11.954,2.204,9.873,33.219,12.957,11.709,20.05,13.389,15.889,10.976,38.8,42.131,34.507,36.643,48.168,48.935,30.457,41.644,36.799
w33,42.817,22.334,6.824,3.208,7.863,12.275,2.362,5.283,12.495,0.03,3.873,16.783,6.695,8.93,4.525,8.395,6.248,5.667,25.937,0.429,2.604,16.834,24.119,15.726
w34,62.143,69.368,76.698,21.623,32.706,24.546,18.937,37.769,53.979,19.114,18.78,24.458,18.961,25.318,25.693,53.426,41.783,39.574,39.956,56.222,57.163,39.279,31.319,22.005
w35,41.549,50.833,61.95,16.869,18.739,18.246,15.219,17.176,7.227,8.851,14.811,7.788,8.066,9.49,13.781,45.074,38.909,45.105,33.997,30.586,19.999,26.437,22.369,27.251
w36,46.359,44.028,46.941,9.062,4.179,8.206,11.714,17.549,10.704,3.919,2.303,11.262,2.519,14.804,10.795,24.578,15.854,19.121,38.54,41.079,36.491,23.297,34.593,23.426
w37,27.946,22.604,16.316,4.856,10.275,7.423,19.258,26.298,25.473,9.122,4.934,1.698,17.375,24.369,21.491,36.619,27.489,23.741,34.279,23.215,19.31,31.014,36.854,37.996
w38,38.55,42.561,43.38,4.156,6.453,2.9,9.173,10.757,7.156,8.914,14.304,17.125,16.049,34.377,46.566,34.932,26.754,24.402,19.646,23.696,22.848,24.949,23.9,27.242
w39,40.078,40.453,45.326,13.598,16.627,19.405,29.473,39.54,49.836,11.111,16.411,17.14,15.752,13.502,12.289,28.813,30.706,22.272,38.279,37.548,30.934,21.601,21.757,19.588
w40,44.388,56.227,57.101,2.083,15.669,13.236,18.525,14.449,11.833,10.248,0.919,6.917,15.892,10.448,19.317,37.542,23.478,40.76,36.448,40.004,51.08,18.648,19.142,17.127
w41,40.41,50.098,45.284,17.717,33.922,32.098,9.043,15.863,26.237,18.016,12.075,6.535,6.433,12.073,20.686,29.71,23.347,14.182,30.014,31.524,44.423,45.352,47.027,46.463
w42,36.57,48.297,47.826,3.071,8.883,20.764,16.299,14.125,1.429,0.735,7.452,8.788,4.256,9.354,16.373,51.187,53.928,55.581,35.945,47.441,41.589,38.313,48.674,52.464
w43,43.803,45.788,45.904,4.926,5.005,7.84,11.669,11.819,24.398,12.862,8.147,11.374,2.416,6.57,9.488,29.486,25.429,32.727,29.73,16.774,25.546,24.389,24.103,27.24
w44,36.59,46.459,39.637,19.815,12.614,8.505,15.422,18.448,19.489,6.376,16.227,7.869,0.499,5.718,13.273,26.317,19.398,17.941,34.816,45.092,49.96,25.886,9.632,11.136
w45,45.843,31.444,35.782,6.85,12.097,19.971,8.228,8.922,6.982,12.278,9.651,1.368,1.979,3.99,17.713,44.354,49.057,52.302,17.884,22.389,22.271,33.808,34.462,37.179
w46,34.221,33.574,28.86,4.531,6.852,16.431,8.596,16.023,18.561,18.032,22.548,31.139,22.188,28.416,33.707,33.09,33.855,23.835,35.995,42.916,50.262,27.522,23.667,17.775
w47,30.25,28.555,29.263,11.875,10.927,8.186,18.565,12.105,9.258,9.131,29.953,42.903,9.499,6.352,10.339,30.18,22.404,29.232,33.124,32.724,46.888,34.568,34.301,36.556
w48,27.451,18.193,15.812,10.435,7.011,6.531,12.722,2.718,14.969,2.795,11.743,6.699,4.615,2.73,17.036,33.944,36.353,37.013,32.804,34.699,42.045,24.255,21.067,15.035
w49,41.549,50.833,61.95,16.869,18.739,18.246,15.219,17.176,7.227,8.851,14.811,7.788,8.066,9.49,13.781,45.074,38.909,45.105,33.997,30.586,19.999,26.437,22.369,27.251
w50,32.998,37.52,35.102,15.789,8.455,7.684,7.372,2.227,7.179,16.274,18.722,27.391,12.655,23.562,25.225,30.58,42.421,39.267,37.501,28.026,27.556,26.509,32.489,31.122
w51,27.975,31.319,16.336,8.573,23.739,32.096,14.865,29.498,21.093,4.204,17.07,23.897,18.747,14.425,8.346,44.514,48.369,52.698,27.989,24.233,24.597,31.707,31.729,22.718
w52,38.031,42.366,38.156,0.321,5.819,11.177,17.023,23.892,24.034,9.621,21.57,14.882,4.886,5.786,21.969,46.695,54.263,45.651,30.708,37.226,26.242,25.533,20.899,30.426
w53,46.627,52.144,52.638,4.699,0.361,13.428,3.571,17.633,26.384,1.675,0.932,3.357,17.11,17.937,21.824,25.456,26.062,30.972,28.913,28.121,29.257,43.443,54.003,57.465
w54,38.99,38.282,45.925,3.748,16.205,11.954,2.204,9.873,33.219,12.957,11.709,20.05,13.389,15.889,10.976,38.8,42.131,34.507,36.643,48.168,48.935,30.457,41.644,36.799
w55,42.817,22.334,6.824,3.208,7.863,12.275,2.362,5.283,12.495,0.03,3.873,16.783,6.695,8.93,4.525,8.395,6.248,5.667,25.937,0.429,2.604,16.834,24.119,15.726
w56,62.143,69.368,76.698,21.623,32.706,24.546,18.937,37.769,53.979,19.114,18.78,24.458,18.961,25.318,25.693,53.426,41.783,39.574,39.956,56.222,57.163,39.279,31.319,22.005
w57,47.315,53.254,62.465,8.2,19.38,35.688,19.301,14.949,18.949,9.117,8.798,16.63,16.491,22.296,24.878,42.175,40.898,37.398,41.171,49.815,45.395,21.531,19.156,22.327
w58,46.359,44.028,46.941,9.062,4.179,8.206,11.714,17.549,10.704,3.919,2.303,11.262,2.519,14.804,10.795,24.578,15.854,19.121,38.54,41.079,36.491,23.297,34.593,23.426
w59,27.946,22.604,16.316,4.856,10.275,7.423,19.258,26.298,25.473,9.122,4.934,1.698,17.375,24.369,21.491,36.619,27.489,23.741,34.279,23.215,19.31,31.014,36.854,37.996
w60,38.55,42.561,43.38,4.156,6.453,2.9,9.173,10.757,7.156,8.914,14.304,17.125,16.049,34.377,46.566,34.932,26.754,24.402,19.646,23.696,22.848,24.949,23.9,27.242
w61,40.078,40.453,45.326,13.598,16.627,19.405,29.473,39.54,49.836,11.111,16.411,17.14,15.752,13.502,12.289,28.813,30.706,22.272,38.279,37.548,30.934,21.601,21.757,19.588
w62,44.388,56.227,57.101,2.083,15.669,13.236,18.525,14.449,11.833,10.248,0.919,6.917,15.892,10.448,19.317,37.542,23.478,40.76,36.448,40.004,51.08,18.648,19.142,17.127
w63,40.41,50.098,45.284,17.717,33.922,32.098,9.043,15.863,26.237,18.016,12.075,6.535,6.433,12.073,20.686,29.71,23.347,14.182,30.014,31.524,44.423,45.352,47.027,46.463
w64,36.57,48.297,47.826,3.071,8.883,20.764,16.299,14.125,1.429,0.735,7.452,8.788,4.256,9.354,16.373,51.187,53.928,55.581,35.945,47.441,41.589,38.313,48.674,52.464
w65,33.372,28.888,24.856,10.299,11.928,18.066,5.641,6.811,11.811,5.308,6.567,11.027,9.548,23.055,3.978,32.101,28.618,21.221,40.716,46.423,36.056,20.881,42.02,40.271
w66,32.803,31.332,32.951,11.51,8.64,20.053,6.089,5.565,9.809,1.968,15.947,19.226,13.475,10.943,27.307,30.012,44.867,48.954,20.198,11.997,11.917,22.948,20.736,19.087
w67,39.357,44.981,43.708,4.026,30.988,38.817,4.928,6.758,7.573,17.415,18.026,6.474,5.327,7.795,11.439,33.519,34.983,23.015,37.05,30.046,24.911,32.473,16.087,13.802
w68,62.143,69.368,76.698,21.623,32.706,24.546,18.937,37.769,53.979,19.114,18.78,24.458,18.961,25.318,25.693,53.426,41.783,39.574,39.956,56.222,57.163,39.279,31.319,22.005
w69,36.59,46.459,39.637,19.815,12.614,8.505,15.422,18.448,19.489,6.376,16.227,7.869,0.499,5.718,13.273,26.317,19.398,17.941,34.816,45.092,49.96,25.886,9.632,11.136
w70,27.451,18.193,15.812,10.435,7.011,6.531,12.722,2.718,14.969,2.795,11.743,6.699,4.615,2.73,17.036,33.944,36.353,37.013,32.804,34.699,42.045,24.255,21.067,15.035
w71,34.221,33.574,28.86,4.531,6.852,16.431,8.596,16.023,18.561,18.032,22.548,31.139,22.188,28.416,33.707,33.09,33.855,23.835,35.995,42.916,50.262,27.522,23.667,17.775
w72,30.25,28.555,29.263,11.875,10.927,8.186,18.565,12.105,9.258,9.131,29.953,42.903,9.499,6.352,10.339,30.18,22.404,29.232,33.124,32.724,46.888,34.568,34.301,36.556
w73,42.817,22.334,6.824,3.208,7.863,12.275,2.362,5.283,12.495,0.03,3.873,16.783,6.695,8.93,4.525,8.395,6.248,5.667,25.937,0.429,2.604,16.834,24.119,15.726
w74,39.996,44.141,47.08,6.225,10.624,26.232,21.153,16.89,15.629,14.891,16.171,16.861,11.623,18.368,14.91,35.813,26.016,22.768,24.378,27.047,25.877,22.181,14.185,11.424
w75,32.998,37.52,35.102,15.789,8.455,7.684,7.372,2.227,7.179,16.274,18.722,27.391,12.655,23.562,25.225,30.58,42.421,39.267,37.501,28.026,27.556,26.509,32.489,31.122
w76,27.975,31.319,16.336,8.573,23.739,32.096,14.865,29.498,21.093,4.204,17.07,23.897,18.747,14.425,8.346,44.514,48.369,52.698,27.989,24.233,24.597,31.707,31.729,22.718
w77,38.031,42.366,38.156,0.321,5.819,11.177,17.023,23.892,24.034,9.621,21.57,14.882,4.886,5.786,21.969,46.695,54.263,45.651,30.708,37.226,26.242,25.533,20.899,30.426
w78,46.627,52.144,52.638,4.699,0.361,13.428,3.571,17.633,26.384,1.675,0.932,3.357,17.11,17.937,21.824,25.456,26.062,30.972,28.913,28.121,29.257,43.443,54.003,57.465
w79,38.99,38.282,45.925,3.748,16.205,11.954,2.204,9.873,33.219,12.957,11.709,20.05,13.389,15.889,10.976,38.8,42.131,34.507,36.643,48.168,48.935,30.457,41.644,36.799
w80,52.838,59.518,63.543,3.08,3.955,21.994,0.105,2.112,13.919,19.599,19.828,30.113,0.469,3.566,10.642,36.352,32.442,22.138,29.386,20.999,22.305,29.739,27.953,34.301
w81,39.685,31.661,21.416,13.653,15.766,17.113,14.1,12.483,3.8,6.805,3.907,9.13,11.016,7.114,1.969,32.167,37.385,40.894,35.515,24.25,17.782,24.299,24.802,32.409
w82,47.315,53.254,62.465,8.2,19.38,35.688,19.301,14.949,18.949,9.117,8.798,16.63,16.491,22.296,24.878,42.175,40.898,37.398,41.171,49.815,45.395,21.531,19.156,22.327
w83,46.359,44.028,46.941,9.062,4.179,8.206,11.714,17.549,10.704,3.919,2.303,11.262,2.519,14.804,10.795,24.578,15.854,19.121,38.54,41.079,36.491,23.297,34.593,23.426
w84,27.946,22.604,16.316,4.856,10.275,7.423,19.258,26.298,25.473,9.122,4.934,1.698,17.375,24.369,21.491,36.619,27.489,23.741,34.279,23.215,19.31,31.014,36.854,37.996
w85,38.55,42.561,43.38,4.156,6.453,2.9,9.173,10.757,7.156,8.914,14.304,17.125,16.049,34.377,46.566,34.932,26.754,24.402,19.646,23.696,22.848,24.949,23.9,27.242
w86,40.078,40.453,45.326,13.598,16.627,19.405,29.473,39.54,49.836,11.111,16.411,17.14,15.752,13.502,12.289,28.813,30.706,22.272,38.279,37.548,30.934,21.601,21.757,19.588
