0.000
"","time"," number scenarios","profit_value"
"iter1",1.000,20.000,4117.867
"iter2",3.000,22.000,3852.739
"iter3",8.000,25.000,3812.514
"iter4",18.000,28.000,3655.102
"iter5",49.000,31.000,3357.255
"iter6",115.000,35.000,3575.631
"iter7",263.000,39.000,3514.621
"iter8",425.000,43.000,3680.897
"iter9",803.000,48.000,3477.632
"iter10",2100.000,53.000,3489.029
"iter11",0.000,0.000,0.000
"iter12",0.000,0.000,0.000
"iter13",0.000,0.000,0.000
"iter14",0.000,0.000,0.000
"iter15",0.000,0.000,0.000
"iter16",0.000,0.000,0.000
"iter17",0.000,0.000,0.000
"iter18",0.000,0.000,0.000
"iter19",0.000,0.000,0.000
"iter20",0.000,0.000,0.000
"iter21",0.000,0.000,0.000
"iter22",0.000,0.000,0.000
"iter23",0.000,0.000,0.000
"iter24",0.000,0.000,0.000
"iter25",0.000,0.000,0.000
"iter26",0.000,0.000,0.000
"iter27",0.000,0.000,0.000
"iter28",0.000,0.000,0.000
"iter29",0.000,0.000,0.000
"iter30",0.000,0.000,0.000
