379      0.007
545 9      0.294       0.009 Equation   Const_6 (2300)
541 10      0.212       0.009 Equation   Const_5 (2300)
538 4      0.273       0.008 Equation   Const_4_2 (2200)
535 1      0.297       0.008 Equation   Const_4_1 (2200)
530 3      0.258       0.007 Equation   Const_3_2 (2300)
527 5      0.189       0.007 Equation   Const_3_1 (2300)
511 2      0.156       0.006 Equation   Const1_1 (2400)
502 6      0.086       0.004 Equation   Objective (1)
597 7      1.532       0.010 Solve Fini schedule (73525)
597 8      0.534       0.010 GAMS Fini   
