,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30
t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t8,16.38,16.79,25.72,15.96,15.89,0,17.98,9.79,12.12,10.89,7.39,14.78,11.2,7.82,5.43,15.34,13.38,10.16,11.33,0,1,1,1,1,1,1,1,1,1,1
t9,50.12,105.94,80.71,83.65,50.77,91.19,27.77,81.89,105.07,34.836,57.11,93.75,63.53,60.98,48.45,72.83,75.43,57.38,52.61,48.36,1,1,1,1,1,1,1,1,1,1
t10,647.935,675.581,638.71,509.602,610.168,482.67,581.25,627.51,614.41,497.44,579.05,607.74,603.85,570.72,483.54,646.88,595.768,611.23,595.29,441.67,1,1,1,1,1,1,1,1,1,1
t11,810.67,716.33,872.863,884.57,803.28,838.16,676.016,770.34,791.25,797.38,697.32,787.828,659.341,670.02,704.62,824.319,695.05,726.53,690.51,686.15,1,1,1,1,1,1,1,1,1,1
t12,1085.38,915.28,939.48,905.29,941.44,843.54,932.57,837.701,901.876,645.44,826.2,917.82,1015.882,973.2,883.86,806.18,894.69,536.909,728.668,686.38,1,1,1,1,1,1,1,1,1,1
t13,879.35,1048.83,1172.61,835.4,985.54,904.66,964.52,1071.2,909.72,978.42,997.85,1056.583,990.407,890.35,1060.13,969.886,889.476,860.38,1009.26,863.64,1,1,1,1,1,1,1,1,1,1
t14,1021.74,855.85,1090.79,978.328,1084.47,760.726,989.627,999.83,1011.99,1129.75,1005.615,1009.711,945.76,1062.242,1029.42,1113.42,964.15,1047.16,942.93,928.12,1,1,1,1,1,1,1,1,1,1
t15,1058.64,1124.91,928.553,986.01,1047.67,860.56,1010.52,983.7,1060.29,1013.59,1072.81,988.87,1018.61,964.59,1068.1,1027.09,1035.8,932.68,958.136,889.31,1,1,1,1,1,1,1,1,1,1
t16,921.54,976.16,902.88,909.69,947.56,981.15,927.9,980.56,895.71,904.24,932.51,974.63,913.557,902.16,888.1,858.06,927.2,933.2,942.73,950.18,1,1,1,1,1,1,1,1,1,1
t17,839.614,828.07,818.54,832.36,744.37,803.19,768.12,815.269,812.07,793.56,824.88,814.92,817.28,828.04,807.46,810.31,786.08,815.1,817.89,861.26,1,1,1,1,1,1,1,1,1,1
t18,875.36,873.88,888.84,871.55,877.76,871.03,902.3,876.07,894.73,885.93,869.9,884.25,873.19,855.21,863.63,873.19,867.2,874.63,843.54,868.37,1,1,1,1,1,1,1,1,1,1
t19,196.88,199.92,199.79,187.98,206.1,189.58,187.3,190.25,180.65,182.31,198.93,188.77,195.443,183.37,190.99,190.439,200.59,190.8,196.04,199.3,1,1,1,1,1,1,1,1,1,1
t20,127.34,130.7,121.46,147.96,130.26,118.52,120.34,126.5,120.81,126.54,113.21,126.26,122.18,121.96,130.05,125.8,122.17,134.27,122.494,127.03,1,1,1,1,1,1,1,1,1,1
t21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
t24,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,480,1,1,1,1,1,1,1,1,1,1
