Unnamed: 0,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,IR,AP
0,1500.0,0.05,1.0,2.0,0.0,0.46682,0.71096,3837.10225,10641.58189,0.46682,4203.0,4211.0,835.89901,5673.8305,5674.49883,5194.84028
1,1500.0,0.05,2.0,2.0,0.0,0.45661,0.71096,3837.10225,10441.58189,0.45661,4203.0,4207.0,53.17971,5673.8305,5674.49883,5194.84028
2,1500.0,0.05,3.0,2.0,0.0,0.46682,0.71096,3837.10225,10641.58189,0.46682,4203.0,4210.0,1421.64901,5673.8305,5674.49883,5194.84028
3,1500.0,0.05,4.0,2.0,0.0,0.46682,0.71096,3837.10225,10641.58189,0.46682,4203.0,4208.0,1424.866,5673.8305,5674.49883,5194.84028
4,1500.0,0.05,5.0,2.0,0.0,0.45136,0.71096,3837.10225,10341.58189,0.45136,4203.0,4205.0,53.2148,5673.8305,5674.49883,5194.84028
5,1500.0,0.05,6.0,2.0,0.0,0.26094,0.71096,3837.10225,7677.06359,0.26094,4203.0,4208.0,6.45174,5673.8305,5674.49883,5194.84028
0,1500.0,0.05,1.0,2.0,0.0,0.45677,0.74656,3361.44448,10518.76211,0.45677,4204.0,4206.0,835.96802,5714.10593,5713.43018,5226.06618
1,1500.0,0.05,2.0,2.0,0.0,0.44624,0.74656,3361.44448,10318.76211,0.44624,4204.0,4205.0,53.24872,5714.10593,5713.43018,5226.06618
2,1500.0,0.05,3.0,2.0,0.0,0.45677,0.74656,3361.44448,10518.76211,0.45677,4204.0,4205.0,1421.71802,5714.10593,5713.43018,5226.06618
3,1500.0,0.05,4.0,2.0,0.0,0.45677,0.74656,3361.44448,10518.76211,0.45677,4204.0,4207.0,1424.93501,5714.10593,5713.43018,5226.06618
4,1500.0,0.05,5.0,2.0,0.0,0.44082,0.74656,3361.44448,10218.76211,0.44082,4204.0,4205.0,53.28381,5714.10593,5713.43018,5226.06618
5,1500.0,0.05,6.0,2.0,0.0,0.28346,0.74656,3361.44448,7974.60547,0.28346,4204.0,4207.0,0.0,5714.10593,5713.43018,5226.06618
0,1500.0,0.05,1.0,2.0,0.0,0.46205,0.75681,3209.89604,10626.5416,0.46205,4204.0,4206.0,835.89735,5716.52377,5717.86096,5154.13499
1,1500.0,0.05,2.0,2.0,0.0,0.45173,0.75681,3209.89604,10426.5416,0.45173,4204.0,4211.0,53.17805,5716.52377,5717.86096,5154.13499
2,1500.0,0.05,3.0,2.0,0.0,0.46205,0.75681,3209.89604,10626.5416,0.46205,4204.0,4209.0,1421.64735,5716.52377,5717.86096,5154.13499
3,1500.0,0.05,4.0,2.0,0.0,0.46205,0.75681,3209.89604,10626.5416,0.46205,4204.0,4206.0,1424.86434,5716.52377,5717.86096,5154.13499
4,1500.0,0.05,5.0,2.0,0.0,0.44642,0.75681,3209.89604,10326.5416,0.44642,4204.0,4211.0,53.21314,5716.52377,5717.86096,5154.13499
5,1500.0,0.05,6.0,2.0,0.0,0.28268,0.75681,3209.89604,7969.30729,0.28268,4204.0,4207.0,0.0,5716.52377,5717.86096,5154.13499
0,1500.0,0.05,1.0,2.0,0.0,0.46302,0.74229,3398.3337,10583.2547,0.46302,4204.0,4207.0,835.94315,5683.04407,5683.04315,5173.03372
1,1500.0,0.05,2.0,2.0,0.0,0.45267,0.74229,3398.3337,10383.2547,0.45267,4204.0,4213.0,53.22385,5683.04407,5683.04315,5173.03372
2,1500.0,0.05,3.0,2.0,0.0,0.46302,0.74229,3398.3337,10583.2547,0.46302,4204.0,4219.0,1421.69315,5683.04407,5683.04315,5173.03372
3,1500.0,0.05,4.0,2.0,0.0,0.46302,0.74229,3398.3337,10583.2547,0.46302,4204.0,4219.0,1424.91014,5683.04407,5683.04315,5173.03372
4,1500.0,0.05,5.0,2.0,0.0,0.44735,0.74229,3398.3337,10283.2547,0.44735,4204.0,4207.0,53.25893,5683.04407,5683.04315,5173.03372
5,1500.0,0.05,6.0,2.0,0.0,0.27141,0.74229,3398.3337,7800.01499,0.27141,4204.0,4206.0,3.36808,5683.04407,5683.04315,5173.03372
0,1500.0,0.05,1.0,2.0,0.0,0.46437,0.76213,3146.49608,10610.34113,0.46437,4204.0,4208.0,835.98034,5683.23433,5683.25138,5315.59117
1,1500.0,0.05,2.0,2.0,0.0,0.45408,0.76213,3146.49608,10410.34113,0.45408,4204.0,4208.0,53.26104,5683.23433,5683.25138,5315.59117
2,1500.0,0.05,3.0,2.0,0.0,0.46437,0.76213,3146.49608,10610.34113,0.46437,4204.0,4211.0,1421.73034,5683.23433,5683.25138,5315.59117
3,1500.0,0.05,4.0,2.0,0.0,0.46437,0.76213,3146.49608,10610.34113,0.46437,4204.0,4208.0,1424.94733,5683.23433,5683.25138,5315.59117
4,1500.0,0.05,5.0,2.0,0.0,0.44878,0.76213,3146.49608,10310.34113,0.44878,4204.0,4214.0,53.29613,5683.23433,5683.25138,5315.59117
5,1500.0,0.05,6.0,2.0,0.0,0.27151,0.76213,3146.49608,7801.38571,0.27151,4204.0,4209.0,3.41154,5683.23433,5683.25138,5315.59117
0,1500.0,0.05,1.0,2.0,0.0,0.47286,0.80804,2543.36795,10715.06286,0.47286,4204.0,4207.0,835.88527,5648.34517,5648.34375,5207.96454
1,1500.0,0.05,2.0,2.0,0.0,0.46283,0.80804,2543.36795,10515.06286,0.46283,4204.0,4207.0,53.16597,5648.34517,5648.34375,5207.96454
2,1500.0,0.05,3.0,2.0,0.0,0.47286,0.80804,2543.36795,10715.06286,0.47286,4204.0,4210.0,1421.63527,5648.34517,5648.34375,5207.96454
3,1500.0,0.05,4.0,2.0,0.0,0.47286,0.80804,2543.36795,10715.06286,0.47286,4204.0,4219.0,1424.85226,5648.34517,5648.34375,5207.96454
4,1500.0,0.05,5.0,2.0,0.0,0.45768,0.80804,2543.36795,10415.06286,0.45768,4204.0,4208.0,53.20106,5648.34517,5648.34375,5207.96454
5,1500.0,0.05,6.0,2.0,0.0,0.2621,0.80804,2543.36795,7654.64746,0.2621,4204.0,4207.0,5.77206,5648.34517,5648.34375,5207.96454
0,1500.0,0.05,1.0,2.0,0.0,0.46942,0.74101,3403.26703,10548.29366,0.46942,4204.0,4211.0,835.97038,5596.7509,5592.08209,5214.34015
1,1500.0,0.05,2.0,2.0,0.0,0.45916,0.74101,3403.26703,10348.29366,0.45916,4204.0,4211.0,53.25108,5596.7509,5592.08209,5214.34015
2,1500.0,0.05,3.0,2.0,0.0,0.46942,0.74101,3403.26703,10548.29366,0.46942,4204.0,4218.0,1421.72038,5596.7509,5592.08209,5214.34015
3,1500.0,0.05,4.0,2.0,0.0,0.46942,0.74101,3403.26703,10548.29366,0.46942,4204.0,4232.0,1424.93737,5596.7509,5592.08209,5214.34015
4,1500.0,0.05,5.0,2.0,0.0,0.45388,0.74101,3403.26703,10248.29366,0.45388,4204.0,4208.0,53.28617,5596.7509,5592.08209,5214.34015
5,1500.0,0.05,6.0,2.0,0.0,0.26935,0.74101,3403.26703,7659.93753,0.26935,4204.0,4205.0,4.9016,5596.7509,5592.08209,5214.34015
0,1500.0,0.05,1.0,2.0,0.0,0.46405,0.83251,2228.53729,10498.30805,0.46405,4204.0,4209.0,835.93219,5626.56897,5626.55621,5310.54787
1,1500.0,0.05,2.0,2.0,0.0,0.45364,0.83251,2228.53729,10298.30805,0.45364,4204.0,4211.0,53.21289,5626.56897,5626.55621,5310.54787
2,1500.0,0.05,3.0,2.0,0.0,0.46405,0.83251,2228.53729,10498.30805,0.46405,4204.0,4208.0,1421.68219,5626.56897,5626.55621,5310.54787
3,1500.0,0.05,4.0,2.0,0.0,0.46405,0.83251,2228.53729,10498.30805,0.46405,4204.0,4210.0,1424.89918,5626.56897,5626.55621,5310.54787
4,1500.0,0.05,5.0,2.0,0.0,0.44828,0.83251,2228.53729,10198.30805,0.44828,4204.0,4207.0,53.24798,5626.56897,5626.55621,5310.54787
5,1500.0,0.05,6.0,2.0,0.0,0.29412,0.83251,2228.53729,7970.98818,0.29412,4204.0,4209.0,0.0,5626.56897,5626.55621,5310.54787
0,1500.0,0.05,1.0,2.0,0.0,0.46393,0.76344,3118.26916,10523.26231,0.46393,4204.0,4210.0,835.98291,5641.21043,5640.55293,5157.3382
1,1500.0,0.05,2.0,2.0,0.0,0.45354,0.76344,3118.26916,10323.26231,0.45354,4204.0,4208.0,53.26361,5641.21043,5640.55293,5157.3382
2,1500.0,0.05,3.0,2.0,0.0,0.46393,0.76344,3118.26916,10523.26231,0.46393,4204.0,4209.0,1421.73291,5641.21043,5640.55293,5157.3382
3,1500.0,0.05,4.0,2.0,0.0,0.46393,0.76344,3118.26916,10523.26231,0.46393,4204.0,4212.0,1424.9499,5641.21043,5640.55293,5157.3382
4,1500.0,0.05,5.0,2.0,0.0,0.4482,0.76344,3118.26916,10223.26231,0.4482,4204.0,4212.0,53.2987,5641.21043,5640.55293,5157.3382
5,1500.0,0.05,6.0,2.0,0.0,0.26996,0.76344,3118.26916,7727.24891,0.26996,4204.0,4211.0,4.20722,5641.21043,5640.55293,5157.3382
0,1500.0,0.05,1.0,2.0,0.0,0.47271,0.76089,3141.25341,10591.93531,0.47271,4204.0,4218.0,835.91064,5585.0197,5585.02528,5124.4301
1,1500.0,0.05,2.0,2.0,0.0,0.46256,0.76089,3141.25341,10391.93531,0.46256,4204.0,4208.0,53.19134,5585.0197,5585.02528,5124.4301
2,1500.0,0.05,3.0,2.0,0.0,0.47271,0.76089,3141.25341,10591.93531,0.47271,4204.0,4208.0,1421.66064,5585.0197,5585.02528,5124.4301
3,1500.0,0.05,4.0,2.0,0.0,0.47271,0.76089,3141.25341,10591.93531,0.47271,4204.0,4208.0,1424.87763,5585.0197,5585.02528,5124.4301
4,1500.0,0.05,5.0,2.0,0.0,0.45734,0.76089,3141.25341,10291.93531,0.45734,4204.0,4214.0,53.22643,5585.0197,5585.02528,5124.4301
5,1500.0,0.05,6.0,2.0,0.0,0.28018,0.76089,3141.25341,7758.94319,0.28018,4204.0,4208.0,1.9666,5585.0197,5585.02528,5124.4301
0,1500.0,0.05,1.0,2.0,0.0,0.46816,0.74355,3384.2923,10589.30425,0.46816,4204.0,4222.0,835.98006,5631.7697,5632.42814,5266.64457
1,1500.0,0.05,2.0,2.0,0.0,0.45793,0.74355,3384.2923,10389.30425,0.45793,4204.0,4207.0,53.26077,5631.7697,5632.42814,5266.64457
2,1500.0,0.05,3.0,2.0,0.0,0.46816,0.74355,3384.2923,10589.30425,0.46816,4204.0,4210.0,1421.73006,5631.7697,5632.42814,5266.64457
