Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
,,,,,,,,,,,,638.0,-5673.8305
,,,,,,,,,,,,716.0,-5196.17126
,,,,,,,,,,,,650.0,-5714.10593
,,,,,,,,,,,,713.0,-5225.57923
,,,,,,,,,,,,648.0,-5716.52377
,,,,,,,,,,,,713.0,-5153.467
,,,,,,,,,,,,650.0,-5683.04407
,,,,,,,,,,,,716.0,-5173.03313
,,,,,,,,,,,,639.0,-5683.23433
,,,,,,,,,,,,702.0,-5316.90593
,,,,,,,,,,,,648.0,-5648.34517
,,,,,,,,,,,,719.0,-5209.96343
,,,,,,,,,,,,642.0,-5596.7509
,,,,,,,,,,,,705.0,-5213.0166
,,,,,,,,,,,,650.0,-5626.56897
,,,,,,,,,,,,714.0,-5308.64896
,,,,,,,,,,,,646.0,-5641.21043
,,,,,,,,,,,,714.0,-5158.6487
,,,,,,,,,,,,648.0,-5585.0197
,,,,,,,,,,,,715.0,-5121.75636
,,,,,,,,,,,,651.0,-5631.7697
,,,,,,,,,,,,711.0,-5265.3231
,,,,,,,,,,,,647.0,-5537.1232
,,,,,,,,,,,,713.0,-5136.1761
,,,,,,,,,,,,645.0,-5474.26373
,,,,,,,,,,,,716.0,-5079.9651
,,,,,,,,,,,,644.0,-5546.7853
,,,,,,,,,,,,718.0,-5115.91706
,,,,,,,,,,,,642.0,-5541.17637
,,,,,,,,,,,,707.0,-5129.03013
,,,,,,,,,,,,635.0,-5634.56643
,,,,,,,,,,,,708.0,-5139.47346
,,,,,,,,,,,,648.0,-5560.5442
,,,,,,,,,,,,711.0,-5288.5806
,,,,,,,,,,,,640.0,-5543.2615
,,,,,,,,,,,,718.0,-5125.28343
,,,,,,,,,,,,650.0,-5566.9182
,,,,,,,,,,,,706.0,-5208.67936
,,,,,,,,,,,,648.0,-5537.57207
,,,,,,,,,,,,715.0,-5077.98576
