Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.01,1.0,2.0,0.0,0.48202,0.51679,4485.05493,9547.37912,4763.36243,0.48202,4201.0,4202.0,136.76144,4945.37011,0.0,1.0,143.72144,6.0
600.0,0.01,2.0,3.0,0.0,0.48202,0.51679,4485.05493,9547.37912,4763.36243,0.48202,4201.0,4208.0,0.0,4945.37011,0.0,1.0,143.72144,6.0
600.0,0.01,3.0,2.0,0.0,0.48202,0.51679,4485.05493,9547.37912,4763.36243,0.48202,4201.0,4202.0,133.22144,4945.37011,0.0,1.0,143.72144,6.0
600.0,0.01,4.0,2.0,0.0,0.48202,0.51679,4485.05493,9547.37912,4763.36243,0.48202,4201.0,4201.0,133.4788,4945.37011,0.0,1.0,143.72144,6.0
600.0,0.01,5.0,3.0,0.0,0.48202,0.51679,4485.05493,9547.37912,4763.36243,0.48202,4201.0,4208.0,50.0,4945.37011,0.0,1.0,143.72144,6.0
600.0,0.01,6.0,3.0,0.0,0.48202,0.51679,4485.05493,9547.37912,4763.36243,0.48202,4201.0,4208.0,0.0,4945.37011,0.0,1.0,143.72144,6.0
600.0,0.01,1.0,2.0,0.0,0.47876,0.50376,4594.55493,9514.89601,5294.28938,0.47876,4201.0,4202.0,138.52117,4959.58553,0.0,1.0,145.48117,6.0
600.0,0.01,2.0,3.0,0.0,0.47876,0.50376,4594.55493,9514.89601,5294.28938,0.47876,4201.0,4208.0,0.0,4959.58553,0.0,1.0,145.48117,6.0
600.0,0.01,3.0,2.0,0.0,0.47855,0.50376,4594.55493,9511.06642,5421.44856,0.47855,4201.0,4204.0,134.98117,4959.58553,0.0,2.0,139.48117,6.0
600.0,0.01,4.0,2.0,0.0,0.47876,0.50376,4594.55493,9514.89601,5294.28938,0.47876,4201.0,4202.0,135.23853,4959.58553,0.0,1.0,145.48117,6.0
600.0,0.01,5.0,3.0,0.0,0.47876,0.50376,4594.55493,9514.89601,5294.28938,0.47876,4201.0,4208.0,50.0,4959.58553,0.0,1.0,145.48117,6.0
600.0,0.01,6.0,3.0,0.0,0.47876,0.50376,4594.55493,9514.89601,5294.28938,0.47876,4201.0,4209.0,0.0,4959.58553,0.0,1.0,145.48117,6.0
600.0,0.01,1.0,2.0,0.0,0.48951,0.49892,4628.14168,9520.13251,5076.96279,0.48951,4201.0,4202.0,136.09793,4859.95845,0.0,1.0,143.05793,6.0
600.0,0.01,2.0,3.0,0.0,0.48908,0.49892,4628.14168,9512.2558,5076.96279,0.48908,4201.0,4211.0,0.0,4859.95845,0.0,1.0,143.05793,6.0
