Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
,,,,,,,,,,,,245.0,-5393.15922
,,,,,,,,,,,,248.0,-5560.98322
,,,,,,,,,,,,247.0,-5600.4193
,,,,,,,,,,,,245.0,-5485.1748
,,,,,,,,,,,,246.0,-5275.44663
,,,,,,,,,,,,247.0,-5801.29797
,,,,,,,,,,,,249.0,-5656.52488
,,,,,,,,,,,,242.0,-5766.03422
,,,,,,,,,,,,247.0,-5514.02955
,,,,,,,,,,,,247.0,-5625.20872
,,,,,,,,,,,,248.0,-5536.82963
,,,,,,,,,,,,245.0,-5452.00263
,,,,,,,,,,,,248.0,-5470.01338
,,,,,,,,,,,,246.0,-5490.91305
,,,,,,,,,,,,235.0,-5599.98663
,,,,,,,,,,,,246.0,-5442.92522
,,,,,,,,,,,,248.0,-5705.14747
,,,,,,,,,,,,247.0,-5637.23272
,,,,,,,,,,,,246.0,-5511.20388
,,,,,,,,,,,,247.0,-5571.50272
