,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,44.70148108,49.01812197,56.7239016,4.996337643,7.17171919,5.901475353,8.981132526,1.242241633,1.849863609,5.306387728,10.10332187,10.31292314,3.976079855,4.846642598,16.3383898,27.41571765,35.02744671,23.80008194,33.14840524,44.91432257,55.12405429,29.70821791,31.62429636,35.49255721
scen2,36.71930041,49.88878396,33.77391721,15.49340271,15.96438152,30.43982776,16.54339066,26.68250736,38.73618706,5.270972195,3.536668648,5.789260126,4.268070974,16.08247873,15.3214884,34.98353352,41.25763925,36.91104101,21.14642167,18.40883069,22.76209973,15.53230249,10.87971563,7.883210011
scen3,40.1336273,41.5558541,54.30003838,7.19919895,8.78548363,6.354725632,2.002454802,2.220837408,9.090700835,2.798063499,5.744790521,2.027298437,31.09915157,38.75406892,37.3799448,30.93401195,23.5380206,13.28576677,39.11083806,43.89025631,52.91483301,12.47856856,4.125443854,14.91339084
scen4,19.57252638,22.50823325,14.03654915,14.79537618,4.609084862,6.34341126,8.983998552,6.45867442,0.778254076,22.13319479,17.43316448,18.08970281,23.6337448,37.54716397,27.95627898,41.38021158,34.66617097,44.15962245,23.4898884,30.41667864,21.22317264,25.9776885,16.52566413,8.018129192
scen5,42.32498558,37.18973682,31.85424954,1.105128771,4.950246303,7.45903577,0.509435262,8.636923225,3.417889161,15.90677002,14.9271995,15.79007656,21.91349213,23.15180786,26.83149144,45.26883147,45.8655605,67.7004063,52.43010495,55.7095975,39.96774841,47.27276818,48.73355358,54.76084969
scen6,51.22503422,52.44755012,64.65878936,5.594731699,21.43833763,20.20565125,4.220436698,9.82177199,11.8355164,22.81064928,37.50701543,37.26003284,3.852119049,5.979028076,3.383653403,49.78323312,47.22836172,52.62757269,23.37259296,29.02531456,38.69216413,24.56146502,29.54817589,14.02245934
scen7,28.3979979,21.07252948,18.91951523,6.491541371,14.61468328,22.41432373,5.320355939,3.889529565,16.21149133,8.06276281,5.647278888,20.8255202,5.633509903,2.853082417,24.69953577,26.67900949,33.93031761,22.6341048,32.77808152,37.84561238,33.29439836,33.60630903,21.99216183,21.16274288
scen8,38.06884448,43.26034925,39.34997444,5.628810775,9.765999821,16.22959119,17.26792453,17.9335098,9.334070118,15.16952406,17.7504315,23.04383653,7.48966938,14.9388726,18.26692133,25.83307889,4.502322806,5.18789812,16.45589694,18.09668851,4.377580913,18.5765195,27.34944272,28.80768945
scen9,40.40623163,11.94562018,23.53912404,21.18968028,42.54861319,38.23823787,7.459531301,5.722579126,10.77815046,3.875486956,18.60891755,9.316638067,6.555784636,24.92209417,19.51674469,31.28644711,43.69859234,63.41680416,41.34621516,49.66187643,51.33156953,19.28345329,4.222824216,3.031458602
scen10,38.29918404,32.42531208,42.46272202,2.17023829,4.860504103,3.684870628,6.594873338,8.166384998,20.15248356,6.034322611,9.675756747,2.349829434,3.389358209,32.32249545,39.43810709,38.37969809,47.41261579,31.02853153,40.09250819,49.24845634,45.66646741,24.60388537,19.18090047,22.01650985
