 ,value
w1,0.05
w2,0.05
w3,0.05
w4,0.05
w5,0.05
w6,0.05
w7,0.05
w8,0.05
w9,0.05
w10,0.05
w11,0.05
w12,0.05
w13,0.05
w14,0.05
w15,0.05
w16,0.05
w17,0.05
w18,0.05
w19,0.05
w20,0.05
w21,0.045455
w22,0.045455
w23,0.045455
w24,0.045455
w25,0.045455
w26,0.045455
w27,0.045455
w28,0.045455
w29,0.045455
w30,0.045455
w31,0.045455
w32,0.045455
w33,0.045455
w34,0.045455
w35,0.045455
w36,0.045455
w37,0.045455
w38,0.045455
w39,0.045455
w40,0.045455
w41,0.045455
w42,0.045455
w43,0.04
w44,0.04
w45,0.04
w46,0.04
w47,0.04
w48,0.04
w49,0.04
w50,0.04
w51,0.04
w52,0.04
w53,0.04
w54,0.04
w55,0.04
w56,0.04
w57,0.04
w58,0.04
w59,0.04
w60,0.04
w61,0.04
w62,0.04
w63,0.04
w64,0.04
w65,0.04
w66,0.04
w67,0.04
w68,0.035714
w69,0.035714
w70,0.035714
w71,0.035714
w72,0.035714
w73,0.035714
w74,0.035714
w75,0.035714
w76,0.035714
w77,0.035714
w78,0.035714
w79,0.035714
w80,0.035714
w81,0.035714
w82,0.035714
w83,0.035714
w84,0.035714
w85,0.035714
w86,0.035714
w87,0.035714
w88,0.035714
w89,0.035714
w90,0.035714
w91,0.035714
w92,0.035714
w93,0.035714
w94,0.035714
w95,0.035714
w96,0.032258
w97,0.032258
w98,0.032258
w99,0.032258
w100,0.032258
w101,0.032258
w102,0.032258
w103,0.032258
w104,0.032258
w105,0.032258
w106,0.032258
w107,0.032258
w108,0.032258
w109,0.032258
w110,0.032258
w111,0.032258
w112,0.032258
w113,0.032258
w114,0.032258
w115,0.032258
w116,0.032258
w117,0.032258
w118,0.032258
w119,0.032258
w120,0.032258
w121,0.032258
w122,0.032258
w123,0.032258
w124,0.032258
w125,0.032258
w126,0.032258
w127,0.028571
w128,0.028571
w129,0.028571
w130,0.028571
w131,0.028571
w132,0.028571
w133,0.028571
w134,0.028571
w135,0.028571
w136,0.028571
w137,0.028571
w138,0.028571
w139,0.028571
w140,0.028571
w141,0.028571
w142,0.028571
w143,0.028571
w144,0.028571
w145,0.028571
w146,0.028571
w147,0.028571
w148,0.028571
w149,0.028571
w150,0.028571
w151,0.028571
w152,0.028571
w153,0.028571
w154,0.028571
w155,0.028571
w156,0.028571
w157,0.028571
w158,0.028571
w159,0.028571
w160,0.028571
w161,0.028571
w162,0.025641
w163,0.025641
w164,0.025641
w165,0.025641
w166,0.025641
w167,0.025641
w168,0.025641
w169,0.025641
w170,0.025641
w171,0.025641
w172,0.025641
w173,0.025641
w174,0.025641
w175,0.025641
w176,0.025641
w177,0.025641
w178,0.025641
w179,0.025641
w180,0.025641
w181,0.025641
w182,0.025641
w183,0.025641
w184,0.025641
w185,0.025641
w186,0.025641
w187,0.025641
w188,0.025641
w189,0.025641
w190,0.025641
w191,0.025641
w192,0.025641
w193,0.025641
w194,0.025641
w195,0.025641
w196,0.025641
w197,0.025641
w198,0.025641
w199,0.025641
w200,0.025641
w201,0.023256
w202,0.023256
w203,0.023256
w204,0.023256
w205,0.023256
w206,0.023256
w207,0.023256
w208,0.023256
w209,0.023256
w210,0.023256
w211,0.023256
w212,0.023256
w213,0.023256
w214,0.023256
w215,0.023256
w216,0.023256
w217,0.023256
w218,0.023256
w219,0.023256
w220,0.023256
w221,0.023256
w222,0.023256
w223,0.023256
w224,0.023256
w225,0.023256
w226,0.023256
w227,0.023256
w228,0.023256
w229,0.023256
w230,0.023256
w231,0.023256
w232,0.023256
w233,0.023256
w234,0.023256
w235,0.023256
w236,0.023256
w237,0.023256
w238,0.023256
w239,0.023256
w240,0.023256
w241,0.023256
w242,0.023256
w243,0.023256
w244,0.020833
w245,0.020833
w246,0.020833
w247,0.020833
w248,0.020833
w249,0.020833
w250,0.020833
w251,0.020833
w252,0.020833
w253,0.020833
w254,0.020833
w255,0.020833
w256,0.020833
w257,0.020833
w258,0.020833
w259,0.020833
w260,0.020833
w261,0.020833
w262,0.020833
w263,0.020833
w264,0.020833
w265,0.020833
w266,0.020833
w267,0.020833
w268,0.020833
w269,0.020833
w270,0.020833
w271,0.020833
w272,0.020833
w273,0.020833
w274,0.020833
w275,0.020833
w276,0.020833
w277,0.020833
w278,0.020833
w279,0.020833
w280,0.020833
w281,0.020833
w282,0.020833
w283,0.020833
w284,0.020833
w285,0.020833
w286,0.020833
w287,0.020833
w288,0.020833
w289,0.020833
w290,0.020833
w291,0.020833
w292,0.018868
w293,0.018868
w294,0.018868
w295,0.018868
w296,0.018868
w297,0.018868
w298,0.018868
w299,0.018868
w300,0.018868
w301,0.018868
w302,0.018868
w303,0.018868
w304,0.018868
w305,0.018868
w306,0.018868
w307,0.018868
w308,0.018868
w309,0.018868
w310,0.018868
w311,0.018868
w312,0.018868
w313,0.018868
w314,0.018868
w315,0.018868
w316,0.018868
w317,0.018868
w318,0.018868
w319,0.018868
w320,0.018868
w321,0.018868
w322,0.018868
w323,0.018868
w324,0.018868
w325,0.018868
w326,0.018868
w327,0.018868
w328,0.018868
w329,0.018868
w330,0.018868
w331,0.018868
w332,0.018868
w333,0.018868
w334,0.018868
w335,0.018868
w336,0.018868
w337,0.018868
w338,0.018868
w339,0.018868
w340,0.018868
w341,0.018868
w342,0.018868
w343,0.018868
w344,0.018868
w345,0.016949
w346,0.016949
w347,0.016949
w348,0.016949
w349,0.016949
w350,0.016949
w351,0.016949
w352,0.016949
w353,0.016949
w354,0.016949
w355,0.016949
w356,0.016949
w357,0.016949
w358,0.016949
w359,0.016949
w360,0.016949
w361,0.016949
w362,0.016949
w363,0.016949
w364,0.016949
w365,0.016949
w366,0.016949
w367,0.016949
w368,0.016949
w369,0.016949
w370,0.016949
w371,0.016949
w372,0.016949
w373,0.016949
w374,0.016949
w375,0.016949
w376,0.016949
w377,0.016949
w378,0.016949
w379,0.016949
w380,0.016949
w381,0.016949
w382,0.016949
w383,0.016949
w384,0.016949
w385,0.016949
w386,0.016949
w387,0.016949
w388,0.016949
w389,0.016949
w390,0.016949
w391,0.016949
w392,0.016949
w393,0.016949
w394,0.016949
w395,0.016949
w396,0.016949
w397,0.016949
w398,0.016949
w399,0.016949
w400,0.016949
w401,0.016949
w402,0.016949
w403,0.016949
w404,0.015385
w405,0.015385
w406,0.015385
w407,0.015385
w408,0.015385
w409,0.015385
w410,0.015385
w411,0.015385
w412,0.015385
w413,0.015385
w414,0.015385
w415,0.015385
w416,0.015385
w417,0.015385
w418,0.015385
w419,0.015385
w420,0.015385
w421,0.015385
w422,0.015385
w423,0.015385
w424,0.015385
w425,0.015385
w426,0.015385
w427,0.015385
w428,0.015385
w429,0.015385
w430,0.015385
w431,0.015385
w432,0.015385
w433,0.015385
w434,0.015385
w435,0.015385
w436,0.015385
w437,0.015385
w438,0.015385
