,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,52.32481937,51.56912371,64.74623971,13.14696148,41.06049163,28.14667154,16.73663702,5.450119055,8.863199825,8.462447927,5.190787696,4.700521907,11.4949163,21.37848782,25.30035351,31.1179827,34.34940059,43.73505229,30.15423642,30.74754545,34.34850593,9.106409519,23.61630637,42.29925678
scen2,43.31228331,36.45324826,41.73464274,21.15878776,16.38948849,7.307471744,18.80321958,7.416711015,7.187585876,15.17991899,15.66129404,19.45083395,6.635195482,13.66107751,16.8620468,6.758356559,8.130405277,12.04957068,31.69322832,34.49131372,42.4228301,2.839749691,1.159915879,9.674240997
scen3,35.12516982,45.48358115,30.2217197,8.215881471,5.782666653,8.926343053,4.744967957,16.98828698,16.77780124,7.044675311,26.06342625,26.46428526,0.950641615,17.89565372,14.64150648,26.66087379,15.67895918,12.28631371,51.57614421,58.15193757,65.74876922,22.31465455,22.9994475,17.49855101
scen4,28.11832785,33.74106003,39.23912109,8.94530221,3.151718759,7.342917691,6.789676448,10.1392894,21.18867827,5.923504774,21.04670499,37.26024741,3.875031131,0.309464536,10.84872611,39.83189398,34.69476218,20.77324974,48.96879948,41.93777025,27.85521916,42.29791666,50.30050285,54.06567644
scen5,26.24045738,22.74402657,25.29294173,5.971779568,2.615622802,2.503083116,16.74048575,17.36938295,15.00697973,3.724775728,3.392973235,8.372875639,35.66161442,39.71112469,42.58770382,33.13015721,33.32699962,37.99260263,26.34008244,28.58298859,17.90846569,16.52660688,7.848640041,9.770085534
scen6,47.07918605,41.68061638,41.24093131,4.839139395,5.846331649,8.028988984,4.934222433,3.352434341,5.631278256,16.09034941,20.69611832,36.75992701,14.69620414,29.26184356,32.44178679,26.42502582,19.86060161,20.99213214,51.22783099,70.62279476,69.77250609,29.7648766,25.61055902,31.36820091
scen7,33.26854739,27.53553061,31.46227937,3.517605374,0.217968097,4.465886893,13.6116026,0.327991115,4.500362009,0.775088148,3.938453734,15.85497532,11.46152189,23.75118196,21.79603775,42.17993213,57.78917045,57.12293857,24.15938711,29.02363459,29.29596214,31.56177175,30.2333436,36.66670409
scen8,46.53126213,55.81180125,63.41725048,0.873650608,5.033273509,4.228860974,18.14298882,17.28017849,19.1257477,1.539455468,9.547462441,3.995372059,0.135419339,6.24100196,35.60306678,30.17399851,34.09447703,35.06256011,25.01877358,43.94930672,45.46989667,27.52340481,30.09572526,29.16982412
scen9,33.05538868,35.6523748,38.4892521,9.014981478,8.388942701,10.11946229,19.34727604,9.448721471,7.885991954,11.34091975,8.650795895,29.79655865,8.259352374,24.72168433,21.49929334,15.41280978,20.45884819,14.037284,22.28278045,6.24182917,1.777270894,40.85351205,35.8624491,45.37225586
scen10,23.56565429,14.09342265,13.16863083,6.586856641,14.0361293,20.76512147,0.164585594,2.995465802,2.83984052,5.29782482,10.03707811,20.64669851,2.723298743,0.024562903,1.633373782,29.36533729,45.07061025,51.69176922,32.05585386,42.24181822,35.4441424,31.8736587,34.97215864,45.96465436
scen11,37.92004362,52.18366308,60.2742956,9.28508498,15.26140983,34.20839161,19.84158105,20.29117961,20.97799038,3.408365383,5.757440256,8.631245329,18.52910959,30.1733791,24.19327672,42.37150161,49.47619171,59.25993247,48.6248305,43.20133404,67.60368444,30.21845368,34.34142768,34.55865309
