2303      0.012
869 6      0.056       0.011 Equation   Objective (1)
909 7      0.047       0.032 Equation   Const_4_2 (13200)
774 3      0.073       0.005 Loop       
896 1      0.021       0.022 Equation   Const_3_1 (13800)
918 9      0.024       0.040 Equation   Const_6 (13800)
957 2      0.298       0.040 Solve Fini schedule (441025)
957 5      0.083       0.040 GAMS Fini   
899 8      0.022       0.026 Equation   Const_3_2 (13800)
905 4      0.048       0.029 Equation   Const_4_1 (13200)
913 10      0.019       0.036 Equation   Const_5 (13800)
