Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
,,,,,,,,,,,,417.0,-5160.46518
,,,,,,,,,,,,406.0,-5291.66479
,,,,,,,,,,,,422.0,-5279.93612
,,,,,,,,,,,,412.0,-5210.17495
,,,,,,,,,,,,417.0,-5385.69156
,,,,,,,,,,,,422.0,-5083.5039
,,,,,,,,,,,,411.0,-5095.18012
,,,,,,,,,,,,416.0,-5313.29506
,,,,,,,,,,,,421.0,-5054.84406
,,,,,,,,,,,,420.0,-5049.49234
,,,,,,,,,,,,416.0,-5011.41418
,,,,,,,,,,,,421.0,-5186.0869
,,,,,,,,,,,,416.0,-5168.59718
,,,,,,,,,,,,420.0,-5220.56623
,,,,,,,,,,,,416.0,-5241.55334
,,,,,,,,,,,,423.0,-5298.13062
,,,,,,,,,,,,421.0,-5076.61529
,,,,,,,,,,,,422.0,-5191.35495
,,,,,,,,,,,,420.0,-5203.76501
,,,,,,,,,,,,422.0,-5309.66834
