Unnamed: 0,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter,Obj. LR,Time,QP,IR,AP
0,900.0,0.01,1.0,2.0,0.0,0.49068,0.54244,4367.56635,9739.61801,4592.76862,0.49068,4202.0,4204.0,85.95167,4960.60836,0.0,1.0,96.39167,9.0,,,-4499.244,-4960.60836,-4419.14872
1,900.0,0.01,2.0,3.0,0.0,0.49068,0.54244,4367.56635,9739.61801,4592.76862,0.49068,4202.0,4223.0,0.0,4960.60836,0.0,1.0,96.39167,9.0,,,-4499.244,-4960.60836,-4419.14872
2,900.0,0.01,3.0,2.0,0.0,0.49068,0.54244,4367.56635,9739.61801,4592.76862,0.49068,4202.0,4204.0,755.64167,4960.60836,0.0,1.0,96.39167,9.0,,,-4499.244,-4960.60836,-4419.14872
3,900.0,0.01,4.0,2.0,0.0,0.49068,0.54244,4367.56635,9739.61801,4592.76862,0.49068,4202.0,4208.0,717.42381,4960.60836,0.0,1.0,96.39167,9.0,,,-4499.244,-4960.60836,-4419.14872
4,900.0,0.01,5.0,3.0,0.0,0.49068,0.54244,4367.56635,9739.61801,4592.76862,0.49068,4202.0,4220.0,50.0,4960.60836,0.0,1.0,96.39167,9.0,,,-4499.244,-4960.60836,-4419.14872
5,900.0,0.01,6.0,3.0,0.0,0.49068,0.54244,4367.56635,9739.61801,4592.76862,0.49068,4202.0,4218.0,0.0,4960.60836,0.0,1.0,96.39167,9.0,,,-4499.244,-4960.60836,-4419.14872
0,900.0,0.01,1.0,2.0,0.0,0.48463,0.53625,4368.75229,9613.12192,4774.89971,0.48463,4202.0,4205.0,85.89,4954.31453,0.0,1.0,96.33,9.0,,,-4381.227,-4954.31453,-4542.01026
1,900.0,0.01,2.0,3.0,0.0,0.48463,0.53625,4368.75229,9613.12192,4774.89971,0.48463,4202.0,4218.0,0.0,4954.31453,0.0,1.0,96.33,9.0,,,-4381.227,-4954.31453,-4542.01026
2,900.0,0.01,3.0,2.0,0.0,0.48463,0.53625,4368.75229,9613.12192,4774.89971,0.48463,4202.0,4204.0,755.58,4954.31453,0.0,1.0,96.33,9.0,,,-4381.227,-4954.31453,-4542.01026
3,900.0,0.01,4.0,2.0,0.0,0.48463,0.53625,4368.75229,9613.12192,4774.89971,0.48463,4202.0,4206.0,717.36214,4954.31453,0.0,1.0,96.33,9.0,,,-4381.227,-4954.31453,-4542.01026
4,900.0,0.01,5.0,3.0,0.0,0.48463,0.53625,4368.75229,9613.12192,4774.89971,0.48463,4202.0,4218.0,50.0,4954.31453,0.0,1.0,96.33,9.0,,,-4381.227,-4954.31453,-4542.01026
5,900.0,0.01,6.0,3.0,0.0,0.48463,0.53625,4368.75229,9613.12192,4774.89971,0.48463,4202.0,4217.0,0.0,4954.31453,0.0,1.0,96.33,9.0,,,-4381.227,-4954.31453,-4542.01026
0,900.0,0.01,1.0,2.0,0.0,0.487,0.53007,4485.23901,9739.3258,5126.84185,0.487,4202.0,4204.0,85.91987,4996.31586,0.0,1.0,96.35987,9.0,,,-4588.343,-4996.31586,-4572.77211
1,900.0,0.01,2.0,3.0,0.0,0.487,0.53007,4485.23901,9739.3258,5126.84185,0.487,4202.0,4217.0,0.0,4996.31586,0.0,1.0,96.35987,9.0,,,-4588.343,-4996.31586,-4572.77211
2,900.0,0.01,3.0,2.0,0.0,0.487,0.53007,4485.23901,9739.3258,5126.84185,0.487,4202.0,4203.0,755.60987,4996.31586,0.0,1.0,96.35987,9.0,,,-4588.343,-4996.31586,-4572.77211
3,900.0,0.01,4.0,2.0,0.0,0.487,0.53007,4485.23901,9739.3258,5126.84185,0.487,4202.0,4203.0,717.39201,4996.31586,0.0,1.0,96.35987,9.0,,,-4588.343,-4996.31586,-4572.77211
4,900.0,0.01,5.0,3.0,0.0,0.487,0.53007,4485.23901,9739.3258,5126.84185,0.487,4202.0,4217.0,50.0,4996.31586,0.0,1.0,96.35987,9.0,,,-4588.343,-4996.31586,-4572.77211
5,900.0,0.01,6.0,3.0,0.0,0.487,0.53007,4485.23901,9739.3258,5126.84185,0.487,4202.0,4215.0,0.0,4996.31586,0.0,1.0,96.35987,9.0,,,-4588.343,-4996.31586,-4572.77211
0,900.0,0.01,1.0,2.0,0.0,0.4824,0.54438,4378.71815,9797.84295,4911.91186,0.4824,4202.0,4205.0,86.63456,5071.32364,0.0,1.0,97.07456,9.0,,,-4528.725,-5071.32364,-4578.40899
