 ,value
scen823,1
scen578,1
scen5,1
scen131,1
scen381,1
scen734,1
scen417,1
scen146,1
scen204,1
scen245,1
scen377,1
scen134,1
scen660,1
scen769,1
scen115,1
scen814,1
scen22,1
scen157,1
scen229,1
scen107,1
scen292,1
scen275,1
scen183,1
scen608,1
scen442,1
scen481,1
scen867,1
scen387,1
scen261,1
scen185,1
scen420,1
scen142,1
scen130,1
scen52,1
scen83,1
scen223,1
scen461,1
scen784,1
scen179,1
scen213,1
scen590,1
scen626,1
scen668,1
scen444,1
scen315,1
scen57,0
scen622,0
scen118,0
scen425,0
scen651,0
scen466,0
scen340,0
scen613,0
scen189,0
scen383,0
scen453,0
scen508,0
scen527,0
scen212,0
scen365,0
scen780,0
scen62,0
scen496,0
scen836,0
scen16,0
scen746,0
scen262,0
scen392,0
scen499,0
scen729,0
scen704,0
scen198,0
scen400,0
scen295,0
scen285,0
scen721,0
scen240,0
scen533,0
scen209,0
scen126,0
scen480,0
scen265,0
scen249,0
scen117,0
scen84,0
scen560,0
scen68,0
scen732,0
scen646,0
scen472,0
scen355,0
scen297,0
scen17,0
scen193,0
scen36,0
scen323,0
scen767,0
scen389,0
scen697,0
scen750,0
scen889,0
scen260,0
scen645,0
scen374,0
scen575,0
scen816,0
scen369,0
scen597,0
scen214,0
scen316,0
scen482,0
scen667,0
scen610,0
scen676,0
scen798,0
scen683,0
scen54,0
scen37,0
scen121,0
scen607,0
scen885,0
scen473,0
scen112,0
scen94,0
scen747,0
scen320,0
scen783,0
scen248,0
scen498,0
scen803,0
scen391,0
scen306,0
scen628,0
scen879,0
scen698,0
scen817,0
scen686,0
scen502,0
scen621,0
scen831,0
scen426,0
scen6,0
scen863,0
scen846,0
scen359,0
scen368,0
scen166,0
scen431,0
scen619,0
scen53,0
scen771,0
scen422,0
scen526,0
scen34,0
scen494,0
scen834,0
scen647,0
scen483,0
scen187,0
scen276,0
scen110,0
scen384,0
scen788,0
scen364,0
scen186,0
scen421,0
scen720,0
scen857,0
scen598,0
scen101,0
scen558,0
scen785,0
scen638,0
scen13,0
scen325,0
scen790,0
scen337,0
scen614,0
scen336,0
scen454,0
scen199,0
scen338,0
scen375,0
scen507,0
scen869,0
scen370,0
scen395,0
scen617,0
scen43,0
scen591,0
scen398,0
scen137,0
scen192,0
scen715,0
scen67,0
scen632,0
scen529,0
scen860,0
scen709,0
scen102,0
scen881,0
scen712,0
scen722,0
scen561,0
scen291,0
scen787,0
scen585,0
scen125,0
scen135,0
scen603,0
scen689,0
scen553,0
scen654,0
scen60,0
scen656,0
scen65,0
scen888,0
scen415,0
scen443,0
scen423,0
scen171,0
scen744,0
scen33,0
scen156,0
scen748,0
scen74,0
scen437,0
scen300,0
scen711,0
scen288,0
scen51,0
scen682,0
scen671,0
scen397,0
scen528,0
scen164,0
scen853,0
scen570,0
scen218,0
scen343,0
scen231,0
scen871,0
scen845,0
scen251,0
scen90,0
scen238,0
scen348,0
scen188,0
scen42,0
scen353,0
scen345,0
scen274,0
scen267,0
scen440,0
scen554,0
scen631,0
scen386,0
scen752,0
scen773,0
scen471,0
scen896,0
scen358,0
scen330,0
scen625,0
scen506,0
scen148,0
scen14,0
scen254,0
scen760,0
scen738,0
scen618,0
scen534,0
scen804,0
scen740,0
scen92,0
scen861,0
scen500,0
scen255,0
scen545,0
scen573,0
scen441,0
scen833,0
scen393,0
scen294,0
scen270,0
scen366,0
scen825,0
scen290,0
scen56,0
scen4,0
scen623,0
scen559,0
scen577,0
scen427,0
scen24,0
scen269,0
scen394,0
scen856,0
scen844,0
scen707,0
scen805,0
scen609,0
scen663,0
scen79,0
scen859,0
scen513,0
scen233,0
scen739,0
scen354,0
scen777,0
scen341,0
scen566,0
scen197,0
scen706,0
scen655,0
scen87,0
scen510,0
scen1,0
scen824,0
scen28,0
scen71,0
scen886,0
scen731,0
scen552,0
scen761,0
scen840,0
scen693,0
scen61,0
scen843,0
scen627,0
scen357,0
scen114,0
scen217,0
scen78,0
scen600,0
scen868,0
scen66,0
scen743,0
scen445,0
scen159,0
scen895,0
scen615,0
scen830,0
scen141,0
scen815,0
scen543,0
scen564,0
scen413,0
scen438,0
scen819,0
scen891,0
scen781,0
scen332,0
scen222,0
scen352,0
scen493,0
scen849,0
scen652,0
scen457,0
scen594,0
scen741,0
scen241,0
scen2,0
scen670,0
scen382,0
scen178,0
scen119,0
scen589,0
scen308,0
scen310,0
scen685,0
scen806,0
scen675,0
scen727,0
scen661,0
scen48,0
scen451,0
scen710,0
scen486,0
scen692,0
scen716,0
scen820,0
scen877,0
scen155,0
scen530,0
scen253,0
scen264,0
scen29,0
scen433,0
scen503,0
scen120,0
scen718,0
scen540,0
scen539,0
scen167,0
scen40,0
scen202,0
scen884,0
scen215,0
scen898,0
scen96,0
scen899,0
scen298,0
scen103,0
scen439,0
scen640,0
scen346,0
scen858,0
scen25,0
scen195,0
scen864,0
scen571,0
scen284,0
scen419,0
scen642,0
scen684,0
scen64,0
scen821,0
scen807,0
scen587,0
scen450,0
scen333,0
scen326,0
scen809,0
scen616,0
scen756,0
scen723,0
scen624,0
scen312,0
scen465,0
scen35,0
scen446,0
scen227,0
scen495,0
scen679,0
scen181,0
scen334,0
scen356,0
scen436,0
scen688,0
scen329,0
scen766,0
scen848,0
scen842,0
scen95,0
scen580,0
scen865,0
scen303,0
scen104,0
scen694,0
scen367,0
scen572,0
scen778,0
scen772,0
scen832,0
scen216,0
scen524,0
scen474,0
scen12,0
scen111,0
scen870,0
scen484,0
scen469,0
scen81,0
scen220,0
scen31,0
scen327,0
scen200,0
scen201,0
scen464,0
scen80,0
scen226,0
scen106,0
scen309,0
scen428,0
scen462,0
scen479,0
scen15,0
scen173,0
scen588,0
scen411,0
scen184,0
scen307,0
scen98,0
scen490,0
scen838,0
scen586,0
scen677,0
scen532,0
scen728,0
scen88,0
scen611,0
scen501,0
scen717,0
scen259,0
scen280,0
scen523,0
scen296,0
scen827,0
scen143,0
scen664,0
scen643,0
scen839,0
scen302,0
scen537,0
scen593,0
scen89,0
scen695,0
scen287,0
scen416,0
scen749,0
scen596,0
scen562,0
scen100,0
scen735,0
scen305,0
scen544,0
scen793,0
scen808,0
scen653,0
scen8,0
scen549,0
scen742,0
scen776,0
scen786,0
scen406,0
scen211,0
scen268,0
scen512,0
scen478,0
scen873,0
scen363,0
scen228,0
scen139,0
scen634,0
scen304,0
scen497,0
scen154,0
scen701,0
scen470,0
scen491,0
scen726,0
scen20,0
scen666,0
scen837,0
scen893,0
scen314,0
scen725,0
scen82,0
scen650,0
scen116,0
scen360,0
scen32,0
scen900,0
scen235,0
scen247,0
scen476,0
scen536,0
scen876,0
scen385,0
scen605,0
scen792,0
scen429,0
scen705,0
scen152,0
scen604,0
scen99,0
scen547,0
scen890,0
scen468,0
scen854,0
scen136,0
scen759,0
scen514,0
scen289,0
scen538,0
scen463,0
scen669,0
scen424,0
scen58,0
scen169,0
scen736,0
scen380,0
scen455,0
scen764,0
scen818,0
scen477,0
scen563,0
scen826,0
scen672,0
scen127,0
scen70,0
scen174,0
scen236,0
scen518,0
scen72,0
scen160,0
scen782,0
scen11,0
scen606,0
scen282,
scen258,
scen639,
scen361,
scen59,
scen800,
scen770,
scen458,
scen702,
scen149,
scen278,
scen321,
scen635,
scen279,
scen250,
scen328,
scen489,
scen230,
scen129,
scen745,
scen237,
scen674,
scen565,
scen850,
scen396,
scen430,
scen687,
scen467,
scen855,
scen794,
scen175,
scen504,
scen595,
scen713,
scen620,
scen322,
scen887,
scen196,
scen737,
scen208,
scen221,
scen703,
scen810,
scen754,
scen55,
scen612,
scen21,
scen582,
scen205,
scen762,
scen802,
scen75,
scen521,
scen852,
scen219,
scen409,
scen10,
scen475,
scen630,
scen158,
scen535,
scen408,
scen44,
scen281,
scen27,
scen412,
scen49,
scen459,
scen878,
scen696,
scen252,
scen789,
scen801,
scen519,
scen203,
scen73,
scen649,
scen568,
scen26,
scen851,
scen299,
scen23,
scen349,
scen168,
scen283,
scen883,
scen758,
scen633,
scen271,
scen797,
scen835,
scen128,
scen644,
scen371,
scen882,
scen30,
scen714,
scen708,
scen151,
scen401,
scen779,
scen897,
scen546,
scen576,
scen822,
scen509,
scen191,
scen681,
scen636,
scen263,
scen123,
scen293,
scen658,
scen379,
scen207,
scen133,
scen404,
scen492,
scen399,
scen266,
scen39,
scen768,
scen700,
scen460,
scen592,
scen690,
scen556,
scen176,
scen629,
scen339,
scen177,
scen77,
scen124,
scen522,
scen301,
scen161,
scen811,
scen172,
scen569,
scen170,
scen41,
scen145,
scen347,
scen602,
scen449,
scen286,
scen69,
scen113,
scen410,
scen190,
scen243,
scen234,
scen511,
scen47,
scen242,
scen165,
scen488,
scen331,
scen147,
scen194,
scen880,
scen7,
scen648,
scen224,
scen673,
scen19,
scen841,
scen432,
scen210,
scen448,
scen599,
scen774,
scen372,
scen775,
scen414,
scen550,
scen132,
scen144,
scen487,
scen105,
scen541,
scen350,
scen520,
scen162,
scen63,
scen257,
scen182,
scen153,
scen581,
scen751,
scen583,
scen757,
scen516,
scen812,
scen9,
scen122,
scen799,
scen892,
scen733,
scen796,
scen93,
scen378,
scen277,
scen403,
scen637,
scen256,
scen517,
scen542,
scen791,
scen318,
scen272,
scen665,
scen3,
scen862,
scen662,
scen795,
scen180,
scen813,
scen435,
scen557,
scen657,
scen373,
scen109,
scen525,
scen866,
scen515,
scen319,
scen163,
scen567,
scen456,
scen86,
scen140,
scen447,
scen584,
scen434,
scen390,
scen875,
scen239,
scen244,
scen76,
scen531,
scen452,
scen555,
scen847,
scen50,
scen138,
scen317,
scen362,
scen45,
scen246,
scen108,
scen405,
scen225,
scen232,
scen659,
scen38,
scen548,
scen765,
scen376,
scen91,
scen485,
scen351,
scen505,
scen97,
scen388,
scen829,
scen724,
scen150,
scen46,
scen601,
scen691,
scen418,
scen335,
scen313,
scen574,
scen730,
scen755,
scen85,
scen699,
scen828,
scen678,
scen402,
scen407,
scen872,
scen342,
scen763,
scen894,
scen273,
scen753,
scen641,
scen206,
scen874,
scen311,
scen551,
scen719,
scen18,
scen344,
scen579,
scen324,
scen680,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
