3413      0.148
1165 6      0.163       0.068 Equation   Const_6FIX (20700)
1146 7      0.177       0.049 Equation   Const_3_2FIX (20700)
1116 10      0.296       0.027 Equation   ObjectiveFIX (1)
1140 5      0.163       0.042 Equation   Const_3_1FIX (20700)
1156 3      0.340       0.057 Equation   Const_4_2FIX (19800)
1264 2      0.553       0.068 Solve Fini SCHEDULEFIX (661525)
1201 8      0.371       0.058 Solve Fini schedule (661525)
1025 9      0.166       0.005 Loop       
1264 1      0.165       0.068 GAMS Fini   
1152 4      0.351       0.053 Equation   Const_4_1FIX (19800)
