3383      0.028
1118 10      0.106       0.015 Equation   Objective (1)
1144 7      0.068       0.038 Equation   Const_3_2 (20700)
1126 8      0.042       0.025 Equation   Const1_1 (21600)
1163 1      0.035       0.057 Equation   Const_6 (20700)
1141 6      0.056       0.031 Equation   Const_3_1 (20700)
1150 9      0.096       0.042 Equation   Const_4_1 (19800)
1025 2      0.167       0.005 Loop       
1201 5      0.123       0.058 GAMS Fini   
1154 3      0.073       0.046 Equation   Const_4_2 (19800)
1201 4      0.447       0.058 Solve Fini schedule (661525)
