0.100
"","time"," number scenarios","profit_value"
"iter1",14.000,20.000,8134.840
"iter2",151.000,22.000,8123.035
"iter3",237.000,25.000,7956.499
"iter4",269.000,28.000,7761.095
"iter5",464.000,31.000,7633.048
"iter6",2100.000,35.000,7450.599
"iter7",0.000,0.000,0.000
"iter8",0.000,0.000,0.000
"iter9",0.000,0.000,0.000
"iter10",0.000,0.000,0.000
"iter11",0.000,0.000,0.000
"iter12",0.000,0.000,0.000
"iter13",0.000,0.000,0.000
"iter14",0.000,0.000,0.000
"iter15",0.000,0.000,0.000
"iter16",0.000,0.000,0.000
"iter17",0.000,0.000,0.000
"iter18",0.000,0.000,0.000
"iter19",0.000,0.000,0.000
"iter20",0.000,0.000,0.000
"iter21",0.000,0.000,0.000
"iter22",0.000,0.000,0.000
"iter23",0.000,0.000,0.000
"iter24",0.000,0.000,0.000
"iter25",0.000,0.000,0.000
"iter26",0.000,0.000,0.000
"iter27",0.000,0.000,0.000
"iter28",0.000,0.000,0.000
"iter29",0.000,0.000,0.000
"iter30",0.000,0.000,0.000
