,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,40.788,31.292,31.686,13.104,19.513,17.589,3.982,2.111,5.395,7.339,16.453,12.563,18.552,26.285,25.218,27.124,61.119,61.994,26.851,30.668,33.969,21.804,0.894,5.003
scen2,38.871,29.430,17.177,37.161,36.065,43.551,20.778,15.194,11.549,4.238,15.674,23.131,10.582,18.198,47.717,35.322,42.241,44.180,22.863,32.739,31.534,35.139,47.508,39.488
scen3,40.453,39.543,54.351,7.527,13.003,5.582,10.555,30.856,40.955,2.810,10.196,24.696,1.107,1.261,6.703,28.630,7.813,5.701,29.724,37.637,47.618,20.059,17.157,33.769
scen4,30.964,31.662,21.754,2.502,5.546,11.349,26.873,36.986,52.809,4.681,11.948,7.568,11.216,17.302,12.527,40.069,45.700,39.670,19.931,55.956,60.507,31.742,38.095,38.727
scen5,31.977,44.193,31.514,1.068,6.901,8.509,9.550,14.850,29.701,0.550,15.489,10.324,8.957,3.511,4.151,42.279,31.693,15.346,20.856,27.220,39.239,19.065,12.689,17.604
scen6,44.125,23.932,10.829,6.189,21.050,13.703,25.274,34.905,34.505,8.014,4.363,2.003,14.843,9.970,4.671,40.140,46.915,52.225,39.938,29.705,23.973,21.239,33.044,37.499
scen7,42.361,42.758,33.893,1.576,8.044,8.320,10.711,32.328,44.895,13.217,24.235,41.519,15.350,0.507,8.108,16.188,24.578,31.130,28.765,27.134,35.786,17.934,23.462,31.903
scen8,24.010,15.731,28.429,7.051,6.959,7.177,9.913,2.702,28.548,14.935,23.306,25.621,0.375,2.024,11.126,31.555,25.978,30.023,27.545,27.083,16.445,19.196,18.951,21.620
scen9,31.739,28.197,24.841,0.057,1.148,10.663,18.933,15.737,8.667,5.207,35.804,49.272,21.944,35.804,23.935,24.683,12.825,7.677,24.350,31.201,31.877,33.394,18.536,19.869
scen10,53.992,68.828,63.827,7.661,25.876,36.882,1.569,7.646,2.418,21.509,23.117,3.706,20.109,8.312,4.564,29.517,23.436,33.347,33.934,32.751,23.656,22.811,19.852,2.295
scen11,35.906,40.647,22.324,5.385,21.266,9.214,6.017,6.382,2.859,22.078,14.943,19.075,16.300,30.952,43.881,48.997,46.315,33.619,36.430,30.778,16.032,13.804,14.004,33.443
