,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,40.788,31.292,31.686,13.104,19.513,17.589,3.982,2.111,5.395,7.339,16.453,12.563,18.552,26.285,25.218,27.124,61.119,61.994,26.851,30.668,33.969,21.804,0.894,5.003
scen2,38.871,29.430,17.177,37.161,36.065,43.551,20.778,15.194,11.549,4.238,15.674,23.131,10.582,18.198,47.717,35.322,42.241,44.180,22.863,32.739,31.534,35.139,47.508,39.488
scen3,40.453,39.543,54.351,7.527,13.003,5.582,10.555,30.856,40.955,2.810,10.196,24.696,1.107,1.261,6.703,28.630,7.813,5.701,29.724,37.637,47.618,20.059,17.157,33.769
scen4,30.964,31.662,21.754,2.502,5.546,11.349,26.873,36.986,52.809,4.681,11.948,7.568,11.216,17.302,12.527,40.069,45.700,39.670,19.931,55.956,60.507,31.742,38.095,38.727
scen5,31.977,44.193,31.514,1.068,6.901,8.509,9.550,14.850,29.701,0.550,15.489,10.324,8.957,3.511,4.151,42.279,31.693,15.346,20.856,27.220,39.239,19.065,12.689,17.604
scen6,44.125,23.932,10.829,6.189,21.050,13.703,25.274,34.905,34.505,8.014,4.363,2.003,14.843,9.970,4.671,40.140,46.915,52.225,39.938,29.705,23.973,21.239,33.044,37.499
scen7,42.361,42.758,33.893,1.576,8.044,8.320,10.711,32.328,44.895,13.217,24.235,41.519,15.350,0.507,8.108,16.188,24.578,31.130,28.765,27.134,35.786,17.934,23.462,31.903
scen8,24.010,15.731,28.429,7.051,6.959,7.177,9.913,2.702,28.548,14.935,23.306,25.621,0.375,2.024,11.126,31.555,25.978,30.023,27.545,27.083,16.445,19.196,18.951,21.620
scen9,31.739,28.197,24.841,0.057,1.148,10.663,18.933,15.737,8.667,5.207,35.804,49.272,21.944,35.804,23.935,24.683,12.825,7.677,24.350,31.201,31.877,33.394,18.536,19.869
scen10,53.992,68.828,63.827,7.661,25.876,36.882,1.569,7.646,2.418,21.509,23.117,3.706,20.109,8.312,4.564,29.517,23.436,33.347,33.934,32.751,23.656,22.811,19.852,2.295
scen11,35.906,40.647,22.324,5.385,21.266,9.214,6.017,6.382,2.859,22.078,14.943,19.075,16.300,30.952,43.881,48.997,46.315,33.619,36.430,30.778,16.032,13.804,14.004,33.443
scen12,21.121,16.353,35.608,1.199,0.799,7.159,3.171,6.269,1.693,5.049,6.014,4.394,7.257,0.202,11.054,31.809,34.371,25.556,19.061,26.158,10.004,30.579,30.212,20.788
scen13,46.383,49.690,45.550,3.904,9.649,10.204,9.996,6.974,9.864,2.449,1.958,3.780,20.149,42.136,53.366,56.735,49.034,47.172,26.451,38.567,33.220,42.018,59.848,73.926
scen14,43.103,45.663,39.525,2.904,21.530,34.186,4.464,18.244,3.407,17.752,24.454,9.595,6.177,9.903,13.875,40.823,28.385,12.174,39.200,41.820,41.778,38.182,10.253,2.632
scen15,37.583,34.645,32.719,19.370,19.987,21.276,1.383,10.348,17.944,16.976,20.339,31.687,1.862,1.024,9.111,49.187,60.406,38.053,22.813,22.300,17.566,46.529,54.186,40.475
scen16,26.222,23.736,29.680,25.646,40.098,42.033,16.438,18.297,20.203,3.928,8.400,15.628,26.087,31.792,40.537,28.131,28.417,25.934,52.851,53.860,33.250,33.507,49.510,55.165
scen17,30.618,13.952,7.782,7.573,23.744,23.919,2.975,6.893,18.567,20.334,31.383,48.316,3.900,23.019,22.115,42.827,40.195,48.733,35.458,48.134,43.028,42.002,35.285,30.583
scen18,36.582,33.992,50.666,17.083,11.431,6.019,30.221,46.971,49.415,23.601,29.279,32.148,8.504,0.920,1.754,31.913,23.320,14.043,25.916,28.322,18.550,39.284,26.472,22.773
scen19,34.352,29.418,29.102,0.592,15.195,6.234,4.431,18.591,21.658,26.181,17.305,12.471,8.995,0.595,6.656,42.025,52.206,48.223,19.233,18.921,21.031,18.374,16.086,17.735
scen20,56.789,57.879,57.190,15.012,39.102,38.643,16.741,26.861,16.576,12.535,38.359,46.995,0.663,12.961,19.233,17.176,19.198,20.429,18.671,18.028,20.283,21.967,31.649,33.541
