Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
100,0.01,"4,951.30","2,661","4,578.96","2,419","6,051.36","2,104"
,0.03,"5,304.93","2,662","4,694.28","1,849","6,648.47","2,105"
,0.05,"5,624.33","1,977","4,850.88","1,857","7,122.64","2,104"
,0.07,"6,113.24","2,300",x,"2,503","7,620.29","2,105"
600,0.01,"4,602.68","2,661","4,431.45","2,419","4,371.01","2,166"
,0.03,"4,980.82","2,662","4,725.91","1,849","4,777.36","2,166"
,0.05,"5,633.56","1,977","5,138.94","1,857","4,648.14","2,167"
,0.07,"6,144.55","2,300",x,"2,503","4,949.73","2,166"
900,0.01,"4,547.32","2,661","4,376.98","2,419","4,267.61","2,230"
,0.03,"5,083.08","2,662","4,553.03","1,849","4,534.42","2,226"
,0.05,"5,601.94","1,977","4,941.90","1,857","4,477.66","2,224"
,0.07,"6,113.63","2,300",x,"2,503","4,660.55","2,228"
"1,500",0.01,"4,603.75","2,661","4,470.61","2,419","4,069.86","2,395"
,0.03,"5,081.49","2,662","4,683.39","1,849","4,104.78","2,398"
,0.05,"5,543.66","1,977","5,104.65","1,857","4,058.15","2,399"
,0.07,"6,056.66","2,300",x,"2,503","4,589.12","2,395"
