0.000
"","time"," number scenarios","profit_value"
"iter1",17.000,20.000,7667.372
"iter2",149.000,22.000,7645.114
"iter3",213.000,25.000,7505.247
"iter4",495.000,28.000,7307.462
"iter5",490.000,31.000,7178.143
"iter6",1055.000,35.000,6980.891
"iter7",0.000,0.000,0.000
"iter8",0.000,0.000,0.000
"iter9",0.000,0.000,0.000
"iter10",0.000,0.000,0.000
"iter11",0.000,0.000,0.000
"iter12",0.000,0.000,0.000
"iter13",0.000,0.000,0.000
"iter14",0.000,0.000,0.000
"iter15",0.000,0.000,0.000
"iter16",0.000,0.000,0.000
"iter17",0.000,0.000,0.000
"iter18",0.000,0.000,0.000
"iter19",0.000,0.000,0.000
"iter20",0.000,0.000,0.000
"iter21",0.000,0.000,0.000
"iter22",0.000,0.000,0.000
"iter23",0.000,0.000,0.000
"iter24",0.000,0.000,0.000
"iter25",0.000,0.000,0.000
"iter26",0.000,0.000,0.000
"iter27",0.000,0.000,0.000
"iter28",0.000,0.000,0.000
"iter29",0.000,0.000,0.000
"iter30",0.000,0.000,0.000
