0.000
"","time"," number scenarios","profit_value"
"iter1",31.000,20.000,8134.840
"iter2",265.000,22.000,8124.600
"iter3",369.000,25.000,7958.749
"iter4",628.000,28.000,7762.662
"iter5",1370.000,31.000,7635.616
"iter6",0.000,0.000,0.000
"iter7",0.000,0.000,0.000
"iter8",0.000,0.000,0.000
"iter9",0.000,0.000,0.000
"iter10",0.000,0.000,0.000
"iter11",0.000,0.000,0.000
"iter12",0.000,0.000,0.000
"iter13",0.000,0.000,0.000
"iter14",0.000,0.000,0.000
"iter15",0.000,0.000,0.000
"iter16",0.000,0.000,0.000
"iter17",0.000,0.000,0.000
"iter18",0.000,0.000,0.000
"iter19",0.000,0.000,0.000
"iter20",0.000,0.000,0.000
"iter21",0.000,0.000,0.000
"iter22",0.000,0.000,0.000
"iter23",0.000,0.000,0.000
"iter24",0.000,0.000,0.000
"iter25",0.000,0.000,0.000
"iter26",0.000,0.000,0.000
"iter27",0.000,0.000,0.000
"iter28",0.000,0.000,0.000
"iter29",0.000,0.000,0.000
"iter30",0.000,0.000,0.000
