 ,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,0,0,0,0,0,0,0,23.716,75.455,624.267,908.698,1001.123,1132.693,1263.561,954.711,950.363,779.018,438.806,169.062,126.584,0,0,0,0
scen2,0,0,0,0,0,0,0,8.993,129.39,819.265,877.108,1079.811,1449.318,1211.784,1020.063,928.492,692.984,439.598,182.288,121.151,0,0,0,0
scen3,0,0,0,0,0,0,0,16.196,66.457,662.282,1018.181,1034.381,1066.368,1052.097,1036.575,1060.415,669.803,422.583,176.15,93.599,0,0,0,0
scen4,0,0,0,0,0,0,0.187,27.044,110.81,774.144,1041.84,1012.377,1145.032,1015.226,1148.603,997.056,748.95,444.2,181.459,128.44,0,0,0,0
scen5,0,0,0,0,0,0,0,30.435,62.2,820.832,871.756,1000.778,885.859,982.374,927.553,778.958,694.272,440.731,184.4,117.045,0,0,0,0
scen6,0,0,0,0,0,0,0,15.792,142.651,682.989,935.148,1221.547,1063.676,1173.232,1071.025,1117.373,771.118,428.316,196.268,136.886,0,0,0,0
scen7,0,0,0,0,0,0,0,14.957,109.314,863.893,894.434,1163.928,1151.189,1338.367,1214.895,975.199,671.934,468.654,193.325,130.943,0,0,0,0
scen8,0,0,0,0,0,0,0,25.305,121.524,697.128,1156.386,918.285,1191.36,1307.519,1019.326,858.283,794.529,439.498,183.091,121.686,0,0,0,0
scen9,0,0,0,0,0,0,0.195,20.815,81.375,589.096,1024.74,917.084,1069.669,1327.027,1100.756,1015.835,797.01,490.926,175.343,120.847,0,0,0,0
scen10,0,0,0,0,0,0,0,13.663,115.627,759.058,641.059,868.647,1054.172,1037.658,1068.224,957.141,785.549,470.786,192.77,128.855,0,0,0,0
scen11,0,0,0,0,0,0,0.39,17.141,185.759,714.834,943.506,1010.661,987.093,1220.761,1322.622,1047.754,814.585,476.544,202.259,130.967,0,0,0,0
scen12,0,0,0,0,0,0,0,20.68,93.794,860.142,882.811,1330.351,1157.993,1260.118,992.742,753.002,768.702,451.255,192.836,126.769,0,0,0,0
scen13,0,0,0,0,0,0,0,9.777,87.309,705.311,956.677,1051.891,1299.778,1168.607,1215.197,876.637,749.517,479.191,195.351,122.272,0,0,0,0
scen14,0,0,0,0,0,0,0.158,26.482,45.07,843.013,1414.492,1303.367,1218.264,1095.205,1167.358,1117.934,794.187,428.266,196.69,115.603,0,0,0,0
scen15,0,0,0,0,0,0,0.258,26.43,149.422,650.471,875.891,757.247,1163.246,1305.706,1307.195,1063.242,845.24,404.199,182.037,117.279,0,0,0,0
scen16,0,0,0,0,0,0,0,38.281,175.642,696.685,891.901,1110.084,878.89,888.541,1080.361,933.507,796.781,451.417,181.408,128.601,0,0,0,0
scen17,0,0,0,0,0,0,0.205,16.174,101.364,708.761,897.33,1106.713,1208.991,1029.805,1203.154,829.177,802.767,490.356,201.643,113.858,0,0,0,0
scen18,0,0,0,0,0,0,0,17.828,102.007,823.34,1017.836,1130.474,1050.944,1204.343,955.109,883.885,773.248,408.949,184.465,115.712,0,0,0,0
scen19,0,0,0,0,0,0,0,5.47,53.6,691.056,1088.543,1213.756,1372.044,1288.705,1181.15,913.661,876.709,446.757,161.795,125.084,0,0,0,0
scen20,0,0,0,0,0,0,0.617,19.456,0,766.265,941.87,988.598,968.537,1373.289,950.907,1005.505,778.773,461.493,204.372,113.647,0,0,0,0
scen21,0,0,0,0,0,0,0,16.196,66.457,662.282,1018.181,1034.381,1066.368,1052.097,1036.575,1060.415,669.803,422.583,176.15,93.599,0,0,0,0
scen22,0,0,0,0,0,0,0,30.435,62.2,820.832,871.756,1000.778,885.859,982.374,927.553,778.958,694.272,440.731,184.4,117.045,0,0,0,0
scen23,0,0,0,0,0,0,0,15.792,142.651,682.989,935.148,1221.547,1063.676,1173.232,1071.025,1117.373,771.118,428.316,196.268,136.886,0,0,0,0
scen24,0,0,0,0,0,0,0.187,27.044,110.81,774.144,1041.84,1012.377,1145.032,1015.226,1148.603,997.056,748.95,444.2,181.459,128.44,0,0,0,0
scen25,0,0,0,0,0,0,0.649,36.257,121.315,730.86,896.249,1020.045,1229.63,1237.139,1063.549,991.268,699.505,482.145,174.108,134.156,0,0,0,0
scen26,0,0,0,0,0,0,0,14.273,103.535,783.849,862.935,908.391,1391.943,1070.746,991.407,964.391,858.785,463.63,163.669,118.105,0,0,0,0
scen27,0,0,0,0,0,0,0,14.957,109.314,863.893,894.434,1163.928,1151.189,1338.367,1214.895,975.199,671.934,468.654,193.325,130.943,0,0,0,0
scen28,0,0,0,0,0,0,0,25.305,121.524,697.128,1156.386,918.285,1191.36,1307.519,1019.326,858.283,794.529,439.498,183.091,121.686,0,0,0,0
scen29,0,0,0,0,0,0,0.195,20.815,81.375,589.096,1024.74,917.084,1069.669,1327.027,1100.756,1015.835,797.01,490.926,175.343,120.847,0,0,0,0
scen30,0,0,0,0,0,0,0,13.663,115.627,759.058,641.059,868.647,1054.172,1037.658,1068.224,957.141,785.549,470.786,192.77,128.855,0,0,0,0
scen31,0,0,0,0,0,0,0.39,17.141,185.759,714.834,943.506,1010.661,987.093,1220.761,1322.622,1047.754,814.585,476.544,202.259,130.967,0,0,0,0
