 ,value
scen1,0.0116
scen2,0.0088
scen3,0.009
scen4,0.008
scen5,0.0038
scen6,0.0088
scen7,0.0072
scen8,0.0056
scen9,0.0076
scen10,0.0044
scen11,0.0048
scen12,0.0042
scen13,0.007
scen14,0.0054
scen15,0.004
scen16,0.0032
scen17,0.0056
scen18,0.0052
scen19,0.0022
scen20,0.0034
scen21,0.009
scen22,0.0038
scen23,0.0088
scen24,0.008
scen25,0.0074
scen26,0.0044
scen27,0.0072
scen28,0.0056
scen29,0.0076
scen30,0.0044
scen31,0.0048
scen32,0.0042
scen33,0.007
scen34,0.0054
scen35,0.004
scen36,0.0032
scen37,0.0056
scen38,0.0052
scen39,0.0022
scen40,0.0034
scen41,0.0042
scen42,0.0044
scen43,0.008
scen44,0.0056
scen45,0.0072
scen46,0.0076
scen47,0.0074
scen48,0.0044
scen49,0.0054
scen50,0.004
scen51,0.0052
scen52,0.0044
scen53,0.0048
scen54,0.0042
scen55,0.007
scen56,0.0066
scen57,0.004
scen58,0.0032
scen59,0.0056
scen60,0.0028
scen61,0.0022
scen62,0.0034
scen63,0.0042
scen64,0.0044
scen65,0.0024
scen66,0.0048
scen67,0.001
scen68,0.0056
scen69,0.0074
scen70,0.0054
scen71,0.0076
scen72,0.0044
scen73,0.0044
scen74,0.0066
scen75,0.004
scen76,0.0052
scen77,0.0032
scen78,0.0048
scen79,0.0042
scen80,0.007
scen81,0.0046
scen82,0.004
scen83,0.0032
scen84,0.0056
scen85,0.0028
scen86,0.0022
scen87,0.0034
scen88,0.0042
scen89,0.0044
scen90,0.0024
scen91,0.0048
scen92,0.001
scen93,0.0026
scen94,0.0026
scen95,0.0022
scen96,0.0066
scen97,0.0044
scen98,0.0046
scen99,0.0076
scen100,0.0032
scen101,0.0044
scen102,0.004
scen103,0.004
scen104,0.0052
scen105,0.0034
scen106,0.0048
scen107,0.0042
scen108,0.007
scen109,0.0028
scen110,0.0032
scen111,0.0032
scen112,0.0056
scen113,0.0028
scen114,0.0022
scen115,0.0042
scen116,0.0042
scen117,0.0044
scen118,0.0024
scen119,0.0048
scen120,0.001
scen121,0.0026
scen122,0.0026
scen123,0.0022
scen124,0.0014
scen125,0.0046
scen126,0.0022
scen127,0.0048
scen128,0.0076
scen129,0.0044
scen130,0.0052
scen131,0.0034
scen132,0.007
scen133,0.004
scen134,0.004
scen135,0.0022
scen136,0.0042
scen137,0.0024
scen138,0.0042
scen139,0.0026
scen140,0.0028
scen141,0.0032
scen142,0.0032
scen143,0.0056
scen144,0.0028
scen145,0.0022
scen146,0.0042
scen147,0.002
scen148,0.0044
scen149,0.0022
scen150,0.0048
scen151,0.001
scen152,0.0026
scen153,0.0036
scen154,0.0022
scen155,0.0014
scen156,0.0046
scen157,0.0022
scen158,0.003
scen159,0.0024
scen160,0.0024
scen161,0.001
scen162,0.004
scen163,0.0034
scen164,0.007
scen165,0.0032
scen166,0.0042
scen167,0.0026
scen168,0.004
scen169,0.0056
scen170,0.0022
scen171,0.0042
scen172,0.0024
scen173,0.0042
scen174,0.0036
scen175,0.0028
scen176,0.0032
scen177,0.0032
scen178,0.0032
scen179,0.0028
scen180,0.0044
scen181,0.004
scen182,0.002
scen183,0.0044
scen184,0.0022
scen185,0.0048
scen186,0.001
scen187,0.0026
scen188,0.0032
scen189,0.0022
scen190,0.0014
scen191,0.0046
scen192,0.0022
scen193,0.003
scen194,0.0024
scen195,0.0024
scen196,0.001
scen197,0.0016
scen198,0.0012
scen199,0.0022
scen200,0.0012
scen201,0.0032
scen202,0.0056
scen203,0.0026
scen204,0.0032
scen205,0.0042
scen206,0.0036
scen207,0.004
scen208,0.0032
scen209,0.0022
scen210,0.0056
scen211,0.0024
scen212,0.0042
scen213,0.0026
scen214,0.0028
scen215,0.0032
scen216,0.0024
scen217,0.0024
scen218,0.0028
scen219,0.0044
scen220,0.004
scen221,0.002
scen222,0.0044
scen223,0.0022
scen224,0.0048
scen225,0.001
scen226,0.0022
scen227,0.0032
scen228,0.0022
scen229,0.0014
scen230,0.0046
scen231,0.0022
scen232,0.003
scen233,0.0016
scen234,0.0024
scen235,0.001
scen236,0.0016
scen237,0.0012
scen238,0.0022
scen239,0.0012
scen240,0.0018
scen241,0.0014
scen242,0.0018
scen243,0.0018
scen244,0.0022
scen245,0.0042
scen246,0.0042
scen247,0.0044
scen248,0.0024
scen249,0.0026
scen250,0.004
scen251,0.0032
scen252,0.0026
scen253,0.0056
scen254,0.0022
scen255,0.0036
scen256,0.0032
scen257,0.0028
scen258,0.0032
scen259,0.0024
scen260,0.0024
scen261,0.0028
scen262,0.0024
scen263,0.004
