,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
scen1,44.239012,49.08196592,61.81754397,2.829720597,13.62754489,25.76409384,13.61387907,13.53442124,14.36968159,11.01667958,17.11534313,22.5806405,13.04466026,25.91415735,21.54791281,23.28490037,4.429707165,5.353703765,35.49895265,30.21910392,39.99936734,40.20192025,51.6554906,58.01929127
scen2,56.84039682,72.76279463,63.1138287,14.84154237,18.9413375,23.38028852,7.378353393,0.921050494,4.910208339,3.685818972,2.536160436,9.995118998,4.205574488,0.806819993,10.15822831,38.0495516,43.19345292,36.03087484,27.10951177,29.11020027,38.99031768,34.87259732,15.65191553,5.174732819
scen3,17.05226372,13.22498418,32.39520257,19.25391716,19.53553302,6.542428616,12.01932848,6.50565574,11.60429082,11.67176273,27.86910207,20.5430458,1.269849126,29.43660712,26.04217167,36.24360025,44.2825297,32.2070738,32.48650042,38.26516974,33.97905328,37.18677578,45.12418273,47.78935538
scen4,47.39374959,47.63995817,42.6016989,17.69807817,14.0791529,28.80717201,15.81584324,6.362112772,10.42386799,6.746373001,6.712937472,0.809006643,14.56727591,26.91071994,31.03360775,46.53200151,40.65052766,36.31941866,35.39047711,28.97359021,21.76512798,38.96234709,25.05283135,15.07754705
scen5,42.11092294,58.53375282,46.17467298,6.887214128,5.631137482,12.08236871,13.51237274,15.22636597,36.08450568,35.5918159,58.62013725,58.40688231,3.859356352,12.69081978,5.52106621,37.19338114,47.48676209,49.82197395,35.23768632,38.83898529,52.38179466,1.81616485,3.724490215,14.4426544
scen6,26.29910048,18.74702765,12.56808259,2.326335862,4.970219352,0.631635616,3.669347598,0.549308248,10.54169023,4.912657615,7.195914408,19.06627404,13.04987833,17.60741377,21.57720573,47.44810677,44.00504952,55.26430714,36.0045257,24.4296878,19.11511202,30.80493908,19.16789056,10.4561883
scen7,34.79676413,33.50492164,42.41761806,4.673564359,7.700482545,19.16163049,4.989678951,2.822550344,2.447827966,6.473420332,8.804723925,1.157551284,7.309166279,27.13234155,37.58366044,41.26666214,34.079095,38.7862416,28.45025443,21.36901228,22.49750289,26.60843477,29.29222755,25.2550434
scen8,42.34287414,51.20492316,62.01172871,8.378032146,13.58042823,14.66374651,0.098285192,2.348662646,6.728229038,9.235534532,26.45085671,38.0755224,4.82568218,1.723223571,8.541059191,49.32564957,53.46191063,63.44567035,7.294455163,2.543216587,9.982765364,26.60367965,20.534277,27.22790229
scen9,73.79994237,80.10936264,78.14439659,16.55359928,5.777762876,3.470202528,19.90559704,20.21995946,14.88389971,4.511666643,2.433881385,1.869029327,17.77669718,3.623219714,5.316381663,34.74847595,41.16598818,34.57340486,33.75375974,35.98090595,36.37232933,19.18702632,14.17025685,4.105839055
scen10,65.93551207,83.21339448,85.12096429,3.911518975,18.16341032,19.11468992,9.957053953,4.897930156,10.82512914,19.33571933,12.85537811,11.28014485,15.64968677,42.73036695,46.7631753,13.22598501,14.37744259,19.9223508,22.26877219,39.49382847,33.96874375,10.45990667,25.18929848,35.74153489
scen11,25.88885977,33.28106269,41.66120648,5.540986297,11.93444588,6.438617374,3.82322104,1.314673473,4.38163092,16.07647418,29.96800652,30.03200917,6.634493312,18.59641478,23.27857181,27.20231892,28.94564775,45.72771006,36.47228846,43.0912208,40.87919795,16.8361572,5.945919545,3.280062538
scen12,68.51647999,75.37541809,58.37000872,13.21738935,0.848157083,16.46552093,16.79915151,14.42900359,10.01752408,23.84339219,49.69187421,59.89374912,9.28432479,2.962157898,15.23023929,31.04608954,36.24848347,30.92598958,18.40792147,7.53497176,18.59407005,29.85249882,39.08530258,50.69717968
scen13,46.06412744,39.00665481,30.96273179,15.62465484,29.13954213,61.0347348,5.244187558,10.53110014,16.10228476,15.52808514,10.84216628,28.22344423,9.201162339,13.28322449,15.68082312,35.34256232,32.44931854,38.19960555,41.25708666,26.51000802,16.20282457,26.81174224,19.86067417,19.85717877
scen14,38.39899899,43.2090978,25.78227813,6.548825142,12.50014703,4.228816168,14.54624525,25.52081328,25.71809083,25.66928542,39.02531178,27.01953627,10.2193217,11.87981514,9.911724944,28.94805755,34.74267441,48.43611952,22.54008464,13.55621881,24.26879876,31.95930363,29.37528976,27.21184059
scen15,45.96048174,33.00590381,25.33832749,9.169791803,14.33404569,12.89498268,24.95454207,7.88787241,8.94350665,0.557127438,10.82758845,15.3636084,15.98874987,11.62015402,24.98304688,38.65301155,45.34688795,35.56129773,24.92624843,38.45926678,39.79413162,33.83159192,47.78243797,37.7045692
scen16,37.0193872,38.48058669,47.7098227,9.129688942,13.48309645,14.29470973,19.32688582,26.54474908,38.72847743,11.87535047,13.91066489,7.978400059,4.982238365,11.37754865,0.89451341,35.87180333,20.91286281,22.90761789,35.17275483,40.85944505,31.89247618,15.4303402,18.79731897,9.796554489
scen17,37.8051081,44.87220272,52.63533283,5.756670267,1.090041706,2.963762302,8.653294941,7.227345188,4.923417874,0.92041083,11.78826812,10.67227852,23.9327904,18.97121943,34.39035885,52.41585313,49.58929682,38.00118141,54.10218229,47.11611594,34.69355764,26.08608461,30.77968103,29.70003776
scen18,53.49432511,57.23381425,77.91453878,15.90526845,8.629749684,12.13920485,9.103646398,7.073234653,25.93569374,11.59906122,25.8429337,19.42675825,2.643621849,0.101461506,12.6046098,21.07826113,28.14435699,25.95782101,22.11203924,33.63626898,45.36255216,31.13923155,43.54194111,57.58483559
scen19,52.71014599,62.80744824,63.95602604,3.685395682,10.25788638,7.623590562,29.04241651,39.97654553,49.26911327,8.200289286,8.39420184,9.019585087,5.355262309,1.281329423,7.828438568,33.56584292,29.89740177,22.71233848,48.69879981,43.21513799,43.56694494,18.20105656,11.63615823,12.42356318
scen20,52.78945452,74.16853048,54.49173321,0.805995004,3.469571731,7.595887562,8.549894182,7.02292433,20.1203999,3.521655421,3.251069864,6.8343645,0.699337763,7.033271168,7.566722908,29.95995441,23.25283367,17.60616694,36.06972149,36.47126641,38.61824638,40.43557294,41.45533911,30.44161143
scen21,45.54006122,54.94306772,71.62072558,9.909214638,6.439163857,4.016522677,13.13819851,13.07643728,4.482948892,9.505850507,5.748541324,5.600800555,2.013044297,3.296995935,4.031356217,45.80908749,45.07829652,40.40060878,22.62104777,14.44647359,0.228169057,34.7715042,40.37588966,49.2351613
scen22,27.27322381,27.42405084,40.82025233,11.69591894,18.39079226,39.41516542,13.37949149,7.087604815,10.75493385,13.83118546,11.56797678,23.59719382,7.574389062,17.06053174,21.36007264,38.72395776,48.40418344,41.05132504,38.73121768,39.78017237,50.69805354,22.5509767,24.57804117,24.62331555
scen23,45.98474454,52.71335246,46.83187849,5.111402443,0.003780654,16.23388199,19.20128579,33.23992497,38.85935616,19.95701811,32.60603446,29.82179358,19.81805811,25.80473746,18.98294037,41.33701546,30.18783054,21.29154407,33.45829685,27.14122676,24.63135954,27.12746736,36.59482695,46.73707596
scen24,54.86058416,60.87965673,61.68147631,14.96556152,24.62579714,23.56349817,12.30332886,23.95604726,30.17366701,0.153603762,10.65221418,5.711882491,9.226748332,18.64353958,38.28446525,32.40965669,39.66614049,45.67423882,26.73329022,18.80926927,22.15039545,32.26718121,16.51907319,8.262926347
scen25,43.76485406,31.12599943,35.70724408,7.531766276,6.458046411,5.379565844,13.77089141,22.68690704,8.42758176,3.285655857,8.768275613,14.85334761,7.251303052,3.61595028,27.41205279,42.36816798,51.37238009,67.86276546,27.05247824,19.17631995,31.49414228,19.86900909,10.46001222,11.88209579
scen26,49.07092674,45.99734092,47.62321556,3.224046504,12.57895416,10.21534753,13.34218192,20.68232485,8.309986732,1.838387186,12.29693154,2.510694891,9.420535689,3.752093222,5.353383384,48.3152896,55.43229675,39.70825242,11.35889172,28.01756166,21.64541097,7.896377276,6.829112822,20.35802974
scen27,46.07852432,58.48982188,65.92265634,22.64061216,17.26810961,26.09182908,36.35190961,49.19831548,52.87746032,17.08718474,11.81365915,6.322224337,1.575442172,8.644109976,13.7829667,26.76240836,19.2121267,16.04171414,29.73869839,10.00215628,11.26222943,30.40717987,16.43726421,6.033588498
scen28,36.06204839,34.57269281,33.12636854,12.2948691,19.62416737,30.61245139,18.727182,28.49651491,40.39915433,24.13276899,31.57413306,42.09929582,4.888601444,11.4177462,2.55506767,24.71979229,12.20287119,14.45715807,36.46163935,47.22648619,35.39784469,26.9179726,33.15451936,41.13967111
scen29,41.86891423,47.37611637,47.06914847,2.408463636,10.17492962,16.32495012,1.689406726,5.868609259,21.98877554,19.10758807,6.435570285,6.439177347,17.2091223,20.86697553,13.04889874,34.17768826,42.97156345,48.85410044,33.87348056,29.78240206,10.15441162,14.46356715,8.726204433,14.69381611
scen30,31.35830388,19.77009262,19.2398817,4.765126111,2.37729749,9.663452991,1.625259891,4.343204206,0.982928981,21.88110614,32.49335111,32.51877283,7.83801577,9.099576467,11.32088511,26.8003057,29.57361168,39.92394769,28.07489936,32.9362159,46.62272147,39.49669971,31.72009936,40.91206907
scen31,47.64867389,49.02744344,40.10050063,17.03765768,11.79423629,15.22124573,5.48857531,13.16011212,5.370578027,11.26760058,2.530712334,7.223881484,13.45314479,24.42321022,14.45105293,45.45974694,48.35941539,48.57162725,41.65615367,53.34560796,54.72445005,31.32727935,30.59534516,35.12236359
scen32,27.86057533,31.34447285,46.56265531,7.721849215,12.76696526,22.3189508,28.09897181,32.87414328,38.79746731,1.050322332,9.459914144,3.533434977,14.856401,37.90909283,27.09548399,30.8241759,31.99959264,15.43472118,27.44818513,12.59338049,14.9108319,25.73741835,9.169830839,8.690522824
scen33,28.62080545,13.15192206,11.53709652,2.944191293,10.67861678,35.0940944,2.249026654,8.035262342,10.84453466,15.45250613,22.49666856,15.24299044,18.48058324,31.23078904,18.80132869,22.76452996,24.88227578,32.82990936,37.28891861,45.43678678,36.2526269,31.76946973,21.15750664,26.25561181
scen34,31.14232862,32.68426863,40.05586122,1.022600535,7.655684904,10.53310193,19.85554267,15.99965321,5.332003678,25.62750268,26.05301536,33.53654678,3.284347216,1.035149273,7.051971045,34.28269998,37.7980742,46.86323354,20.04645966,15.81416311,19.90983953,27.19214021,30.79176987,39.32186962
scen35,10.38867778,3.528696081,2.985419107,4.88912485,6.507200501,5.640348008,15.39993461,17.90556738,8.243149324,13.76396769,1.941565235,0.947446126,1.240001068,4.852481673,12.17815557,25.85455462,36.12951446,33.16460632,29.42521284,19.12106714,10.06509071,20.29722623,2.958503298,12.22796908
scen36,52.9954358,45.45172856,31.72638928,13.08740038,13.63472035,9.597727387,4.631974977,7.098426703,2.728825084,17.87770561,34.03248666,40.52045985,12.17401021,23.72313684,31.27815828,19.26519984,23.31138606,22.39065233,34.08514504,34.22080695,38.62854738,9.573184245,21.9917524,41.57722003
